"PPG_Item","Category","Market","Retailer","Brand","Display_Spend","Feature_Spend"
"CW FANCY FEAST ML 03OZ","Wet Cat","ROM","Fareway","Fancy Feast",0,0
"DW DOG CHOW ML 13 OZ 12CT","Wet Dog","ROM","Fareway","Dog Chow Line",0,0
"DW DOG CHOW ML 13 OZ 24CT","Wet Dog","ROM","Fareway","Dog Chow Line",0,0
"DD ALPO 37-41LB","Dry Dog","ROM","Fareway","Alpo",0,0
"DT BENEFUL BAKED CR 08.5-9.5OZ","Dog Treats","Retailer","Fareway","Beneful",0,0
"DT BENEFUL BAKED CR 08.5-9.5OZ","Dog Treats","ROM","Fareway","Beneful",0,0
"DD PRO PLAN ESSENTIAL 05-6LB","Dry Dog","ROM","Fareway","Pro Plan",0,0
"DW PUPPY CHOW 05.5OZ 8 CT","Wet Dog","ROM","Fareway","Dog Chow Line",0,0
"DW PUPPY CHOW 05.5OZ","Wet Dog","ROM","Fareway","Dog Chow Line",0,0
"DW PURINA ONE 13OZ","Wet Dog","ROM","Fareway","Purina One",0,0
"DW PURINA ONE 13OZ 06CT","Wet Dog","ROM","Fareway","Purina One",0,0
"DW PURINA ONE TRU INST 13OZ 12CT","Wet Dog","ROM","Fareway","Purina One",0,0
"DW PURINA ONE TRU INST 13OZ 06CT","Wet Dog","ROM","Fareway","Purina One",0,0
"DW PURINA ONE TRU INST 13OZ","Wet Dog","ROM","Fareway","Purina One",0,0
"DD ALPO 16LB","Dry Dog","Retailer","Fareway","Alpo",0,0
"DD ALPO 16LB","Dry Dog","ROM","Fareway","Alpo",0,0
"DT BUSY TWISTED CW 66OZ","Dog Treats","ROM","Fareway","Busy",0,0
"DT BUSY ROLLHIDE CW 04-6OZ","Dog Treats","ROM","Fareway","Busy",0,0
"DD DOG CHOW GREEN BG 30-33.5LB","Dry Dog","Retailer","Fareway","Dog Chow Line",0,0
"DD DOG CHOW GREEN BG 30-33.5LB","Dry Dog","ROM","Fareway","Dog Chow Line",0,0
"DD DOG CHOW LX 16.5-18LB","Dry Dog","Retailer","Fareway","Dog Chow Line",0,0
"DD DOG CHOW LX 16.5-18LB","Dry Dog","ROM","Fareway","Dog Chow Line",0,0
"DT DENTALIFE DT 06.8-7.8OZ","Dog Treats","Retailer","Fareway","Dentalife",0,0
"DT DENTALIFE DT 06.8-7.8OZ","Dog Treats","ROM","Fareway","Dentalife",0,0
"DD DOG CHOW GREEN BG 42-46LB","Dry Dog","Retailer","Fareway","Dog Chow Line",0,0
"DD DOG CHOW GREEN BG 42-46LB","Dry Dog","ROM","Fareway","Dog Chow Line",0,0
"DD DOG CHOW LX 04LB","Dry Dog","Retailer","Fareway","Dog Chow Line",0,0
