"PPG_Item_No","PPG_Cat","PPG_Item","MFG","Market","Retailer","Model_flag","PPG_Brand"
"ITEM138TIDYCATSCLUMPNONLW","Litter","CL TIDY CATS CLUMP NON-LW 20LB","NPP","ROM","Fareway",2,"Tidy Cats"
"ITEM141CLTIDYCATSNONCLUMP","Litter","CL TIDY CATS NON-CLUMP 25LB","NPP","ROM","Fareway",1,"Tidy Cats"
"ITEM145TIDYCATSNONCLUMP","Litter","CL TIDY CATS NON-CLUMP 10LB","NPP","Retailer","Fareway",2,"Tidy Cats"
"ITEM145TIDYCATSNONCLUMP","Litter","CL TIDY CATS NON-CLUMP 10LB","NPP","ROM","Fareway",2,"Tidy Cats"
"ITEM14CWFRISKIES","Wet Cat","CW FRISKIES 05.5OZ 32CT","NPP","Retailer","Fareway",2,"Friskies"
"ITEM14CWFRISKIES","Wet Cat","CW FRISKIES 05.5OZ 32CT","NPP","ROM","Fareway",2,"Friskies"
"ITEM1576KITKABOODLE","Dry Cat","DC KIT KABOODLE 16LB","NPP","Retailer","Fareway",2,"Kit & Kaboodle"
"ITEM1576KITKABOODLE","Dry Cat","DC KIT KABOODLE 16LB","NPP","ROM","Fareway",2,"Kit & Kaboodle"
"ITEM1591FRISKIESML","Dry Cat","DC FRISKIES ML 16LB","NPP","Retailer","Fareway",2,"Friskies"
"ITEM1591FRISKIESML","Dry Cat","DC FRISKIES ML 16LB","NPP","ROM","Fareway",2,"Friskies"
"ITEM1602FRISKIESML","Dry Cat","DC FRISKIES ML 03.2LB","NPP","Retailer","Fareway",2,"Friskies"
"ITEM1602FRISKIESML","Dry Cat","DC FRISKIES ML 03.2LB","NPP","ROM","Fareway",2,"Friskies"
"ITEM1637PURINAONEML","Dry Cat","DC PURINA ONE ML 03.5LB","NPP","Retailer","Fareway",2,"Purina One"
"ITEM1637PURINAONEML","Dry Cat","DC PURINA ONE ML 03.5LB","NPP","ROM","Fareway",2,"Purina One"
"ITEM1646PURINAONEMLSEMSS","Dry Cat","DC PURINA ONE TRGTD 03.5LB","NPP","Retailer","Fareway",2,"Purina One"
"ITEM1646PURINAONEMLSEMSS","Dry Cat","DC PURINA ONE TRGTD 03.5LB","NPP","ROM","Fareway",2,"Purina One"
"ITEM1647CATCHOWCMP","Dry Cat","DC CAT/KITTEN CHOW 06.3LB","NPP","Retailer","Fareway",0,"Cat Chow Line"
"ITEM1647CATCHOWCMP","Dry Cat","DC CAT/KITTEN CHOW 06.3LB","NPP","ROM","Fareway",2,"Cat Chow Line"
"ITEM164CWFRISKIESLILSOUPS","Wet Cat","CW FRISKIES LIL SOUPS 01.2OZ","NPP","ROM","Fareway",2,"Friskies"
"ITEM1652CATCHOWNATURALSINDOOR","Dry Cat","DC CAT/KITTEN CHOW NATURALS 13LB","NPP","ROM","Fareway",2,"Cat Chow Line"
"ITEM1661DCBEYONDGRFR","Dry Cat","DC BEYOND GR FR 03LB","NPP","ROM","Fareway",2,"Beyond"
"ITEM1662DCBEYONDGRFR","Dry Cat","DC BEYOND GR FR 05LB","NPP","ROM","Fareway",2,"Beyond"
"ITEM1664DCBEYONDKITTEN","Dry Cat","DC BEYOND KITTEN 03LB","NPP","ROM","Fareway",1,"Beyond"
"ITEM1665DCBEYONDSIMPLY","Dry Cat","DC BEYOND SIMPLY 03LB","NPP","ROM","Fareway",1,"Beyond"
"ITEM1666DCBEYONDSIMPLY","Dry Cat","DC BEYOND SIMPLY 06LB","NPP","ROM","Fareway",2,"Beyond"
"ITEM1668DCBEYONDORGANIC","Dry Cat","DC BEYOND ORGANIC 03LB","NPP","ROM","Fareway",1,"Beyond"
"ITEM168CWFRISKIESLIL","Wet Cat","CW FRISKIES LIL GRIL/SLUR/PUR 01.6OZ 18CT","NPP","Retailer","Fareway",1,"Friskies"
"ITEM168CWFRISKIESLIL","Wet Cat","CW FRISKIES LIL GRIL/SLUR/PUR 01.6OZ 18CT","NPP","ROM","Fareway",1,"Friskies"
"ITEM1690DCCATKITTENCHOW","Dry Cat","DC CAT/KITTEN CHOW 13-15LB","NPP","Retailer","Fareway",2,"Cat Chow Line"
"ITEM1690DCCATKITTENCHOW","Dry Cat","DC CAT/KITTEN CHOW 13-15LB","NPP","ROM","Fareway",2,"Cat Chow Line"
"ITEM1691DCCATKITTENCHOW","Dry Cat","DC CAT/KITTEN CHOW 12LB","NPP","ROM","Fareway",1,"Cat Chow Line"
"ITEM1692DCCATKITTENCHOW","Dry Cat","DC CAT/KITTEN CHOW 20LB","NPP","ROM","Fareway",2,"Cat Chow Line"
"ITEM1693DCCATKITTENCHOW","Dry Cat","DC CAT/KITTEN CHOW 25LB","NPP","ROM","Fareway",1,"Cat Chow Line"
"ITEM1694DCCATKITTENCHOW","Dry Cat","DC CAT/KITTEN CHOW 03.2LB","NPP","Retailer","Fareway",2,"Cat Chow Line"
"ITEM1694DCCATKITTENCHOW","Dry Cat","DC CAT/KITTEN CHOW 03.2LB","NPP","ROM","Fareway",2,"Cat Chow Line"
"ITEM1695DCCATKITTENCHOW","Dry Cat","DC CAT/KITTEN CHOW 01.1LB","NPP","ROM","Fareway",1,"Cat Chow Line"
"ITEM1697DCCATCHOWNATURALSGF","Dry Cat","DC CAT CHOW NATURALS GF 13LB","NPP","ROM","Fareway",1,"Cat Chow Line"
"ITEM1698DCCATCHOWNATURALSGF","Dry Cat","DC CAT CHOW NATURALS GF 03.2LB","NPP","ROM","Fareway",1,"Cat Chow Line"
