"PPG_Item_No","PPG_Item","PPG_Cat","PPG_MFG","flag_qtr2","flag_qtr3","flag_qtr4","Market","Retailer","PPG_Retailer","EachesLC","EachesOI","ImputedLC_retailer","Final_baseprice","Estimated_baseprice","tpr_discount_byppg","ACV_Feat_Only","ACV_Disp_Only","ACV_Feat_Disp","ACV_Selling","category_trend","tpr_discount_byppg_lag1","tpr_discount_byppg_lag2","monthno","pred_vol","base_vol","Model_flag","WB_Comp_RP_1","WB_Comp_TPR_1","CB_Comp_TPR_1","lift_vol","base_doll","lift_doll","Purina_sales","Purina_spend","Purina_Base_sales","Purina_ratf","Purina_Gross_Lift","Purina_True_Lift","Cross_non_normalised","Within_non_normalised","true_lift_doll","Within","Cross","Spend","median_baseprice_byppg","Date","OffInvoice","ListCost","qtr","borrowedqtr","missing_qtrs","WB_Comp_RP_2","WB_Comp_RP_3","WB_Comp_TPR_2","WB_Comp_TPR_3","WB_Comp_TPR_4","CB_Comp_RP_1","CB_Comp_RP_2","CB_Comp_TPR_2","CB_Comp_TPR_3","CB_Comp_TPR_4","CB_Comp_TPR_5","WB_Comp_RP_4","CB_Comp_RP_3"
"ITEM248BELLA_ROM","DW BELLA 03.5OZ 12CT","Wet Dog","NPP",0,1,0,"ROM","Fareway",NA,NA,NA,NA,11.485206807011,11.485206807011,0,0,0,0,0.246285,1.22543149151943,0,0,31.9230769230769,266.713421171037,266.713421171037,2,NA,0,NA,0,3063.25880035478,0,NA,0,NA,NA,NA,NA,0,0,0,NA,NA,0,11.485206807011,"2022-09-24",NA,NA,3,3,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ITEM248BELLA_ROM","DW BELLA 03.5OZ 12CT","Wet Dog","NPP",1,0,0,"ROM","Fareway",NA,NA,NA,NA,11.485206807011,11.485206807011,0,0,0,0,0.246285,1.1029319278099,0,0,28.9230769230769,239.005698123123,239.005698123123,2,NA,0,NA,0,2745.02987099811,0,NA,0,NA,NA,NA,NA,0,0,0,NA,NA,0,11.485206807011,"2022-06-25",NA,NA,2,2,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ITEM248BELLA_ROM","DW BELLA 03.5OZ 12CT","Wet Dog","NPP",0,0,0,"ROM","Fareway",NA,NA,NA,NA,11.485206807011,11.485206807011,0,0,0,0,0.246285,1.05931831389168,0,0,26,223.722386656218,223.722386656218,2,NA,0,NA,0,2569.49787810474,0,NA,0,NA,NA,NA,NA,0,0,0,NA,NA,0,11.485206807011,"2022-03-26",NA,NA,1,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ITEM249DWALPO_ROM","DW ALPO 13.2OZ 12CT","Wet Dog","NPP",0,0,1,"ROM","Fareway",NA,NA,NA,NA,21.09,21.09,0,0,0,0,0.00027,1.23485375003948,0,0,35,5.2628574355986,5.2628574355986,1,NA,NA,NA,0,110.993663316775,0,NA,0,NA,NA,NA,NA,0,0,0,NA,NA,0,21.09,"2022-12-31",NA,NA,4,4,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ITEM249DWALPO_ROM","DW ALPO 13.2OZ 12CT","Wet Dog","NPP",0,1,0,"ROM","Fareway",NA,NA,NA,NA,21.09,21.09,0,0,0,0,0.00027,1.22543149151943,0,0,31.9230769230769,5.45075572273171,5.45075572273171,1,NA,NA,NA,0,114.956438192412,0,NA,0,NA,NA,NA,NA,0,0,0,NA,NA,0,21.09,"2022-09-24",NA,NA,3,3,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ITEM249DWALPO_ROM","DW ALPO 13.2OZ 12CT","Wet Dog","NPP",1,0,0,"ROM","Fareway",NA,NA,NA,NA,21.09,21.09,0,0,0,0,0.00027,1.1029319278099,0,0,28.9230769230769,8.70972738386034,8.70972738386034,1,NA,NA,NA,0,183.688150525615,0,NA,0,NA,NA,NA,NA,0,0,0,NA,NA,0,21.09,"2022-06-25",NA,NA,2,2,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ITEM249DWALPO_ROM","DW ALPO 13.2OZ 12CT","Wet Dog","NPP",0,0,0,"ROM","Fareway",NA,NA,NA,NA,21.09,21.09,0,0,0,0,0.00027,1.05931831389168,0,0,26,10.3448891058726,10.3448891058726,1,NA,NA,NA,0,218.173711242854,0,NA,0,NA,NA,NA,NA,0,0,0,NA,NA,0,21.09,"2022-03-26",NA,NA,1,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ITEM251DWALPO_ROM","DW ALPO 13.2OZ 24CT","Wet Dog","NPP",0,0,1,"ROM","Fareway",NA,NA,NA,NA,22.98,22.98,0,0,0,0,0.013075,1.23485375003948,0,0,35,5.52004904819271,5.52004904819271,1,NA,0,NA,0,126.850727127468,0,NA,0,NA,NA,NA,NA,0,0,0,NA,NA,0,22.98,"2022-12-31",NA,NA,4,4,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ITEM251DWALPO_ROM","DW ALPO 13.2OZ 24CT","Wet Dog","NPP",0,1,0,"ROM","Fareway",NA,NA,NA,NA,22.98,22.98,0,0,0,0,0.013075,1.22543149151943,0,0,31.9230769230769,5.52004904819271,5.52004904819271,1,NA,0,NA,0,126.850727127468,0,NA,0,NA,NA,NA,NA,0,0,0,NA,NA,0,22.98,"2022-09-24",NA,NA,3,3,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ITEM251DWALPO_ROM","DW ALPO 13.2OZ 24CT","Wet Dog","NPP",1,0,0,"ROM","Fareway",NA,NA,NA,NA,22.98,22.98,0,0,0,0,0.013075,1.1029319278099,0,0,28.9230769230769,5.52004904819271,5.52004904819271,1,NA,0,NA,0,126.850727127468,0,NA,0,NA,NA,NA,NA,0,0,0,NA,NA,0,22.98,"2022-06-25",NA,NA,2,2,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
