"PPG_Item_No","PPG_Cat","PPG_Item","MFG","Market","Retailer","Model_flag","PPG_Brand"
"ITEM112BUSYCW","Dog Treats","DT BUSY CW 17-21OZ","NPP","ROM","ALBSCO",2,"Busy"
"ITEM1131CTFANCYFEASTPUREFLAKED","Cat Treats","CT FANCY FEAST PURE FLAKED 01.06OZ","NPP","Retailer","ALBSCO",2,"Fancy Feast"
"ITEM1131CTFANCYFEASTPUREFLAKED","Cat Treats","CT FANCY FEAST PURE FLAKED 01.06OZ","NPP","ROM","ALBSCO",1,"Fancy Feast"
"ITEM1131DDBEYONDORGANIC","Dry Dog","DD BEYOND ORGANIC 06LB","NPP","ROM","ALBSCO",1,"Beyond"
"ITEM1132DDBEYONDORGANIC","Dry Dog","DD BEYOND ORGANIC 03LB","NPP","Retailer","ALBSCO",1,"Beyond"
"ITEM1132DDBEYONDORGANIC","Dry Dog","DD BEYOND ORGANIC 03LB","NPP","ROM","ALBSCO",1,"Beyond"
"ITEM1133DDMERRICKBACKCOUNTRY","Dry Dog","DD MERRICK BACKCOUNTRY 20LB","NPP","ROM","ALBSCO",1,"Merrick"
"ITEM1139DDDOGCHOWHIPROTEIN","Dry Dog","DD DOG CHOW HI PROTEIN 13LB","NPP","ROM","ALBSCO",1,"Dog Chow Line"
"ITEM1146DDPROPLANDEVPUPPY","Dry Dog","DD PRO PLAN DEV PUPPY 04-6LB","NPP","ROM","ALBSCO",1,"Pro Plan"
"ITEM1147DDPROPLANDEVPUPPY","Dry Dog","DD PRO PLAN DEV PUPPY 16-18LB","NPP","ROM","ALBSCO",1,"Pro Plan"
"ITEM1160CTFANCYFEASTSAVORYCRAVINGS","Cat Treats","CT FANCY FEAST SAVORY CRAVINGS 01OZ","NPP","Retailer","ALBSCO",1,"Fancy Feast"
"ITEM1160CTFANCYFEASTSAVORYCRAVINGS","Cat Treats","CT FANCY FEAST SAVORY CRAVINGS 01OZ","NPP","ROM","ALBSCO",2,"Fancy Feast"
"ITEM116BENEFULBAKEDCR","Dog Treats","DT BENEFUL BAKED CR 08.5-9.5OZ","NPP","Retailer","ALBSCO",1,"Beneful"
"ITEM116BENEFULBAKEDCR","Dog Treats","DT BENEFUL BAKED CR 08.5-9.5OZ","NPP","ROM","ALBSCO",1,"Beneful"
"ITEM1183DTTREKKERSMT","Dog Treats","DT TREKKERS MT 05OZ","NPP","ROM","ALBSCO",1,"Trekker's"
"ITEM1188DDPURINAONETRUINSTBNB","Dry Dog","DD PURINA ONE TRU INST B&B 15LB","NPP","Retailer","ALBSCO",1,"Purina One"
"ITEM1188DDPURINAONETRUINSTBNB","Dry Dog","DD PURINA ONE TRU INST B&B 15LB","NPP","ROM","ALBSCO",1,"Purina One"
"ITEM118CTFRISKIESPARTYMIXCR","Cat Treats","CT FRISKIES PARTY MIX/NAT YUM CR 30OZ","NPP","Retailer","ALBSCO",1,"Friskies"
"ITEM118CTFRISKIESPARTYMIXCR","Cat Treats","CT FRISKIES PARTY MIX/NAT YUM CR 30OZ","NPP","ROM","ALBSCO",2,"Friskies"
"ITEM1193DDPURINAONETRUINSTBNB","Dry Dog","DD PURINA ONE TRU INST B&B 27.5LB","NPP","ROM","ALBSCO",1,"Purina One"
"ITEM11CWFRISKIES","Wet Cat","CW FRISKIES 05.5OZ 32CT","NPP","Retailer","ALBSCO",2,"Friskies"
"ITEM11CWFRISKIES","Wet Cat","CW FRISKIES 05.5OZ 32CT","NPP","ROM","ALBSCO",2,"Friskies"
"ITEM1205DTZUKESHIPACTIONMT","Dog Treats","DT ZUKES HIP ACTION MT 16OZ","NPP","ROM","ALBSCO",1,"Zuke's"
"ITEM1206DTZUKESHIPACTIONMT","Dog Treats","DT ZUKES HIP ACTION MT 06OZ","NPP","ROM","ALBSCO",1,"Zuke's"
"ITEM1209DTZUKESMININTRLSMT","Dog Treats","DT ZUKES MINI NTRLS MT 06OZ","NPP","Retailer","ALBSCO",0,"Zuke's"
"ITEM1209DTZUKESMININTRLSMT","Dog Treats","DT ZUKES MINI NTRLS MT 06OZ","NPP","ROM","ALBSCO",1,"Zuke's"
"ITEM120ALPODT","Dog Treats","DT ALPO DT 08.8OZ","NPP","ROM","ALBSCO",1,"Alpo"
"ITEM1211DTZUKESZBONESDR","Dog Treats","DT ZUKES Z-BONES DR 08-15OZ","NPP","ROM","ALBSCO",1,"A/O Brand"
"ITEM121TIDYCATSCLUMPLW","Litter","CL TIDY CATS CLUMP LW 17LB - PAIL","NPP","Retailer","ALBSCO",1,"Tidy Cats"
"ITEM121TIDYCATSCLUMPLW","Litter","CL TIDY CATS CLUMP LW 17LB - PAIL","NPP","ROM","ALBSCO",2,"Tidy Cats"
"ITEM125CWFRISKIES","Wet Cat","CW FRISKIES 05.5OZ 48CT","NPP","ROM","ALBSCO",1,"Friskies"
