"PPG_Item_No","PPG_Cat","PPG_Item","MFG","Market","Retailer","Model_flag","PPG_Brand"
"ITEM1136DDBEYONDSMBRDSPRFOOD","Dry Dog","DD BEYOND SM-BRD/SPR FOOD 14.5LB","NPP","ROM","Food Lion",1,"Beyond"
"ITEM114DOGCHOWML","Wet Dog","DW DOG CHOW ML 13 OZ","NPP","Retailer","Food Lion",1,"Dog Chow Line"
"ITEM114DOGCHOWML","Wet Dog","DW DOG CHOW ML 13 OZ","NPP","ROM","Food Lion",1,"Dog Chow Line"
"ITEM1154DDCNPORGANIX","Dry Dog","DD C&P ORGANIX 10LB","NPP","ROM","Food Lion",1,"A/O Brand"
"ITEM1155DDCNPORGANIX","Dry Dog","DD C&P ORGANIX 04LB","NPP","ROM","Food Lion",1,"A/O Brand"
"ITEM1156DDCNPORGANIX","Dry Dog","DD C&P ORGANIX 18LB","NPP","ROM","Food Lion",1,"A/O Brand"
"ITEM1157DDCNPPRISTINE","Dry Dog","DD C&P PRISTINE 04LB","NPP","ROM","Food Lion",1,"A/O Brand"
"ITEM1158DDCNPPRISTINE","Dry Dog","DD C&P PRISTINE 10LB","NPP","ROM","Food Lion",1,"A/O Brand"
"ITEM1159DDCNPPRISTINE","Dry Dog","DD C&P PRISTINE 18LB","NPP","ROM","Food Lion",1,"A/O Brand"
"ITEM1167DDDOGCHOWGREENBG","Dry Dog","DD DOG CHOW GREEN BG 33.6-36LB","NPP","ROM","Food Lion",1,"Dog Chow Line"
"ITEM1169DDDOGCHOWLX","Dry Dog","DD DOG CHOW LX 03.5LB","NPP","ROM","Food Lion",1,"Dog Chow Line"
"ITEM1170DDDOGCHOWLX","Dry Dog","DD DOG CHOW LX 04LB","NPP","Retailer","Food Lion",0,"Dog Chow Line"
"ITEM1170DDDOGCHOWLX","Dry Dog","DD DOG CHOW LX 04LB","NPP","ROM","Food Lion",2,"Dog Chow Line"
"ITEM1171DDDOGCHOWLX","Dry Dog","DD DOG CHOW LX 32-36LB","NPP","ROM","Food Lion",1,"Dog Chow Line"
"ITEM118CWBEYOND","Wet Cat","CW BEYOND 03OZ 6CT","NPP","ROM","Food Lion",1,"Beyond"
"ITEM11CTFRISKIESPARTYMIXCR","Cat Treats","CT FRISKIES PARTY MIX/NAT YUM CR 20OZ","NPP","Retailer","Food Lion",2,"Friskies"
"ITEM11CTFRISKIESPARTYMIXCR","Cat Treats","CT FRISKIES PARTY MIX/NAT YUM CR 20OZ","NPP","ROM","Food Lion",2,"Friskies"
"ITEM11CWFANCYFEASTML","Wet Cat","CW FANCY FEAST ML 03OZ 24CT","NPP","Retailer","Food Lion",2,"Fancy Feast"
"ITEM11CWFANCYFEASTML","Wet Cat","CW FANCY FEAST ML 03OZ 24CT","NPP","ROM","Food Lion",2,"Fancy Feast"
"ITEM120BUSYCW","Dog Treats","DT BUSY CW 17-21OZ","NPP","Retailer","Food Lion",2,"Busy"
"ITEM120BUSYCW","Dog Treats","DT BUSY CW 17-21OZ","NPP","ROM","Food Lion",2,"Busy"
"ITEM1215DDMERRICKGRFR","Dry Dog","DD MERRICK GR FR 22LB","NPP","ROM","Food Lion",1,"Merrick"
"ITEM1216DDMERRICKGRFR","Dry Dog","DD MERRICK GR FR 04LB","NPP","ROM","Food Lion",1,"Merrick"
"ITEM1218DDMOISTANDMEATYHIPROTEIN","Dry Dog","DD MOIST AND MEATY HI PROTEIN 72OZ","NPP","ROM","Food Lion",2,"Moist & Meaty"
"ITEM1253DDPROPLANESSENTIAL","Dry Dog","DD PRO PLAN ESSENTIAL 17-18LB","NPP","ROM","Food Lion",1,"Pro Plan"
"ITEM1254DDPROPLANSPECIALIZED","Dry Dog","DD PRO PLAN SPECIALIZED 16-18LB","NPP","ROM","Food Lion",1,"Pro Plan"
"ITEM1255DDPROPLANSPECIALIZED","Dry Dog","DD PRO PLAN SPECIALIZED 04-6LB","NPP","ROM","Food Lion",1,"Pro Plan"
"ITEM1256DDPROPLANSPECIALIZED","Dry Dog","DD PRO PLAN SPECIALIZED 24-34LB","NPP","ROM","Food Lion",1,"Pro Plan"
"ITEM1257DDPROPLANSPORT","Dry Dog","DD PRO PLAN SPORT 18LB","NPP","ROM","Food Lion",1,"Pro Plan"
"ITEM1258DDPROPLANSPORT","Dry Dog","DD PRO PLAN SPORT 50LB","NPP","ROM","Food Lion",1,"Pro Plan"
"ITEM1259DDPROPLANSPORTBREEDER","Dry Dog","DD PRO PLAN SPORT BREEDER 37.5LB","NPP","ROM","Food Lion",1,"Pro Plan"
"ITEM1260DDPUPPYCHOW","Dry Dog","DD PUPPY CHOW 32-36LB","NPP","ROM","Food Lion",2,"Dog Chow Line"
"ITEM1261DDPUPPYCHOW","Dry Dog","DD PUPPY CHOW 04LB","NPP","ROM","Food Lion",1,"Dog Chow Line"
"ITEM1262DDPUPPYCHOW","Dry Dog","DD PUPPY CHOW 40LB","NPP","ROM","Food Lion",1,"Dog Chow Line"
"ITEM1263DDPURINAONEMLTRGTD","Dry Dog","DD PURINA ONE ML TRGTD 12.5LB","NPP","ROM","Food Lion",1,"Purina One"
"ITEM1264DDPURINAONEMLTRGTD","Dry Dog","DD PURINA ONE ML TRGTD 03.8-4LB","NPP","ROM","Food Lion",1,"Purina One"
"ITEM1266DDPURINAONEML","Dry Dog","DD PURINA ONE ML 13.5LB","NPP","ROM","Food Lion",1,"Purina One"
"ITEM1267DDPURINAONEML","Dry Dog","DD PURINA ONE ML 34LB","NPP","ROM","Food Lion",1,"Purina One"
"ITEM1268DDPURINAONETRUINSTBNB","Dry Dog","DD PURINA ONE TRU INST B&B 03.8LB","NPP","ROM","Food Lion",1,"Purina One"
"ITEM1269DDPURINAONETRUINSTBNB","Dry Dog","DD PURINA ONE TRU INST B&B 36LB","NPP","ROM","Food Lion",1,"Purina One"
"ITEM1270DDPURINAONETRUINSTHIPRO","Dry Dog","DD PURINA ONE TRU INST HI-PRO 03.8LB","NPP","ROM","Food Lion",1,"Purina One"
"ITEM1271DDPURINAONETRUINST","Dry Dog","DD PURINA ONE TRU INST 02.8LB","NPP","ROM","Food Lion",1,"Purina One"
"ITEM127CWBEYOND","Wet Cat","CW BEYOND 03OZ 12CT","NPP","ROM","Food Lion",1,"Beyond"
"ITEM135BUSYROLLHIDECW","Dog Treats","DT BUSY ROLLHIDE CW 04-6OZ","NPP","Retailer","Food Lion",2,"Busy"
"ITEM135BUSYROLLHIDECW","Dog Treats","DT BUSY ROLLHIDE CW 04-6OZ","NPP","ROM","Food Lion",2,"Busy"
"ITEM136CWFANCYFEASTSAVRYCNTR","Wet Cat","CW FANCY FEAST SAVRY CNTR 03OZ 12CT","NPP","ROM","Food Lion",1,"Fancy Feast"
"ITEM145CWFANCYFEASTNATURALSML","Wet Cat","CW FANCY FEAST NATURALS ML 03OZ 12CT","NPP","ROM","Food Lion",1,"Fancy Feast"
"ITEM14MTYDG","Wet Dog","DW MTY DG 05.5OZ","NPP","Retailer","Food Lion",0,"Nppc Brand Group Rem"
"ITEM14MTYDG","Wet Dog","DW MTY DG 05.5OZ","NPP","ROM","Food Lion",1,"Nppc Brand Group Rem"
"ITEM151CLTIDYCATSNONCLUMP","Litter","CL TIDY CATS NON-CLUMP 25LB","NPP","ROM","Food Lion",1,"Tidy Cats"
"ITEM151DOGCHOWML","Wet Dog","DW DOG CHOW ML 13 OZ 06CT","NPP","Retailer","Food Lion",1,"Dog Chow Line"
"ITEM151DOGCHOWML","Wet Dog","DW DOG CHOW ML 13 OZ 06CT","NPP","ROM","Food Lion",1,"Dog Chow Line"
"ITEM152PIONEERWOMANMT","Dog Treats","DT PIONEER WOMAN MT 05OZ","NPP","Retailer","Food Lion",1,"Pioneer Woman"
"ITEM152PIONEERWOMANMT","Dog Treats","DT PIONEER WOMAN MT 05OZ","NPP","ROM","Food Lion",1,"Pioneer Woman"
"ITEM153TIDYCATSCLUMPNONLW","Litter","CL TIDY CATS CLUMP NON-LW 20LB","NPP","Retailer","Food Lion",2,"Tidy Cats"
