"PPG_Item_No","PPG_Item","PPG_Cat","PPG_MFG","flag_qtr2","flag_qtr3","flag_qtr4","Market","Retailer","PPG_Retailer","EachesLC","EachesOI","ImputedLC_retailer","Final_baseprice","Estimated_baseprice","tpr_discount_byppg","ACV_Feat_Only","ACV_Disp_Only","ACV_Feat_Disp","ACV_Selling","category_trend","tpr_discount_byppg_lag1","tpr_discount_byppg_lag2","monthno","pred_vol","base_vol","Model_flag","WB_Comp_RP_1","WB_Comp_RP_2","WB_Comp_TPR_1","CB_Comp_RP_1","lift_vol","base_doll","lift_doll","Purina_sales","Purina_spend","Purina_Base_sales","Purina_ratf","Purina_Gross_Lift","Purina_True_Lift","Cross","Within","Within_non_normalised","Cross_non_normalised","true_lift_doll","Spend","median_baseprice_byppg","Date","OffInvoice","ListCost","qtr","borrowedqtr","missing_qtrs","WB_Comp_RP_3","WB_Comp_RP_4","WB_Comp_RP_5","WB_Comp_RP_6","WB_Comp_TPR_2","WB_Comp_TPR_3","WB_Comp_TPR_4","WB_Comp_TPR_5","CB_Comp_TPR_1","CB_Comp_RP_2","CB_Comp_RP_3","CB_Comp_RP_4","CB_Comp_RP_5","CB_Comp_TPR_2"
"ITEM11212CTCNPCR_ROM","CT C&P CR 02OZ","Cat Treats","NPP",0,0,1,"ROM","CVS Total Corp WO HI",NA,NA,NA,NA,3.95326241764216,3.95326241764216,0,0,0,0,0.00006,1.24786340127653,0,0,35,11.7360635000076,11.7360635000076,1,NA,NA,NA,NA,0,46.3957387656421,0,NA,0,NA,NA,NA,NA,0,0,0,0,0,0,3.95326241764216,"2022-12-31",NA,NA,4,4,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ITEM11212CTCNPCR_ROM","CT C&P CR 02OZ","Cat Treats","NPP",0,1,0,"ROM","CVS Total Corp WO HI",NA,NA,NA,NA,3.95326241764216,3.95326241764216,0,0,0,0,0.00006,1.16018008340086,0,0,31.9230769230769,15.1641031448449,15.1641031448449,1,NA,NA,NA,NA,0,59.9476790597646,0,NA,0,NA,NA,NA,NA,0,0,0,0,0,0,3.95326241764216,"2022-09-24",NA,NA,3,3,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ITEM11212CTCNPCR_ROM","CT C&P CR 02OZ","Cat Treats","NPP",1,0,0,"ROM","CVS Total Corp WO HI",NA,NA,NA,NA,3.95326241764216,3.95326241764216,0,0,0,0,0.00006,1.10507250177612,0,0,28.9230769230769,18.3137677750869,18.3137677750869,1,NA,NA,NA,NA,0,72.3991298706772,0,NA,0,NA,NA,NA,NA,0,0,0,0,0,0,3.95326241764216,"2022-06-25",NA,NA,2,2,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ITEM11212CTCNPCR_ROM","CT C&P CR 02OZ","Cat Treats","NPP",0,0,0,"ROM","CVS Total Corp WO HI",NA,NA,NA,NA,3.95326241764216,3.95326241764216,0,0,0,0,0.00006,1.07738179258124,0,0,26,20.5840886379497,20.5840886379497,1,NA,NA,NA,NA,0,81.3743040138217,0,NA,0,NA,NA,NA,NA,0,0,0,0,0,0,3.95326241764216,"2022-03-26",NA,NA,1,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ITEM11228CTKITKABOODLECR_ROM","CT KIT KABOODLE CR 04OZ","Cat Treats","NPP",0,0,1,"ROM","CVS Total Corp WO HI",NA,NA,NA,NA,0.645865153829369,0.645865153829369,0,0,0,0,0,1.24786340127653,0,0,35,0.956561193501138,0.956561193501138,1,0.931538094537338,2.5972445058588,0,NA,0,0.617809542387818,0,NA,0,NA,NA,NA,NA,0,0,0,0,0,0,0.645865153829369,"2022-12-31",NA,NA,4,4,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ITEM11228CTKITKABOODLECR_ROM","CT KIT KABOODLE CR 04OZ","Cat Treats","NPP",0,1,0,"ROM","CVS Total Corp WO HI",NA,NA,NA,NA,0.645865153829369,0.645865153829369,0,0,0,0,0,1.16018008340086,0,0,31.9230769230769,2.16512341189509,2.16512341189509,1,0.931538094537338,2.5972445058588,0,NA,0,1.39837776548319,0,NA,0,NA,NA,NA,NA,0,0,0,0,0,0,0.645865153829369,"2022-09-24",NA,NA,3,3,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ITEM11228CTKITKABOODLECR_ROM","CT KIT KABOODLE CR 04OZ","Cat Treats","NPP",1,0,0,"ROM","CVS Total Corp WO HI",NA,NA,NA,NA,0.645865153829369,0.645865153829369,0,0,0,0,0,1.10507250177612,0,0,28.9230769230769,4.80728057448025,4.80728057448025,1,0.931538094537338,2.5972445058588,0,NA,0,3.10485500773762,0,NA,0,NA,NA,NA,NA,0,0,0,0,0,0,0.645865153829369,"2022-06-25",NA,NA,2,2,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ITEM11228CTKITKABOODLECR_ROM","CT KIT KABOODLE CR 04OZ","Cat Treats","NPP",0,0,0,"ROM","CVS Total Corp WO HI",NA,NA,NA,NA,0.645865153829369,0.645865153829369,0,0,0,0,0,1.07738179258124,0,0,26,10.453109411743,10.453109411743,1,0.931538094537338,2.5972445058588,0,NA,0,6.75129911821063,0,NA,0,NA,NA,NA,NA,0,0,0,0,0,0,0.645865153829369,"2022-03-26",NA,NA,1,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ITEM11229CTKITKABOODLECR_ROM","CT KIT KABOODLE CR 09OZ","Cat Treats","NPP",0,0,1,"ROM","CVS Total Corp WO HI",NA,NA,NA,NA,3.71623977521979,3.71623977521979,0,0,0,0,0.002575,1.24786340127653,0,0,35,3876.34804630032,3876.34804630032,1,3.91048168111446,2.47925891275495,NA,5.18957396728257,0,14405.4387922568,0,NA,0,NA,NA,NA,NA,0,0,0,0,0,0,3.71623977521979,"2022-12-31",NA,NA,4,4,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ITEM11229CTKITKABOODLECR_ROM","CT KIT KABOODLE CR 09OZ","Cat Treats","NPP",0,1,0,"ROM","CVS Total Corp WO HI",NA,NA,NA,NA,3.71623977521979,3.71623977521979,0,0,0,0,0.002575,1.16018008340086,0,0,31.9230769230769,3328.09678267007,3328.09678267007,1,3.91048168111446,2.47925891275495,NA,5.18957396728257,0,12368.0056395395,0,NA,0,NA,NA,NA,NA,0,0,0,0,0,0,3.71623977521979,"2022-09-24",NA,NA,3,3,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
