"PPG_Item_No","PPG_Item","PPG_Cat","PPG_MFG","flag_qtr2","flag_qtr3","flag_qtr4","Market","Retailer","PPG_Retailer","EachesLC","EachesOI","ImputedLC_retailer","Final_baseprice","Estimated_baseprice","tpr_discount_byppg","ACV_Feat_Only","ACV_Disp_Only","ACV_Feat_Disp","ACV_Selling","category_trend","tpr_discount_byppg_lag1","tpr_discount_byppg_lag2","monthno","pred_vol","base_vol","Model_flag","WB_Comp_RP_1","WB_Comp_RP_2","WB_Comp_RP_3","WB_Comp_RP_4","WB_Comp_TPR_1","WB_Comp_TPR_2","CB_Comp_RP_1","CB_Comp_RP_2","CB_Comp_RP_3","CB_Comp_TPR_1","CB_Comp_TPR_2","lift_vol","base_doll","lift_doll","Purina_sales","Purina_spend","Purina_Base_sales","Purina_ratf","Purina_Gross_Lift","Purina_True_Lift","Cross_non_normalised","Within_non_normalised","true_lift_doll","Within","Cross","Spend","median_baseprice_byppg","Date","OffInvoice","ListCost","qtr","borrowedqtr","missing_qtrs","WB_Comp_Interaction_RP_1","WB_Comp_RP_5","WB_Comp_RP_6","WB_Comp_RP_7","WB_Comp_RP_8","WB_Comp_RP_9","WB_Comp_TPR_3","WB_Comp_TPR_4","WB_Comp_TPR_5","WB_Comp_TPR_6","WB_Comp_TPR_7","CB_Comp_TPR_3","CB_Comp_TPR_4","CB_Comp_TPR_5","CB_Comp_RP_4","CB_Comp_RP_5"
"ITEM42DCCNPORGANIX_ROM","DC C&P ORGANIX 03-4LB","Dry Cat","NPP",0,1,0,"ROM","AssociateWhlseGrocersCorp",NA,NA,NA,NA,23.8353845623889,23.8353845623889,0,0,0,0,0.00096,1.13370452882094,0,0,31.9230769230769,26.4504610418985,26.4504610418985,1,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,0,630.456910786137,0,NA,0,NA,NA,NA,NA,0,0,0,NA,NA,0,23.8353845623889,"2022-09-24",NA,NA,3,3,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ITEM42DCCNPORGANIX_ROM","DC C&P ORGANIX 03-4LB","Dry Cat","NPP",1,0,0,"ROM","AssociateWhlseGrocersCorp",NA,NA,NA,NA,23.8353845623889,23.8353845623889,0,0,0,0,0.00096,1.05478525976008,0,0,28.9230769230769,45.2691797636517,45.2691797636517,1,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,0,1079.00830849055,0,NA,0,NA,NA,NA,NA,0,0,0,NA,NA,0,23.8353845623889,"2022-06-25",NA,NA,2,2,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ITEM42DCCNPORGANIX_ROM","DC C&P ORGANIX 03-4LB","Dry Cat","NPP",0,0,0,"ROM","AssociateWhlseGrocersCorp",NA,NA,NA,NA,23.8353845623889,23.8353845623889,0,0,0,0,0.00096,1.0574970794635,0,0,26,51.2499562929578,51.2499562929578,1,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,0,1221.56241704827,0,NA,0,NA,NA,NA,NA,0,0,0,NA,NA,0,23.8353845623889,"2022-03-26",NA,NA,1,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ITEM44DCCNPPRISTINE_ROM","DC C&P PRISTINE 03LB","Dry Cat","NPP",0,0,1,"ROM","AssociateWhlseGrocersCorp",NA,NA,NA,NA,21.79,21.79,0,0,0,0,0.000165,1.30016188358213,0,0,35,0.172241708312995,0.172241708312995,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,3.75314682414016,0,NA,0,NA,NA,NA,NA,0,0,0,NA,NA,0,21.79,"2022-12-31",NA,NA,4,4,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ITEM44DCCNPPRISTINE_ROM","DC C&P PRISTINE 03LB","Dry Cat","NPP",0,1,0,"ROM","AssociateWhlseGrocersCorp",NA,NA,NA,NA,21.79,21.79,0,0,0,0,0.000165,1.13370452882094,0,0,31.9230769230769,0.310550568518647,0.310550568518647,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,6.76689688802133,0,NA,0,NA,NA,NA,NA,0,0,0,NA,NA,0,21.79,"2022-09-24",NA,NA,3,3,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ITEM44DCCNPPRISTINE_ROM","DC C&P PRISTINE 03LB","Dry Cat","NPP",1,0,0,"ROM","AssociateWhlseGrocersCorp",NA,NA,NA,NA,21.79,21.79,0,0,0,0,0.000165,1.05478525976008,0,0,28.9230769230769,0.552054350536557,0.552054350536557,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,12.0292642981916,0,NA,0,NA,NA,NA,NA,0,0,0,NA,NA,0,21.79,"2022-06-25",NA,NA,2,2,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ITEM44DCCNPPRISTINE_ROM","DC C&P PRISTINE 03LB","Dry Cat","NPP",0,0,0,"ROM","AssociateWhlseGrocersCorp",NA,NA,NA,NA,21.79,21.79,0,0,0,0,0.000165,1.0574970794635,0,0,26,0.966741178659811,0.966741178659811,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,21.0652902829973,0,NA,0,NA,NA,NA,NA,0,0,0,NA,NA,0,21.79,"2022-03-26",NA,NA,1,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ITEM48DCCATKITTENCHOW_Retailer","DC CAT/KITTEN CHOW 06.3LB","Dry Cat","NPP",0,0,1,"Retailer","AssociateWhlseGrocersCorp",NA,1785.71428571429,0,NA,12.0089800898037,12.0089800898037,0,0,0,0,0.689555,1.30016188358213,0,0,35,3192.30720549447,3101.22520777949,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,91.0819977149814,37234.3746602061,1056.02923105723,26751.5081610484,0,26512.0710984348,26751.5081610484,238.381141962837,238.381141962837,0,0,1056.02923105723,NA,NA,45.9497800566228,11.9942184913656,"2022-12-31",NA,9.2510872,4,4,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ITEM48DCCATKITTENCHOW_Retailer","DC CAT/KITTEN CHOW 06.3LB","Dry Cat","NPP",0,1,0,"Retailer","AssociateWhlseGrocersCorp",NA,1661.23076923077,0,NA,12.0089800898037,12.0089800898037,0,0,0,0,0.689555,1.13370452882094,0,0,31.9230769230769,2846.82900540114,2743.78077345346,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,103.04823194768,32950.0086791888,1143.98012223555,22432.377752223,0,22230.4653528872,22432.377752223,201.912399335815,201.912399335815,0,0,1143.98012223555,0,0,93.5240435136136,11.9767232944784,"2022-09-24",NA,8.9270124097055,3,3,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ITEM48DCCATKITTENCHOW_Retailer","DC CAT/KITTEN CHOW 06.3LB","Dry Cat","NPP",1,0,0,"Retailer","AssociateWhlseGrocersCorp",NA,2520,0,NA,12.0089800898037,12.0089800898037,0,0,0,0,0.689555,1.05478525976008,0,0,28.9230769230769,2658.909915302,2580.14739857264,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,78.7625167293638,30984.9387382177,945.857495225761,22736.9362907428,0,22076.4821375166,22736.9362907428,660.454153226104,660.454153226104,0,0,945.857495225761,0,0,0,12.0089800898037,"2022-06-25",NA,8.71735042735043,2,2,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
