"PPG_Item_No","PPG_Cat","PPG_Item","MFG","Market","Retailer","Model_flag","PPG_Brand"
"ITEM1063CLTIDYCATSCLUMPNONLWBOX","Litter","CL TIDY CATS CLUMP NON-LW BOX 23LB - BOX","NPP","ROM","BJs",1,"Tidy Cats"
"ITEM1064CLTIDYCATSCLUMPNONLW","Litter","CL TIDY CATS CLUMP NON-LW 14LB","NPP","ROM","BJs",2,"Tidy Cats"
"ITEM1065CLTIDYCATSCLUMPNONLW","Litter","CL TIDY CATS CLUMP NON-LW 20LB","NPP","ROM","BJs",2,"Tidy Cats"
"ITEM1065DDPROPLANDEVPUPPY","Dry Dog","DD PRO PLAN DEV PUPPY 04-6LB","NPP","ROM","BJs",1,"Pro Plan"
"ITEM1066CLTIDYCATSNONCLUMP","Litter","CL TIDY CATS NON-CLUMP 40LB","NPP","ROM","BJs",1,"Tidy Cats"
"ITEM1067CLTIDYCATSNONCLUMP","Litter","CL TIDY CATS NON-CLUMP 10LB","NPP","ROM","BJs",2,"Tidy Cats"
"ITEM1067DDPROPLANDEVPUPPY","Dry Dog","DD PRO PLAN DEV PUPPY 16-18LB","NPP","ROM","BJs",1,"Pro Plan"
"ITEM1068CLTIDYCATSNONCLUMP","Litter","CL TIDY CATS NON-CLUMP 30LB","NPP","ROM","BJs",1,"Tidy Cats"
"ITEM1069CLTIDYCATSNONCLUMP","Litter","CL TIDY CATS NON-CLUMP 50LB","NPP","ROM","BJs",1,"Tidy Cats"
"ITEM1071CLTIDYCATSCLUMPNONLW","Litter","CL TIDY CATS CLUMP NON-LW 35LB","NPP","Retailer","BJs",0,"Tidy Cats"
"ITEM1071CLTIDYCATSCLUMPNONLW","Litter","CL TIDY CATS CLUMP NON-LW 35LB","NPP","ROM","BJs",2,"Tidy Cats"
"ITEM1072CLTIDYCATSCLUMPNONLWECOM","Litter","CL TIDY CATS CLUMP NON-LW BAG ECOM 40LB","NPP","ROM","BJs",1,"Tidy Cats"
"ITEM1073CLTIDYCATSCLUMPNONLW","Litter","CL TIDY CATS CLUMP NON-LW 20LB 2PK","NPP","ROM","BJs",1,"Tidy Cats"
"ITEM1074CLTIDYCATSCLUMPNONLW","Litter","CL TIDY CATS CLUMP NON-LW 10LB","NPP","ROM","BJs",1,"Tidy Cats"
"ITEM1076CLTIDYCATSBREEZEPELLETS","Litter","CL TIDY CATS BREEZE PELLETS 03.5LB","NPP","ROM","BJs",1,"Tidy Cats"
"ITEM1077CLTIDYCATSBREEZEENHANCEDPELLETS","Litter","CL TIDY CATS BREEZE ENHANCED PELLETS 03.5LB","NPP","ROM","BJs",1,"Tidy Cats"
"ITEM1079CLTIDYCATSBREEZESTARTERORIGINAL","Litter","CL TIDY CATS BREEZE STARTER ORIGINAL","NPP","ROM","BJs",1,"Tidy Cats"
"ITEM107CWFANCYFEASTML","Wet Cat","CW FANCY FEAST ML 03OZ 36CT","NPP","Retailer","BJs",0,"Fancy Feast"
"ITEM107CWFANCYFEASTML","Wet Cat","CW FANCY FEAST ML 03OZ 36CT","NPP","ROM","BJs",1,"Fancy Feast"
"ITEM1080CLTIDYCATSBREEZESTARTERHOOD","Litter","CL TIDY CATS BREEZE STARTER HOOD","NPP","ROM","BJs",1,"Tidy Cats"
"ITEM1082CLTIDYCATSBREEZEPADS","Litter","CL TIDY CATS BREEZE PADS 04CT","NPP","ROM","BJs",2,"Tidy Cats"
"ITEM1083CLTIDYCATSCLUMPLW","Litter","CL TIDY CATS CLUMP LW 08.5LB","NPP","ROM","BJs",2,"Tidy Cats"
"ITEM1085CLTIDYCATSCLUMPLW","Litter","CL TIDY CATS CLUMP LW 06LB","NPP","ROM","BJs",1,"Tidy Cats"
"ITEM1086CLTIDYCATSNATSTRGNONCLUMP","Litter","CL TIDY CATS NAT STRG NON-CLUMP 35LB","NPP","ROM","BJs",1,"Tidy Cats"
"ITEM1087CLTIDYCATSNATSTRGNONCLUMP","Litter","CL TIDY CATS NAT STRG NON-CLUMP 20LB","NPP","ROM","BJs",2,"Tidy Cats"
"ITEM1088CLTIDYCATSNATSTRGNONCLUMP","Litter","CL TIDY CATS NAT STRG CLUMP 14LB","NPP","ROM","BJs",1,"Tidy Cats"
"ITEM1089CLTIDYCATSPURENATUREALT","Litter","CL TIDY CATS PURE NATURE ALT 12LB","NPP","ROM","BJs",1,"Tidy Cats"
"ITEM1090CLTIDYCATSPURENATUREALT","Litter","CL TIDY CATS PURE NATURE ALT 07.5LB","NPP","ROM","BJs",1,"Tidy Cats"
"ITEM1091CLYESTERDAYSNEWSALT","Litter","CL YESTERDAYS NEWS ALT 13.2LB","NPP","ROM","BJs",1,"Yesterday's News"
"ITEM1092DDPURINAONETRUINSTBNB","Dry Dog","DD PURINA ONE TRU INST B&B 15LB","NPP","ROM","BJs",1,"Purina One"
"ITEM1095CLYESTERDAYSNEWALT","Litter","CL YESTERDAYS NEW ALT 10LB","NPP","ROM","BJs",1,"Yesterday's News"
"ITEM1096CLYESTERDAYSNEWALT","Litter","CL YESTERDAYS NEW ALT 20LB","NPP","ROM","BJs",1,"Yesterday's News"
"ITEM1099DDPURINAONETRUINSTBNB","Dry Dog","DD PURINA ONE TRU INST B&B 27.5LB","NPP","ROM","BJs",1,"Purina One"
"ITEM110CWFANCYFEASTMEDLEYS","Wet Cat","CW FANCY FEAST MEDLEYS 03OZ 18CT","NPP","ROM","BJs",1,"Fancy Feast"
"ITEM113PURINAONEML","Dry Cat","DC PURINA ONE ML 22LB","NPP","Retailer","BJs",2,"Purina One"
"ITEM113PURINAONEML","Dry Cat","DC PURINA ONE ML 22LB","NPP","ROM","BJs",1,"Purina One"
"ITEM114CWFRISKIES","Wet Cat","CW FRISKIES 05.5OZ 32CT","NPP","ROM","BJs",2,"Friskies"
"ITEM1155DTTREKKERSMT","Dog Treats","DT TREKKERS MT 05OZ","NPP","ROM","BJs",1,"Trekker's"
