"PPG_Item_No","PPG_Item","PPG_Cat","PPG_MFG","flag_qtr2","flag_qtr3","flag_qtr4","Market","Retailer","PPG_Retailer","EachesLC","EachesOI","ImputedLC_retailer","Final_baseprice","Estimated_baseprice","tpr_discount_byppg","ACV_Feat_Only","ACV_Disp_Only","ACV_Feat_Disp","ACV_Selling","category_trend","tpr_discount_byppg_lag1","tpr_discount_byppg_lag2","monthno","pred_vol","base_vol","Model_flag","WB_Comp_RP_1","WB_Comp_RP_2","WB_Comp_RP_3","WB_Comp_TPR_1","CB_Comp_RP_1","CB_Comp_TPR_1","CB_Comp_TPR_2","lift_vol","base_doll","lift_doll","Purina_sales","Purina_spend","Purina_Base_sales","Purina_ratf","Purina_Gross_Lift","Purina_True_Lift","Cross_non_normalised","Within_non_normalised","true_lift_doll","Within","Cross","Spend","median_baseprice_byppg","Date","OffInvoice","ListCost","qtr","borrowedqtr","missing_qtrs","WB_Comp_RP_4","WB_Comp_RP_5","WB_Comp_RP_6","WB_Comp_RP_7","WB_Comp_TPR_2","WB_Comp_TPR_3","WB_Comp_TPR_4","WB_Comp_TPR_5","WB_Comp_TPR_6","WB_Comp_TPR_7","WB_Comp_TPR_8","WB_Comp_TPR_9","CB_Comp_RP_2","CB_Comp_TPR_3","CB_Comp_TPR_4"
"ITEM350CWBEYONDMIXERBROTH_ROM","CW BEYOND MIXER BROTH 01OZ","Wet Cat","NPP",0,0,1,"ROM","BJs",NA,NA,NA,NA,0.978468491846209,0.978468491846209,0,0,0,0,0.07034,1.19963324742068,0,0,35,857.897523783138,857.897523783138,1,NA,NA,NA,NA,NA,NA,NA,0,839.425696254685,0,NA,0,NA,NA,NA,NA,0,0,0,0,0,0,0.978468491846209,"2022-12-31",NA,NA,4,4,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ITEM350CWBEYONDMIXERBROTH_ROM","CW BEYOND MIXER BROTH 01OZ","Wet Cat","NPP",0,1,0,"ROM","BJs",NA,NA,NA,NA,0.978468491846209,0.978468491846209,0,0,0,0,0.07034,1.16330916531663,0,0,31.9230769230769,829.365284537612,829.365284537612,1,NA,NA,NA,NA,NA,NA,NA,0,811.507799151119,0,NA,0,NA,NA,NA,NA,0,0,0,0,0,0,0.978468491846209,"2022-09-24",NA,NA,3,3,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ITEM350CWBEYONDMIXERBROTH_ROM","CW BEYOND MIXER BROTH 01OZ","Wet Cat","NPP",1,0,0,"ROM","BJs",NA,NA,NA,NA,0.978468491846209,0.978468491846209,0,0,0,0,0.07034,1.08160444274342,0,0,28.9230769230769,769.747587394111,769.747587394111,1,NA,NA,NA,NA,NA,NA,NA,0,753.173760939774,0,NA,0,NA,NA,NA,NA,0,0,0,0,0,0,0.978468491846209,"2022-06-25",NA,NA,2,2,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ITEM350CWBEYONDMIXERBROTH_ROM","CW BEYOND MIXER BROTH 01OZ","Wet Cat","NPP",0,0,0,"ROM","BJs",NA,NA,NA,NA,0.978468491846209,0.978468491846209,0,0,0,0,0.07034,1.01968720247813,0,0,26,727.453733453238,727.453733453238,1,NA,NA,NA,NA,NA,NA,NA,0,711.790557459883,0,NA,0,NA,NA,NA,NA,0,0,0,0,0,0,0.978468491846209,"2022-03-26",NA,NA,1,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ITEM351CWBEYONDMIXERBROTH_ROM","CW BEYOND MIXER BROTH 01OZ 8CT","Wet Cat","NPP",0,0,1,"ROM","BJs",NA,NA,NA,NA,7.19062655920169,7.19062655920169,0,0,0,0,0.00568,1.19963324742068,0,0,35,583.508680250679,583.508680250679,1,NA,NA,NA,NA,NA,NA,NA,0,4195.79301373526,0,NA,0,NA,NA,NA,NA,0,0,0,0,0,0,7.19062655920169,"2022-12-31",NA,NA,4,4,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ITEM351CWBEYONDMIXERBROTH_ROM","CW BEYOND MIXER BROTH 01OZ 8CT","Wet Cat","NPP",0,1,0,"ROM","BJs",NA,NA,NA,NA,7.19062655920169,7.19062655920169,0,0,0,0,0.00568,1.16330916531663,0,0,31.9230769230769,383.719025363817,383.719025363817,1,NA,NA,NA,NA,NA,NA,NA,0,2759.18021505205,0,NA,0,NA,NA,NA,NA,0,0,0,0,0,0,7.19062655920169,"2022-09-24",NA,NA,3,3,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ITEM351CWBEYONDMIXERBROTH_ROM","CW BEYOND MIXER BROTH 01OZ 8CT","Wet Cat","NPP",1,0,0,"ROM","BJs",NA,NA,NA,NA,7.19062655920169,7.19062655920169,0,0,0,0,0.00568,1.08160444274342,0,0,28.9230769230769,306.837271143347,306.837271143347,1,NA,NA,NA,NA,NA,NA,NA,0,2206.35223123632,0,NA,0,NA,NA,NA,NA,0,0,0,0,0,0,7.19062655920169,"2022-06-25",NA,NA,2,2,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ITEM351CWBEYONDMIXERBROTH_ROM","CW BEYOND MIXER BROTH 01OZ 8CT","Wet Cat","NPP",0,0,0,"ROM","BJs",NA,NA,NA,NA,7.19062655920169,7.19062655920169,0,0,0,0,0.00568,1.01968720247813,0,0,26,232.535256751148,232.535256751148,1,NA,NA,NA,NA,NA,NA,NA,0,1672.07419314559,0,NA,0,NA,NA,NA,NA,0,0,0,0,0,0,7.19062655920169,"2022-03-26",NA,NA,1,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ITEM352CWBEYONDORGANIC_ROM","CW BEYOND ORGANIC 03OZ","Wet Cat","NPP",0,0,1,"ROM","BJs",NA,NA,NA,NA,1.61462788982056,1.61462788982056,0,0,0,0,0.047,1.19963324742068,0,0,35,2582.89621576527,2582.89621576527,1,NA,NA,NA,NA,NA,NA,NA,0,4170.41626648658,0,NA,0,NA,NA,NA,NA,0,0,0,0,0,0,1.61462788982056,"2022-12-31",NA,NA,4,4,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ITEM352CWBEYONDORGANIC_ROM","CW BEYOND ORGANIC 03OZ","Wet Cat","NPP",0,1,0,"ROM","BJs",NA,NA,NA,NA,1.61462788982056,1.61462788982056,0,0,0,0,0.047,1.16330916531663,0,0,31.9230769230769,2544.28422948783,2544.28422948783,1,NA,NA,NA,NA,NA,NA,NA,0,4108.07227656166,0,NA,0,NA,NA,NA,NA,0,0,0,0,0,0,1.61462788982056,"2022-09-24",NA,NA,3,3,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
