"PPG_Item_No","PPG_Item","PPG_Cat","PPG_MFG","flag_qtr2","flag_qtr3","flag_qtr4","Market","Retailer","PPG_Retailer","EachesLC","EachesOI","ImputedLC_retailer","Final_baseprice","Estimated_baseprice","tpr_discount_byppg","ACV_Feat_Only","ACV_Disp_Only","ACV_Feat_Disp","ACV_Selling","category_trend","tpr_discount_byppg_lag1","tpr_discount_byppg_lag2","monthno","pred_vol","base_vol","Model_flag","WB_Comp_RP_1","WB_Comp_RP_2","WB_Comp_RP_3","WB_Comp_TPR_1","CB_Comp_RP_1","CB_Comp_TPR_1","CB_Comp_TPR_2","lift_vol","base_doll","lift_doll","true_lift_doll","Cross_predicted_normalised","Within_predicted_normalised","Cross_predicted_non_normalised","Within_predicted_non_normalised","gross_lift_on_pred","true_lift_on_pred","original_base_doll","original_base_vol","Purina_sales","Purina_spend","Purina_Base_sales","Purina_ratf","Purina_Gross_Lift","Purina_True_Lift","Within","Cross","pred_vol_original","wk_sold_doll_byppg_original","Spend","median_baseprice_byppg","Date","OffInvoice","ListCost","qtr","borrowedqtr","missing_qtrs","WB_Comp_RP_4","WB_Comp_RP_5","WB_Comp_RP_6","WB_Comp_RP_7","WB_Comp_TPR_2","WB_Comp_TPR_3","WB_Comp_TPR_4","WB_Comp_TPR_5","WB_Comp_TPR_6","WB_Comp_TPR_7","WB_Comp_TPR_8","WB_Comp_TPR_9","CB_Comp_RP_2","CB_Comp_TPR_3","CB_Comp_TPR_4"
"ITEM6CTFRISKIESPARTYMIXCR_ROM","CT FRISKIES PARTY MIX/NAT YUM CR 02.1OZ","Cat Treats","NPP",0,0,1,"ROM","BJs",NA,NA,NA,NA,1.95654701193613,1.94777668557382,0,0.000604285714285714,0.00418071428571429,0,0.390350357142857,1.26642825152505,0,0,35,104394.217642857,103277.568352973,2,NA,NA,NA,NA,NA,NA,NA,1116.64928988386,201047.044739672,2181.29568889923,2181.29568889923,NA,NA,0,0,0,NA,202609.942156385,104082.711453626,NA,0,NA,NA,NA,NA,NA,NA,104082.711453626,202609.942156385,1040.81445645539,1.94647948430059,"2022-12-31",NA,NA,4,4,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ITEM6CTFRISKIESPARTYMIXCR_ROM","CT FRISKIES PARTY MIX/NAT YUM CR 02.1OZ","Cat Treats","NPP",0,1,0,"ROM","BJs",NA,NA,NA,NA,1.94141053607122,1.93325460000457,0,0.000582307692307692,0.00607769230769231,0,0.389970769230769,1.15819094348597,0,0,31.9230769230769,101999.881923077,99533.106322063,2,NA,NA,NA,NA,NA,NA,NA,2466.7756010139,192441.715945621,4777.35966976338,4777.35966976338,NA,NA,0,0,0,NA,193718.611820713,100201.80041082,NA,0,NA,NA,NA,NA,NA,NA,100201.80041082,193718.611820713,846.854113322765,1.93325460000457,"2022-09-24",NA,NA,3,3,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ITEM6CTFRISKIESPARTYMIXCR_ROM","CT FRISKIES PARTY MIX/NAT YUM CR 02.1OZ","Cat Treats","NPP",1,0,0,"ROM","BJs",NA,NA,NA,NA,1.80635290343459,1.76514046556962,0,0.00438538461538462,0.0107723076923077,0.000672307692307692,0.378417307692308,1.11332175607937,0,0,28.9230769230769,105661.484846154,101590.830639661,2,NA,NA,NA,NA,NA,NA,NA,4070.65420649258,178114.810688825,7039.69892655918,7039.69892655918,NA,NA,0,0,0,NA,179659.268526542,102460.282101447,NA,0,NA,NA,NA,NA,NA,NA,102460.282101447,179659.268526542,5661.61258169263,1.75453205306874,"2022-06-25",NA,NA,2,2,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ITEM6CTFRISKIESPARTYMIXCR_ROM","CT FRISKIES PARTY MIX/NAT YUM CR 02.1OZ","Cat Treats","NPP",0,0,0,"ROM","BJs",NA,NA,NA,NA,1.74720080500868,1.72967091226874,0,0.01554,0.00615583333333333,0.000666666666666667,0.376499166666667,1.06056601988526,0,0,26,96151.3534166667,95512.9918607968,2,NA,NA,NA,NA,NA,NA,NA,638.361555869834,162773.022813705,1048.27868629445,1048.27868629445,NA,NA,0,0,0,NA,172372.187839636,101041.133029926,NA,0,NA,NA,NA,NA,NA,NA,101041.133029926,172372.187839636,4122.94458611104,1.70664778050531,"2022-03-26",NA,NA,1,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ITEM7009CTFANCYFEASTSAVORYCRAVINGS_ROM","CT FANCY FEAST SAVORY CRAVINGS 3OZ","Cat Treats","NPP",0,0,1,"ROM","BJs",NA,NA,NA,NA,4.83027382968613,4.61250622324154,0.0581990739420642,0,0,0,0.0161264285714286,1.26642825152505,0.0672670981572858,0.0672670981572858,35,369.2375,350.138413823737,1,NA,NA,NA,NA,NA,NA,NA,19.0990861762632,1517.17282766558,90.709243762989,90.709243762989,NA,NA,0,0,0,NA,1955.0120871037,453.084953321197,NA,0,NA,NA,NA,NA,NA,NA,453.084953321197,1955.0120871037,171.563436741015,4.61250622324154,"2022-12-31",NA,NA,4,4,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ITEM7009CTFANCYFEASTSAVORYCRAVINGS_ROM","CT FANCY FEAST SAVORY CRAVINGS 3OZ","Cat Treats","NPP",0,1,0,"ROM","BJs",NA,NA,NA,NA,4.57232461518273,4.37131067967828,0.0233764859722492,0,0,0,0.0100096153846154,1.15819094348597,0.0323647449870062,0.0409218890829959,31.9230769230769,266.385769230769,266.385769230769,1,NA,NA,NA,NA,NA,NA,NA,0,1140.84276923077,0,0,NA,NA,0,0,0,NA,1996.76895777686,469.551472916489,NA,0,NA,NA,NA,NA,NA,NA,469.551472916489,1996.76895777686,87.5661358809404,4.35392198252127,"2022-09-24",NA,NA,3,3,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ITEM7009CTFANCYFEASTSAVORYCRAVINGS_ROM","CT FANCY FEAST SAVORY CRAVINGS 3OZ","Cat Treats","NPP",1,0,0,"ROM","BJs",NA,NA,NA,NA,4.47070663120908,3.20857038822197,0.0746444206957006,0.000633846153846154,0.000198461538461538,0,0.00776846153846154,1.11332175607937,0.0893807751594095,0.110332898791762,28.9230769230769,274.471230769231,256.623340890258,1,NA,NA,NA,NA,NA,NA,NA,17.8478898789732,741.51714646648,47.3740843027505,47.3740843027505,NA,NA,0,0,0,NA,1612.51894390688,551.647637001943,NA,0,NA,NA,NA,NA,NA,NA,551.647637001943,1612.51894390688,454.599671950212,3.20638966110824,"2022-06-25",NA,NA,2,2,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ITEM7009CTFANCYFEASTSAVORYCRAVINGS_ROM","CT FANCY FEAST SAVORY CRAVINGS 3OZ","Cat Treats","NPP",0,0,0,"ROM","BJs",NA,NA,NA,NA,4.91668763776958,4.68565760454351,0.265069745549258,0.000514166666666667,0.00265416666666667,0.000348333333333333,0.0413591666666667,1.06056601988526,0.228788719363162,0.196820345990791,26,1594.46441666667,856.654862432167,1,NA,NA,NA,NA,NA,NA,NA,737.8095542345,2826.49195771966,2425.69245894701,2425.69245894701,NA,NA,0,0,0,NA,2841.31130381546,863.696826462231,NA,0,NA,NA,NA,NA,NA,NA,863.696826462231,2841.31130381546,2581.02197645987,4.67204753890983,"2022-03-26",NA,NA,1,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ITEM7029CTKITKABOODLECR_ROM","CT KIT KABOODLE CR 04OZ","Cat Treats","NPP",0,0,1,"ROM","BJs",NA,NA,NA,NA,0.93939418272538,1.39013847483896,0.389166736040865,0,0,0,0.000000714285714285714,1.26642825152505,0.377166682948923,0.365247493887404,35,0.0714285714285714,0.0714285714285714,1,0.873820173507824,NA,NA,NA,NA,0,0,0,0.000714285714285714,0,0,NA,NA,0,0,0,NA,1.80046462424697,1.99981488036133,NA,0,NA,NA,NA,NA,NA,NA,1.99981488036133,1.80046462424697,0.106428571428571,1.39013847483896,"2022-12-31",NA,NA,4,4,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ITEM7029CTKITKABOODLECR_ROM","CT KIT KABOODLE CR 04OZ","Cat Treats","NPP",0,1,0,"ROM","BJs",NA,NA,NA,NA,1.63663461538462,1.70355769230769,0.278900373435285,0,0,0,0.0000584615384615385,1.15819094348597,0.288771888849293,0.34072098480242,31.9230769230769,1.38461538461538,1.33284499553675,1,0.892514541431511,NA,NA,NA,NA,0,0.0197756022818351,0.0517703890786315,1.46112502414616,0.0619518989307626,0.0619518989307626,NA,NA,0,0,0,NA,8.46426275904571,6.57250345971534,NA,0,NA,NA,NA,NA,NA,NA,6.57250345971534,8.46426275904571,0.762980769230768,1.70355769230769,"2022-09-24",NA,NA,3,3,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
