"PPG_Item_No","PPG_Cat","PPG_Item","MFG","Market","Retailer","Model_flag","PPG_Brand"
"ITEM224DWBELLA","Wet Dog","DW BELLA 03.5OZ 12CT","NPP","ROM","Brookshire Brothers",2,"Bella"
"ITEM225DWBENEFUL","Wet Dog","DW BENEFUL 10OZ 12CT","NPP","ROM","Brookshire Brothers",2,"Beneful"
"ITEM226CWCNPORGANIX","Wet Cat","CW C&P ORGANIX 05.5OZ","NPP","ROM","Brookshire Brothers",1,"A/O Brand"
"ITEM226DWBENEFUL","Wet Dog","DW BENEFUL 10OZ 06CT","NPP","ROM","Brookshire Brothers",2,"Beneful"
"ITEM227DWBENEFUL","Wet Dog","DW BENEFUL 03OZ 12CT","NPP","ROM","Brookshire Brothers",2,"Beneful"
"ITEM228CWCNPPRISTINE","Wet Cat","CW C&P PRISTINE 03OZ CAN","NPP","ROM","Brookshire Brothers",1,"A/O Brand"
"ITEM229DWBENEFULINCRNMED","Wet Dog","DW BENEFUL INCR N MED 03OZ 30CT","NPP","ROM","Brookshire Brothers",2,"Beneful"
"ITEM230CWFANCYFEASTAPPTZRS","Wet Cat","CW FANCY FEAST APPTZRS 01.1OZ","NPP","ROM","Brookshire Brothers",2,"Fancy Feast"
"ITEM230DWBENEFULSPRFOOD","Wet Dog","DW BENEFUL SPRFOOD 09OZ 06CT","NPP","ROM","Brookshire Brothers",1,"Beneful"
"ITEM231DWBENEFULSPRFOOD","Wet Dog","DW BENEFUL SPRFOOD 09OZ","NPP","ROM","Brookshire Brothers",1,"Beneful"
"ITEM232DWBEYONDGRFR","Wet Dog","DW BEYOND GR FR 13OZ 6CT","NPP","ROM","Brookshire Brothers",1,"Beyond"
"ITEM233DWBEYONDGRFR","Wet Dog","DW BEYOND GR FR 13OZ","NPP","ROM","Brookshire Brothers",2,"Beyond"
"ITEM234CWFRISKIESFAV","Wet Cat","CW FRISKIES FAV 05.5OZ 24CT","NPP","ROM","Brookshire Brothers",1,"Friskies"
"ITEM235CWFRISKIESFAV","Wet Cat","CW FRISKIES FAV 05.5OZ","NPP","ROM","Brookshire Brothers",2,"Friskies"
"ITEM236CWFRISKIESLILGRILSLURPUR","Wet Cat","CW FRISKIES LIL GRIL/SLUR/PUR 01.6OZ 18CT","NPP","ROM","Brookshire Brothers",1,"Friskies"
"ITEM236DWBEYONDORGANIC","Wet Dog","DW BEYOND ORGANIC 13OZ","NPP","ROM","Brookshire Brothers",1,"Beyond"
"ITEM237CWFRISKIESLILGRILSLURPUR","Wet Cat","CW FRISKIES LIL GRIL/SLUR/PUR 01.6OZ","NPP","ROM","Brookshire Brothers",2,"Friskies"
"ITEM238CWFRISKIESLILSOUPS","Wet Cat","CW FRISKIES LIL SOUPS 01.2OZ 18CT","NPP","ROM","Brookshire Brothers",1,"Friskies"
"ITEM238DWBEYONDWILD","Wet Dog","DW BEYOND WILD 13OZ","NPP","ROM","Brookshire Brothers",2,"Beyond"
"ITEM239CWFRISKIESPREMIUM","Wet Cat","CW FRISKIES PREMIUM 05.5OZ 24CT","NPP","ROM","Brookshire Brothers",1,"Friskies"
"ITEM240CWFRISKIESPREMIUM","Wet Cat","CW FRISKIES PREMIUM 05.5OZ","NPP","ROM","Brookshire Brothers",1,"Friskies"
"ITEM242CWKITKABOODLE","Wet Cat","CW KIT KABOODLE 05.35OZ","NPP","ROM","Brookshire Brothers",1,"Kit & Kaboodle"
"ITEM24MTYDG","Wet Dog","DW MTY DG 05.5OZ","NPP","Retailer","Brookshire Brothers",0,"Nppc Brand Group Rem"
"ITEM257CWFANCYFEASTPURELYFILETS","Wet Cat","CW FANCY FEAST PURELY FILETS 01OZ","NPP","ROM","Brookshire Brothers",1,"Fancy Feast"
