"PPG_Item_No","PPG_Cat","PPG_Item","MFG","Market","Retailer","Model_flag","PPG_Brand"
"ITEM259TIDYCATSNATSTRGNONCLUMP","Litter","CL TIDY CATS NAT STRG NON-CLUMP 20LB","NPP","Retailer","Meijer",2,"Tidy Cats"
"ITEM259TIDYCATSNATSTRGNONCLUMP","Litter","CL TIDY CATS NAT STRG NON-CLUMP 20LB","NPP","ROM","Meijer",2,"Tidy Cats"
"ITEM25BUSYCW","Dog Treats","DT BUSY CW 17-21OZ","NPP","Retailer","Meijer",2,"Busy"
"ITEM25BUSYCW","Dog Treats","DT BUSY CW 17-21OZ","NPP","ROM","Meijer",2,"Busy"
"ITEM263CWFRISKIESSTUFFD","Wet Cat","CW FRISKIES PREMIUM 05.5OZ 24CT","NPP","Retailer","Meijer",1,"Friskies"
"ITEM263CWFRISKIESSTUFFD","Wet Cat","CW FRISKIES PREMIUM 05.5OZ 24CT","NPP","ROM","Meijer",1,"Friskies"
"ITEM264YESTERDAYSNEWALT","Litter","CL YESTERDAYS NEW ALT 10LB","NPP","Retailer","Meijer",1,"Yesterday's News"
"ITEM264YESTERDAYSNEWALT","Litter","CL YESTERDAYS NEW ALT 10LB","NPP","ROM","Meijer",1,"Yesterday's News"
"ITEM268YESTERDAYSNEWALT","Litter","CL YESTERDAYS NEW ALT 20LB","NPP","Retailer","Meijer",0,"Yesterday's News"
"ITEM26CWFANCYFEASTML","Wet Cat","CW FANCY FEAST ML 03OZ 24CT","NPP","Retailer","Meijer",2,"Fancy Feast"
"ITEM26CWFANCYFEASTML","Wet Cat","CW FANCY FEAST ML 03OZ 24CT","NPP","ROM","Meijer",2,"Fancy Feast"
"ITEM274BUSYCHEWNOLACW","Dog Treats","DT BUSY CHEWNOLA CW 04OZ","NPP","Retailer","Meijer",2,"Busy"
"ITEM274BUSYCHEWNOLACW","Dog Treats","DT BUSY CHEWNOLA CW 04OZ","NPP","ROM","Meijer",2,"Busy"
"ITEM275TIDYCATSBREEZESTARTERORIGINAL","Litter","CL TIDY CATS BREEZE STARTER ORIGINAL","NPP","Retailer","Meijer",2,"Tidy Cats"
"ITEM279PUPPYCHOWMT","Dog Treats","DT PUPPY CHOW MT 24OZ","NPP","Retailer","Meijer",2,"Dog Chow Line"
"ITEM279PUPPYCHOWMT","Dog Treats","DT PUPPY CHOW MT 24OZ","NPP","ROM","Meijer",1,"Dog Chow Line"
"ITEM27CTKITKABOODLECR","Cat Treats","CT KIT KABOODLE CR 09OZ","NPP","Retailer","Meijer",0,"Kit & Kaboodle"
"ITEM27CTKITKABOODLECR","Cat Treats","CT KIT KABOODLE CR 09OZ","NPP","ROM","Meijer",1,"Kit & Kaboodle"
"ITEM27CWFRISKIES","Wet Cat","CW FRISKIES 05.5OZ 12CT","NPP","Retailer","Meijer",2,"Friskies"
"ITEM27CWFRISKIES","Wet Cat","CW FRISKIES 05.5OZ 12CT","NPP","ROM","Meijer",2,"Friskies"
"ITEM28BENEFUL","Wet Dog","DW BENEFUL 10OZ 06CT","NPP","Retailer","Meijer",2,"Beneful"
"ITEM28BENEFUL","Wet Dog","DW BENEFUL 10OZ 06CT","NPP","ROM","Meijer",2,"Beneful"
"ITEM298PUPPYCHOWMT","Dog Treats","DT PUPPY CHOW MT 07OZ","NPP","Retailer","Meijer",2,"Dog Chow Line"
"ITEM298PUPPYCHOWMT","Dog Treats","DT PUPPY CHOW MT 07OZ","NPP","ROM","Meijer",2,"Dog Chow Line"
"ITEM2CTFRISKIESPARTYMIXCR","Cat Treats","CT FRISKIES PARTY MIX/NAT YUM CR 06OZ","NPP","Retailer","Meijer",2,"Friskies"
"ITEM2CTFRISKIESPARTYMIXCR","Cat Treats","CT FRISKIES PARTY MIX/NAT YUM CR 06OZ","NPP","ROM","Meijer",2,"Friskies"
"ITEM2CWFANCYFEASTML","Wet Cat","CW FANCY FEAST ML 03OZ","NPP","Retailer","Meijer",2,"Fancy Feast"
"ITEM2CWFANCYFEASTML","Wet Cat","CW FANCY FEAST ML 03OZ","NPP","ROM","Meijer",2,"Fancy Feast"
"ITEM30008DCCATKITTENCHOW","Dry Cat","DC CAT/KITTEN CHOW 30LB","NPP","Retailer","Meijer",0,"Cat Chow Line"
"ITEM306CWPROPLANSPECIALIZED","Wet Cat","CW PRO PLAN SPECIALIZED 03OZ","NPP","ROM","Meijer",1,"Pro Plan"
"ITEM30CWFANCYFEASTPURELY","Wet Cat","CW FANCY FEAST PURELY 02OZ","NPP","Retailer","Meijer",2,"Fancy Feast"
"ITEM30CWFANCYFEASTPURELY","Wet Cat","CW FANCY FEAST PURELY 02OZ","NPP","ROM","Meijer",1,"Fancy Feast"
"ITEM311PIONEERWOMANMT","Dog Treats","DT PIONEER WOMAN MT 05OZ","NPP","Retailer","Meijer",1,"Pioneer Woman"
"ITEM311PIONEERWOMANMT","Dog Treats","DT PIONEER WOMAN MT 05OZ","NPP","ROM","Meijer",1,"Pioneer Woman"
"ITEM32CWFANCYFEASTBROTHS","Wet Cat","CW FANCY FEAST BROTHS 01.4OZ","NPP","Retailer","Meijer",2,"Fancy Feast"
"ITEM32CWFANCYFEASTBROTHS","Wet Cat","CW FANCY FEAST BROTHS 01.4OZ","NPP","ROM","Meijer",2,"Fancy Feast"
"ITEM355CWFANCYFEASTPETITES","Wet Cat","CW FANCY FEAST PETITES 02.8OZ","NPP","Retailer","Meijer",2,"Fancy Feast"
"ITEM355CWFANCYFEASTPETITES","Wet Cat","CW FANCY FEAST PETITES 02.8OZ","NPP","ROM","Meijer",2,"Fancy Feast"
"ITEM360CWFANCYFEASTPETITES","Wet Cat","CW FANCY FEAST PETITES 02.8OZ 12CT","NPP","Retailer","Meijer",2,"Fancy Feast"
"ITEM360CWFANCYFEASTPETITES","Wet Cat","CW FANCY FEAST PETITES 02.8OZ 12CT","NPP","ROM","Meijer",2,"Fancy Feast"
"ITEM362CWFANCYFEASTPETITES","Wet Cat","CW FANCY FEAST PETITES 02.8OZ 24CT","NPP","Retailer","Meijer",2,"Fancy Feast"
