"PPG_Item_No","PPG_Item","PPG_Cat","PPG_MFG","flag_qtr2","flag_qtr3","flag_qtr4","Market","Retailer","PPG_Retailer","EachesLC","EachesOI","ImputedLC_retailer","Final_baseprice","Estimated_baseprice","tpr_discount_byppg","ACV_Feat_Only","ACV_Disp_Only","ACV_Feat_Disp","ACV_Selling","category_trend","tpr_discount_byppg_lag1","tpr_discount_byppg_lag2","monthno","pred_vol","base_vol","Model_flag","WB_Comp_RP_1","WB_Comp_RP_2","WB_Comp_RP_3","WB_Comp_TPR_1","CB_Comp_RP_1","CB_Comp_RP_2","CB_Comp_TPR_1","CB_Comp_TPR_2","lift_vol","base_doll","lift_doll","true_lift_doll","Cross_predicted_normalised","Within_predicted_normalised","Cross_predicted_non_normalised","Within_predicted_non_normalised","gross_lift_on_pred","true_lift_on_pred","original_base_doll","original_base_vol","Purina_sales","Purina_spend","Purina_Base_sales","Purina_ratf","Purina_Gross_Lift","Purina_True_Lift","Within","Cross","pred_vol_original","wk_sold_doll_byppg_original","Spend","median_baseprice_byppg","Date","OffInvoice","ListCost","qtr","borrowedqtr","missing_qtrs","WB_Comp_RP_4","WB_Comp_RP_5","WB_Comp_TPR_2","WB_Comp_TPR_3","WB_Comp_TPR_4","WB_Comp_TPR_5","WB_Comp_TPR_6","WB_Comp_TPR_7","CB_Comp_TPR_3","WB_Comp_Interaction_TPR_1","WB_Comp_RP_6","CB_Comp_RP_3","CB_Comp_TPR_4","CB_Comp_TPR_5"
"ITEM39CTWHISKERLICKINSCR_ROM","CT WHISKER LICKINS CR 04OZ","Cat Treats","NPP",0,0,1,"ROM","Family Dollar",NA,NA,NA,NA,2.47868423491795,2.46148529966905,0,0,0.000149285714285714,0,0.173587857142857,1.25605404725319,0,0,35,10791.9941428571,10246.5556626052,2,NA,NA,NA,NA,NA,NA,NA,NA,545.438480251966,25133.8801806863,1341.9827478851,1341.9827478851,NA,NA,0,0,0,NA,25844.7335768304,10537.1502695467,NA,0,NA,NA,NA,NA,NA,NA,10537.1502695467,25844.7335768304,276.674585596129,2.45321389410721,"2022-12-31",NA,NA,4,4,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ITEM39CTWHISKERLICKINSCR_ROM","CT WHISKER LICKINS CR 04OZ","Cat Treats","NPP",0,1,0,"ROM","Family Dollar",NA,NA,NA,NA,2.46450152815077,2.45829515714342,0,0,0.000857692307692308,0,0.168609615384615,1.16817517555793,0,0,31.9230769230769,10750.1873076923,10219.7429787154,2,NA,NA,NA,NA,NA,NA,NA,NA,530.444328976939,25115.015040145,1304.96003677803,1304.96003677803,NA,NA,0,0,0,NA,25115.015040145,10219.7429787154,NA,0,NA,NA,NA,NA,0,0,10219.7429787154,25115.015040145,74.7057715376713,2.45756176053362,"2022-09-24",NA,NA,3,3,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ITEM39CTWHISKERLICKINSCR_ROM","CT WHISKER LICKINS CR 04OZ","Cat Treats","NPP",1,0,0,"ROM","Family Dollar",NA,NA,NA,NA,2.35261355018266,2.35149201723977,0.0347591436313688,0,0.000612307692307692,0,0.115032692307692,1.10630777717621,0.042224836736908,0.0480565369497401,28.9230769230769,10448.0693846154,9996.13457532503,2,NA,NA,NA,NA,NA,NA,NA,NA,451.934809290358,22657.0068906358,1016.21826321031,1016.21826321031,NA,NA,0,0,0,NA,23000.1451661667,10149.5427235701,NA,0,NA,NA,NA,NA,NA,NA,10149.5427235701,23000.1451661667,930.414277008373,2.35125296909685,"2022-06-25",NA,NA,2,2,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ITEM39CTWHISKERLICKINSCR_ROM","CT WHISKER LICKINS CR 04OZ","Cat Treats","NPP",0,0,0,"ROM","Family Dollar",NA,NA,NA,NA,2.38169859410827,2.38144885427378,0.0144055094282355,0.0007675,0.0000591666666666667,0,0.0335908333333333,1.07757855466302,0.00631767523056809,0,26,5095.51041666667,5077.72809713443,2,NA,NA,NA,NA,NA,NA,NA,NA,17.7823195322342,11812.8429747098,40.5593586235621,40.5593586235621,NA,NA,0,0,0,NA,13221.7430956745,5680.49912934261,NA,0,NA,NA,NA,NA,NA,NA,5680.49912934261,13221.7430956745,296.21396152362,2.37969388730984,"2022-03-26",NA,NA,1,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ITEM5109CTFANCYFEASTSAVORYCRAVINGS_ROM","CT FANCY FEAST SAVORY CRAVINGS 3OZ","Cat Treats","NPP",0,0,1,"ROM","Family Dollar",NA,NA,NA,NA,4.7178800775657,4.52424452463806,0.0406927006657898,0,0.000118571428571429,0,0.0153907142857143,1.25605404725319,0.0455870476254479,0.0455870476254479,35,1120.33528571429,1025.46413956854,1,NA,NA,NA,NA,NA,NA,NA,NA,94.8711461457493,4439.7199176233,437.491868090983,437.491868090983,NA,NA,0,0,0,NA,5433.10143053461,1262.14365591693,NA,0,NA,NA,NA,NA,NA,NA,1262.14365591693,5433.10143053461,400.520694008904,4.51418828139237,"2022-12-31",NA,NA,4,4,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ITEM5109CTFANCYFEASTSAVORYCRAVINGS_ROM","CT FANCY FEAST SAVORY CRAVINGS 3OZ","Cat Treats","NPP",0,1,0,"ROM","Family Dollar",NA,NA,NA,NA,4.70050300215588,4.41449789762759,0.00527083518732415,0,0.000165384615384615,0,0.00942461538461538,1.16817517555793,0.00518903402557986,0.00518903402557986,31.9230769230769,741.271,741.271,1,NA,NA,NA,NA,NA,NA,NA,NA,0,3245.45876923077,0,0,NA,NA,0,0,0,NA,5608.63636912327,1288.33353206022,NA,0,NA,NA,NA,NA,NA,NA,1288.33353206022,5608.63636912327,258.803829640689,4.38191250867716,"2022-09-24",NA,NA,3,3,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ITEM5109CTFANCYFEASTSAVORYCRAVINGS_ROM","CT FANCY FEAST SAVORY CRAVINGS 3OZ","Cat Treats","NPP",1,0,0,"ROM","Family Dollar",NA,NA,NA,NA,4.60255092109542,3.58707152219546,0.0110367702120626,0.000247692307692308,0.000285384615384615,0,0.00826923076923077,1.10630777717621,0.0260443098620125,0.054031397312131,28.9230769230769,781.192769230769,721.385129885307,1,NA,NA,NA,NA,NA,NA,NA,NA,59.8076393454623,2471.56470251568,177.891220561239,177.891220561239,NA,NA,0,0,0,NA,5008.10855605338,1415.40038105056,NA,0,NA,NA,NA,NA,NA,NA,1415.40038105056,5008.10855605338,1017.75925930133,3.57586409388694,"2022-06-25",NA,NA,2,2,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ITEM5109CTFANCYFEASTSAVORYCRAVINGS_ROM","CT FANCY FEAST SAVORY CRAVINGS 3OZ","Cat Treats","NPP",0,0,0,"ROM","Family Dollar",NA,NA,NA,NA,4.99566558804078,4.70954232475013,0.262299186313694,0.000964166666666667,0.00191,0.000314166666666667,0.0434375,1.07757855466302,0.240419564831871,0.210100220094242,26,5608.95175,3402.12980448489,1,NA,NA,NA,NA,NA,NA,NA,NA,2206.82194551511,10810.352637913,7266.04794542035,7266.04794542035,NA,NA,0,0,0,NA,10810.352637913,3402.12980448489,NA,0,NA,NA,NA,NA,0,0,3402.12980448489,10810.352637913,9949.56434724659,4.69227111253166,"2022-03-26",NA,NA,1,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ITEM5130CTKITKABOODLECR_ROM","CT KIT KABOODLE CR 04OZ","Cat Treats","NPP",0,0,1,"ROM","Family Dollar",NA,NA,NA,NA,0.38554523175503,0.457647080277156,0.717209774698862,0,0,0,0.000000714285714285714,1.25605404725319,0.788044098444999,0.790638664053523,35,2.21428571428571,1.19406631210867,1,0.921760740371196,2.56886700856198,1.32190064067755,0,NA,NA,0.0197247041674346,NA,1.02021940217704,0.0119406631210867,0.0102021940217704,0.0102021940217704,NA,NA,0,0,0,NA,0.455116173133712,5.48163220555266,NA,0,NA,NA,NA,NA,NA,NA,5.48163220555266,0.455116173133712,1.54818449242788,0.457647080277156,"2022-12-31",NA,NA,4,4,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ITEM5130CTKITKABOODLECR_ROM","CT KIT KABOODLE CR 04OZ","Cat Treats","NPP",0,1,0,"ROM","Family Dollar",NA,NA,NA,NA,0.774846153846154,0.812307692307692,0.639254759490264,0,0,0,0.0000176923076923077,1.16817517555793,0.609753431248741,0.591162621060593,31.9230769230769,3.76923076923077,3.55196376760179,1,0.962383827249487,2.3971505235691,1.39799642654533,0,NA,NA,0.0828903804333435,NA,0.217267001628984,0.987330639438713,0.0534385913305178,0.0534385913305178,NA,NA,0,0,0,NA,2.50144084787349,10.203208849089,NA,0,NA,NA,NA,NA,NA,NA,10.203208849089,2.50144084787349,1.82994230769231,0.812307692307692,"2022-09-24",NA,NA,3,3,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
