"Brand","PPG_Item","Category","Market","Retailer","Feature_Spend","Display_Spend"
"Beneful","DD BENEFUL 40LB","Dry Dog","ROM","Family Dollar",2500,1020.89666666667
"Beneful","DD BENEFUL PREMIUM 09.4-12.5LB","Dry Dog","ROM","Family Dollar",2500,1020.89666666667
"Beneful","DW BENEFUL 03OZ 12CT","Wet Dog","ROM","Family Dollar",2500,1020.89666666667
"Beneful","DD BENEFUL 06.3LB","Dry Dog","ROM","Family Dollar",2500,1020.89666666667
"Beneful","DD BENEFUL 06OZ","Dry Dog","Retailer","Family Dollar",2500,1020.89666666667
"Beneful","DD BENEFUL 14LB","Dry Dog","ROM","Family Dollar",2500,1020.89666666667
"Beneful","DW BENEFUL 10OZ 12CT","Wet Dog","ROM","Family Dollar",2500,1020.89666666667
"Beneful","DD BENEFUL 48LB","Dry Dog","ROM","Family Dollar",2500,1020.89666666667
"Beneful","DD BENEFUL PREMIUM 03LB","Dry Dog","ROM","Family Dollar",2500,1020.89666666667
"Beneful","DD BENEFUL 28LB","Dry Dog","ROM","Family Dollar",2500,1020.89666666667
"Beneful","DW BENEFUL SPRFOOD 09OZ","Wet Dog","ROM","Family Dollar",2500,1020.89666666667
"Beneful","DW BENEFUL 03OZ 12CT","Wet Dog","Retailer","Family Dollar",2500,1020.89666666667
"Beneful","DD BENEFUL 03.5LB","Dry Dog","ROM","Family Dollar",2500,1020.89666666667
"Beneful","DD BENEFUL SMP GDNSS 09.4-12.5LB","Dry Dog","ROM","Family Dollar",2500,1020.89666666667
"Beneful","DW BENEFUL SPRFOOD 09OZ 06CT","Wet Dog","ROM","Family Dollar",2500,1020.89666666667
"Beneful","DW BENEFUL 03OZ 03CT","Wet Dog","ROM","Family Dollar",2500,1020.89666666667
"Beneful","DD BENEFUL 12LB","Dry Dog","Retailer","Family Dollar",2500,1020.89666666667
"Beneful","DD BENEFUL PREMIUM 03LB","Dry Dog","Retailer","Family Dollar",2500,1020.89666666667
"Beneful","DD BENEFUL 12LB","Dry Dog","ROM","Family Dollar",2500,1020.89666666667
"Beneful","DD BENEFUL PREMIUM 03.3-4.5LB","Dry Dog","ROM","Family Dollar",2500,1020.89666666667
"Beneful","DW BENEFUL 03OZ 03CT","Wet Dog","Retailer","Family Dollar",2500,1020.89666666667
"Beneful","DW BENEFUL INCR N MED 03OZ 30CT","Wet Dog","ROM","Family Dollar",2500,1020.89666666667
"Beneful","DD BENEFUL 03.5LB","Dry Dog","Retailer","Family Dollar",2500,1020.89666666667
"Beyond","DD BEYOND GR FR 23LB","Dry Dog","ROM","Family Dollar",0,0
"Beyond","DC BEYOND REGIONAL 03LB","Dry Cat","ROM","Family Dollar",0,0
"Beyond","DD BEYOND GR FR 13LB","Dry Dog","ROM","Family Dollar",0,0
"Beyond","DD BEYOND SMP9 14.5-15.5LB","Dry Dog","ROM","Family Dollar",0,0
"Beyond","CW BEYOND 03OZ 6CT","Wet Cat","ROM","Family Dollar",0,0
"Beyond","DD BEYOND PUPPY 03LB","Dry Dog","ROM","Family Dollar",0,0
"Beyond","DW BEYOND GR FR 13OZ 12CT","Wet Dog","ROM","Family Dollar",0,0
"Beyond","DW BEYOND BEEF JERKY BOOST 05OZ","Dry Dog","ROM","Family Dollar",0,0
"Beyond","DW BEYOND GR FR 13OZ 6CT","Wet Dog","ROM","Family Dollar",0,0
"Beyond","DD BEYOND ORGANIC 13LB","Dry Dog","ROM","Family Dollar",0,0
"Beyond","DW BEYOND MIXERS SUPPORT 03OZ 6CT","Wet Dog","ROM","Family Dollar",0,0
"Beyond","CW BEYOND 03OZ","Wet Cat","ROM","Family Dollar",0,0
"Beyond","DW BEYOND BROTH 01.6OZ 8CT","Wet Dog","ROM","Family Dollar",0,0
"Beyond","DD BEYOND ORGANIC 06LB","Dry Dog","ROM","Family Dollar",0,0
"Beyond","CT BEYOND CR 02.1OZ","Cat Treats","ROM","Family Dollar",0,0
"Beyond","CW BEYOND SIMP ORGS 03OZ","Wet Cat","ROM","Family Dollar",0,0
"Beyond","DC BEYOND GR FR 11LB","Dry Cat","ROM","Family Dollar",0,0
"Beyond","DC BEYOND GR FR 03LB","Dry Cat","ROM","Family Dollar",0,0
"Beyond","DC BEYOND KITTEN 03LB","Dry Cat","ROM","Family Dollar",0,0
