"PPG_Item_No","PPG_Item","PPG_Cat","PPG_MFG","flag_qtr2","flag_qtr3","flag_qtr4","Market","Retailer","PPG_Retailer","EachesLC","EachesOI","ImputedLC_retailer","Final_baseprice","Estimated_baseprice","tpr_discount_byppg","ACV_Feat_Only","ACV_Disp_Only","ACV_Feat_Disp","ACV_Selling","category_trend","tpr_discount_byppg_lag1","tpr_discount_byppg_lag2","monthno","pred_vol","base_vol","Model_flag","WB_Comp_RP_1","WB_Comp_RP_2","WB_Comp_RP_3","WB_Comp_TPR_1","CB_Comp_RP_1","CB_Comp_RP_2","CB_Comp_TPR_1","CB_Comp_TPR_2","lift_vol","base_doll","lift_doll","Purina_sales","Purina_spend","Purina_Base_sales","Purina_ratf","Purina_Gross_Lift","Purina_True_Lift","Within_non_normalised","Cross_non_normalised","true_lift_doll","Within","Cross","Spend","median_baseprice_byppg","Date","OffInvoice","ListCost","qtr","borrowedqtr","missing_qtrs","WB_Comp_RP_4","WB_Comp_RP_5","WB_Comp_TPR_2","WB_Comp_TPR_3","WB_Comp_TPR_4","WB_Comp_TPR_5","WB_Comp_TPR_6","WB_Comp_TPR_7","CB_Comp_TPR_3","WB_Comp_Interaction_TPR_1","WB_Comp_RP_6","CB_Comp_RP_3","CB_Comp_TPR_4","CB_Comp_TPR_5"
"ITEM39CTWHISKERLICKINSCR_ROM","CT WHISKER LICKINS CR 04OZ","Cat Treats","NPP",0,0,1,"ROM","Family Dollar",NA,NA,NA,NA,2.46291590578035,2.46291590578035,0,0,0,0,0.181565,1.25605404725319,0,0,35,10973.0064911623,10973.0064911623,2,NA,NA,NA,NA,NA,NA,NA,NA,0,27025.5922213147,0,NA,0,NA,NA,NA,NA,0,0,0,NA,NA,0,2.46291590578035,"2022-12-31",NA,NA,4,4,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ITEM39CTWHISKERLICKINSCR_ROM","CT WHISKER LICKINS CR 04OZ","Cat Treats","NPP",0,1,0,"ROM","Family Dollar",NA,NA,NA,NA,2.46291590578035,2.46291590578035,0,0,0,0,0.181565,1.16817517555793,0,0,31.9230769230769,10973.0064911623,10973.0064911623,2,NA,NA,NA,NA,NA,NA,NA,NA,0,27025.5922213147,0,NA,0,NA,NA,NA,NA,0,0,0,NA,NA,0,2.46291590578035,"2022-09-24",NA,NA,3,3,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ITEM39CTWHISKERLICKINSCR_ROM","CT WHISKER LICKINS CR 04OZ","Cat Treats","NPP",1,0,0,"ROM","Family Dollar",NA,NA,NA,NA,2.46291590578035,2.46291590578035,0,0,0,0,0.181565,1.10630777717621,0,0,28.9230769230769,10973.0064911623,10973.0064911623,2,NA,NA,NA,NA,NA,NA,NA,NA,0,27025.5922213147,0,NA,0,NA,NA,NA,NA,0,0,0,NA,NA,0,2.46291590578035,"2022-06-25",NA,NA,2,2,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ITEM39CTWHISKERLICKINSCR_ROM","CT WHISKER LICKINS CR 04OZ","Cat Treats","NPP",0,0,0,"ROM","Family Dollar",NA,NA,NA,NA,2.46291590578035,2.46291590578035,0,0,0,0,0.181565,1.07757855466302,0,0,26,10973.0064911623,10973.0064911623,2,NA,NA,NA,NA,NA,NA,NA,NA,0,27025.5922213147,0,NA,0,NA,NA,NA,NA,0,0,0,NA,NA,0,2.46291590578035,"2022-03-26",NA,NA,1,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ITEM5109CTFANCYFEASTSAVORYCRAVINGS_ROM","CT FANCY FEAST SAVORY CRAVINGS 3OZ","Cat Treats","NPP",0,0,1,"ROM","Family Dollar",NA,NA,NA,NA,4.56285381501043,4.56285381501043,0,0,0,0,0.015205,1.25605404725319,0,0,35,738.89598752163,738.89598752163,1,NA,NA,NA,NA,NA,NA,NA,NA,0,3371.47437555897,0,NA,0,NA,NA,NA,NA,0,0,0,NA,NA,0,4.56285381501043,"2022-12-31",NA,NA,4,4,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ITEM5109CTFANCYFEASTSAVORYCRAVINGS_ROM","CT FANCY FEAST SAVORY CRAVINGS 3OZ","Cat Treats","NPP",0,1,0,"ROM","Family Dollar",NA,NA,NA,NA,4.56285381501043,4.56285381501043,0,0,0,0,0.015205,1.16817517555793,0,0,31.9230769230769,825.094424202618,825.094424202618,1,NA,NA,NA,NA,NA,NA,NA,NA,0,3764.78524121675,0,NA,0,NA,NA,NA,NA,0,0,0,NA,NA,0,4.56285381501043,"2022-09-24",NA,NA,3,3,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ITEM5109CTFANCYFEASTSAVORYCRAVINGS_ROM","CT FANCY FEAST SAVORY CRAVINGS 3OZ","Cat Treats","NPP",1,0,0,"ROM","Family Dollar",NA,NA,NA,NA,4.56285381501043,4.56285381501043,0,0,0,0,0.015205,1.10630777717621,0,0,28.9230769230769,918.827212805308,918.827212805308,1,NA,NA,NA,NA,NA,NA,NA,NA,0,4192.4742532841,0,NA,0,NA,NA,NA,NA,0,0,0,NA,NA,0,4.56285381501043,"2022-06-25",NA,NA,2,2,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ITEM5109CTFANCYFEASTSAVORYCRAVINGS_ROM","CT FANCY FEAST SAVORY CRAVINGS 3OZ","Cat Treats","NPP",0,0,0,"ROM","Family Dollar",NA,NA,NA,NA,4.56285381501043,4.56285381501043,0,0,0,0,0.015205,1.07757855466302,0,0,26,1020.37686033415,1020.37686033415,1,NA,NA,NA,NA,NA,NA,NA,NA,0,4655.83044992406,0,NA,0,NA,NA,NA,NA,0,0,0,NA,NA,0,4.56285381501043,"2022-03-26",NA,NA,1,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ITEM5130CTKITKABOODLECR_ROM","CT KIT KABOODLE CR 04OZ","Cat Treats","NPP",0,0,1,"ROM","Family Dollar",NA,NA,NA,NA,0.319291379132763,0.319291379132763,0,0,0,0,0,1.25605404725319,0,0,35,4.08632184622831,4.08632184622831,1,0.919328764175512,2.62124768579117,1.3299188891146,0,NA,NA,0,NA,0,1.30472733786257,0,NA,0,NA,NA,NA,NA,0,0,0,NA,NA,0,0.319291379132763,"2022-12-31",NA,NA,4,4,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ITEM5130CTKITKABOODLECR_ROM","CT KIT KABOODLE CR 04OZ","Cat Treats","NPP",0,1,0,"ROM","Family Dollar",NA,NA,NA,NA,0.319291379132763,0.319291379132763,0,0,0,0,0,1.16817517555793,0,0,31.9230769230769,8.39853454797957,8.39853454797957,1,0.919328764175512,2.62124768579117,1.3299188891146,0,NA,NA,0,NA,0,2.68157967851855,0,NA,0,NA,NA,NA,NA,0,0,0,NA,NA,0,0.319291379132763,"2022-09-24",NA,NA,3,3,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
