"PPG_Item_No","PPG_Cat","PPG_Item","MFG","Market","Retailer","Model_flag","PPG_Brand"
"ITEM1608DDPROPLANSPORTBREEDER","Dry Dog","DD PRO PLAN SPORT BREEDER 37.5LB","NPP","ROM","Family Dollar",1,"Pro Plan"
"ITEM1609DDPUPPYCHOW","Dry Dog","DD PUPPY CHOW 04.4LB","NPP","Retailer","Family Dollar",1,"Dog Chow Line"
"ITEM1609DDPUPPYCHOW","Dry Dog","DD PUPPY CHOW 04.4LB","NPP","ROM","Family Dollar",2,"Dog Chow Line"
"ITEM160CWFANCYFEASTMEDLEYS","Wet Cat","CW FANCY FEAST MEDLEYS 03OZ 18CT","NPP","ROM","Family Dollar",1,"Fancy Feast"
"ITEM1610DDPUPPYCHOW","Dry Dog","DD PUPPY CHOW 32-36LB","NPP","ROM","Family Dollar",2,"Dog Chow Line"
"ITEM1611DDPUPPYCHOW","Dry Dog","DD PUPPY CHOW 40LB","NPP","ROM","Family Dollar",1,"Dog Chow Line"
"ITEM1613DDPURINAONEMLTRGTD","Dry Dog","DD PURINA ONE ML TRGTD 12.5LB","NPP","ROM","Family Dollar",1,"Purina One"
"ITEM1614DDPURINAONEMLTRGTD","Dry Dog","DD PURINA ONE ML TRGTD 03.8-4LB","NPP","ROM","Family Dollar",1,"Purina One"
"ITEM1615DDPURINAONEML","Dry Dog","DD PURINA ONE ML 18LB","NPP","ROM","Family Dollar",1,"Purina One"
"ITEM1616DDPURINAONEML","Dry Dog","DD PURINA ONE ML 16.5LB","NPP","Retailer","Family Dollar",0,"Purina One"
"ITEM1616DDPURINAONEML","Dry Dog","DD PURINA ONE ML 16.5LB","NPP","ROM","Family Dollar",2,"Purina One"
"ITEM1617DDPURINAONEML","Dry Dog","DD PURINA ONE ML 34LB","NPP","ROM","Family Dollar",1,"Purina One"
"ITEM1618DDPURINAONETRUINSTBNB","Dry Dog","DD PURINA ONE TRU INST B&B 03.8LB","NPP","ROM","Family Dollar",1,"Purina One"
"ITEM1619DDPURINAONETRUINSTBNB","Dry Dog","DD PURINA ONE TRU INST B&B 36LB","NPP","ROM","Family Dollar",1,"Purina One"
"ITEM1620DDPURINAONETRUINSTHIPRO","Dry Dog","DD PURINA ONE TRU INST HI-PRO 03.8LB","NPP","ROM","Family Dollar",1,"Purina One"
"ITEM1621DDPURINAONETRUINST","Dry Dog","DD PURINA ONE TRU INST 03.8LB","NPP","ROM","Family Dollar",2,"Purina One"
"ITEM162CWFANCYFEASTML","Wet Cat","CW FANCY FEAST ML 03OZ 48CT","NPP","ROM","Family Dollar",1,"Fancy Feast"
"ITEM1697KITKABOODLE","Dry Cat","DC KIT KABOODLE 11LB","NPP","Retailer","Family Dollar",2,"Kit & Kaboodle"
"ITEM1697KITKABOODLE","Dry Cat","DC KIT KABOODLE 11LB","NPP","ROM","Family Dollar",1,"Kit & Kaboodle"
"ITEM1726FRISKIESML","Dry Cat","DC FRISKIES ML 03.2LB","NPP","Retailer","Family Dollar",2,"Friskies"
"ITEM1726FRISKIESML","Dry Cat","DC FRISKIES ML 03.2LB","NPP","ROM","Family Dollar",2,"Friskies"
"ITEM172CWFANCYFEASTSAVRYCNTR","Wet Cat","CW FANCY FEAST SAVRY CNTR 03OZ","NPP","ROM","Family Dollar",1,"Fancy Feast"
"ITEM175BEGGINMT","Dog Treats","DT BEGGIN MT 06OZ","NPP","Retailer","Family Dollar",2,"Beggin'"
"ITEM175BEGGINMT","Dog Treats","DT BEGGIN MT 06OZ","NPP","ROM","Family Dollar",2,"Beggin'"
