"Modelled_PPG_Item_No","PPG_Cat","Retailer","PPG_Description","Regular_Price","Promoted_Discount","Pantry_Loading_1","Pantry_Loading_2","category_trend","flag_qtr2","flag_qtr3","monthno","WB_Comp_RP_1","WB_Comp_TPR_1","WB_Comp_TPR_2","CB_Comp_RP_1","CB_Comp_TPR_1","CB_Comp_TPR_2","CB_Comp_TPR_3","Intercept","Market","flag_qtr4","WB_Comp_RP_2","WB_Comp_RP_3","WB_Comp_TPR_3","WB_Comp_TPR_4","WB_Comp_TPR_5","CB_Comp_RP_2","CB_Comp_RP_3","CB_Comp_RP_4","CB_Comp_TPR_4","WB_Comp_Interaction_RP_1","WB_Comp_Interaction_RP_2","WB_Comp_Interaction_TPR_1","WB_Comp_Interaction_TPR_2","CB_Comp_TPR_5","WB_Comp_Interaction_RP_3","WB_Comp_RP_4","CB_Comp_TPR_6","CB_Comp_RP_5","Model_flag"
"ITEM100025CLTIDYCATSPURENATUREALT_Retailer","Litter","Amazon","CL TIDY CATS PURE NATURE ALT 07.5LB",-1.89735428389076,13.0101808196428,-0.117195421055632,-4.32563953258427,4.84939168379639,0,0,0,0,0,NA,NA,0,NA,NA,1.85498268889791,"Retailer",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2
"ITEM100025CLTIDYCATSPURENATUREALT_ROM","Litter","Amazon","CL TIDY CATS PURE NATURE ALT 07.5LB",-1.79828411264414,2.03486000807691,-0.587851280520548,-0.710758968145779,0,0,0,0,0,0,NA,NA,0,NA,NA,7.78015899047958,"ROM",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2
"ITEM100026CLTIDYCATSPURENATUREALT_ROM","Litter","Amazon","CL TIDY CATS PURE NATURE ALT 12LB",-0.414728516321937,1.77808185971505,-0.335157877570251,-1.4380303514895,0.0645058425395969,0,0,0.00904677575173123,0,0,NA,NA,0,NA,NA,8.08140056996414,"ROM",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2
"ITEM100029CLYESTERDAYSNEWALT_ROM","Litter","Amazon","CL YESTERDAYS NEW ALT 20LB",-1.70484545577718,1.00210145924425,-0.198487991934959,-0.416187828814314,0,0,0,0.0273400698848124,0,-0.321901683158736,NA,NA,0,NA,NA,10.579419988942,"ROM",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2
"ITEM100031CLYESTERDAYSNEWSALT_ROM","Litter","Amazon","CL YESTERDAYS NEWS ALT 13.2LB",-2.23287360529302,1.75059634997642,-0.272847766716017,-0.189173780485771,0,0,0,0,0,0,NA,NA,0,NA,NA,12.1810662448422,"ROM",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2
"ITEM120004CWBEYOND_Retailer","Wet Cat","Amazon","CW BEYOND 03OZ 12CT",0,2.04177031551328,-2.4134311169165,-0.25270632444843,0.746316259373204,0,0,0.00252156720342194,0,-6.73370125093577,-0.639949471726989,0,-0.44738525768177,-4.03906062003062,0,5.55707820019181,"Retailer",0.364804150276772,0,0,0,0,NA,0,0,0,0,0,NA,-55.3540683964618,NA,0,NA,NA,NA,0,2
"ITEM120004CWBEYOND_ROM","Wet Cat","Amazon","CW BEYOND 03OZ 12CT",0,2.75531749530551,-0.259730468683467,-1.58304938629258,0,0.295019573701819,0.140999196166639,0.0917412058588301,0,0,0,0,0,0,0,5.32934960780149,"ROM",0,0,0,0,0,NA,0,0,0,0,0,NA,0,NA,0,NA,NA,NA,0,2
"ITEM120005CWBEYOND_Retailer","Wet Cat","Amazon","CW BEYOND 03OZ 24CT",-2.92252623938599,6.64078055932103,-5.61932559166198,-2.11942800830853,0,0,0,0,0,-8.28433255025194,0,0.327836018211242,-6.32202221931689,-3.25968032447274,0,13.1851996709137,"Retailer",0.183922318499505,0,0,0,0,NA,0,0,0,0,0,NA,0,NA,0,NA,NA,NA,0,2
"ITEM120005CWBEYOND_ROM","Wet Cat","Amazon","CW BEYOND 03OZ 24CT",-2.30342066011192,0.71429264324368,-0.868515494530362,-0.851720131351854,0,0,0,0,0,0,0,0,0,0,0,14.2883344850035,"ROM",0,0,0,0,0,NA,0,0,0,0,0,NA,0,NA,0,NA,NA,NA,0,2
"ITEM120006CWBEYOND_ROM","Wet Cat","Amazon","CW BEYOND 03OZ 6CT",0,1.42163372078346,-0.186084000970261,-0.269593188653005,0.422005792905618,0,0,0.0166145028711974,0,0,0,0,0,0,0,6.08954762244157,"ROM",0,0,0,0,0,NA,0,0,0,0,0,NA,0,NA,0,NA,NA,NA,0,2
"ITEM120007CWBEYOND_Retailer","Wet Cat","Amazon","CW BEYOND 03OZ",-1.58414614335409,1.06400935150437,-0.110806895181065,-0.115353020772056,0.156188537303629,0,0,0.0122238976167957,0,-3.59873882387145,0,0,-0.402897643446686,0,0,10.7523214332139,"Retailer",0.102527802808134,0,0,0,0,NA,0,0,0,0,0,NA,0,NA,0,NA,NA,NA,0,2
"ITEM120007CWBEYOND_ROM","Wet Cat","Amazon","CW BEYOND 03OZ",0,0.070599206398646,-0.663983043094801,-0.340534925582729,0,0,0,0,0,0,0,0,0,0,0,11.5992371581376,"ROM",0,0,0,0,0,NA,0,0,0,0,0,NA,0,NA,0,NA,NA,NA,0,2
"ITEM120008CWBEYONDMIXERBROTH_ROM","Wet Cat","Amazon","CW BEYOND MIXER BROTH 01OZ 8CT",-1.00911431917304,0.903589299586284,-0.10248417152556,-0.25614624139475,0,0,0,0,0,0,0,0,0,0,0,6.23073502822665,"ROM",0,0,0,0,0,NA,0,0,0,0,0,NA,0,NA,0,NA,NA,NA,0,2
"ITEM120009CWBEYONDMIXERBROTH_Retailer","Wet Cat","Amazon","CW BEYOND MIXER BROTH 01OZ",-3.38775308849003,2.7467935688842,-0.951038592122529,-0.278857330158075,0,0,0,0,0,0,0,0,0,0,0,7.32409008084866,"Retailer",0,0,0,0,0,NA,0,0,0,0,0,NA,0,NA,0,NA,NA,NA,0,2
"ITEM120009CWBEYONDMIXERBROTH_ROM","Wet Cat","Amazon","CW BEYOND MIXER BROTH 01OZ",-2.19978492159178,0,-0.877674069274563,-0.222583291855651,0,0,0,0.00177940505336779,0,0,0,0,0,0,0,7.10153507071365,"ROM",0,0,0,0,0,NA,0,0,0,0,0,NA,0,NA,0,NA,NA,NA,0,2
