"PPG_Item","Category","Market","Retailer","Brand","Display_Spend","Feature_Spend"
"CL TIDY CATS CLUMP NON-LW BAG ECOM 40LB","Litter","ROM","Amazon","Tidy Cats",0,0
"CL TIDY CATS MAX CLUMP LW 17LB","Litter","Retailer","Amazon","Tidy Cats",0,0
"CL TIDY CATS MAX CLUMP LW 17LB","Litter","ROM","Amazon","Tidy Cats",0,0
"CL TIDY CATS MAX CLUMP NON-LW BAG 38LB","Litter","Retailer","Amazon","Tidy Cats",0,0
"CL TIDY CATS MAX CLUMP NON-LW BAG 38LB","Litter","ROM","Amazon","Tidy Cats",0,0
"CL TIDY CATS NAT STRG NON-CLUMP 40LB","Litter","Retailer","Amazon","Tidy Cats",0,0
"CL TIDY CATS NAT STRG NON-CLUMP 40LB","Litter","ROM","Amazon","Tidy Cats",0,0
"CL TIDY CATS NON-CLUMP 10LB","Litter","Retailer","Amazon","Tidy Cats",0,0
"CL TIDY CATS NON-CLUMP 10LB","Litter","ROM","Amazon","Tidy Cats",0,0
"CL TIDY CATS NON-CLUMP 20LB","Litter","Retailer","Amazon","Tidy Cats",0,0
"CL TIDY CATS NON-CLUMP 20LB","Litter","ROM","Amazon","Tidy Cats",0,0
"CL TIDY CATS NON-CLUMP 40LB","Litter","ROM","Amazon","Tidy Cats",0,0
"CL TIDY CATS PURE NATURE ALT 07.5LB","Litter","Retailer","Amazon","Tidy Cats",0,0
"CL TIDY CATS PURE NATURE ALT 07.5LB","Litter","ROM","Amazon","Tidy Cats",0,0
"CL TIDY CATS PURE NATURE ALT 12LB","Litter","ROM","Amazon","Tidy Cats",0,0
"CL YESTERDAYS NEW ALT 20LB","Litter","ROM","Amazon","Yesterday's News",0,0
"CL YESTERDAYS NEWS ALT 13.2LB","Litter","ROM","Amazon","Yesterday's News",0,0
"CW BEYOND 03OZ 12CT","Wet Cat","Retailer","Amazon","Beyond",0,0
"CW BEYOND 03OZ 12CT","Wet Cat","ROM","Amazon","Beyond",0,0
"CW BEYOND 03OZ 24CT","Wet Cat","Retailer","Amazon","Beyond",0,0
"CW BEYOND 03OZ 24CT","Wet Cat","ROM","Amazon","Beyond",0,0
"CW BEYOND 03OZ 6CT","Wet Cat","ROM","Amazon","Beyond",0,0
"CW BEYOND 03OZ","Wet Cat","Retailer","Amazon","Beyond",0,0
"CW BEYOND 03OZ","Wet Cat","ROM","Amazon","Beyond",0,0
"CW BEYOND MIXER BROTH 01OZ 8CT","Wet Cat","ROM","Amazon","Beyond",0,0
"CW BEYOND MIXER BROTH 01OZ","Wet Cat","Retailer","Amazon","Beyond",0,0
"CW BEYOND MIXER BROTH 01OZ","Wet Cat","ROM","Amazon","Beyond",0,0
"CW BEYOND MIXER DIGEST SUPPORT 01OZ 8CT","Wet Cat","ROM","Amazon","Beyond",0,0
"CW BEYOND MIXER DIGEST SUPPORT 01OZ","Wet Cat","ROM","Amazon","Beyond",0,0
"CW BEYOND ORGANIC 03OZ","Wet Cat","Retailer","Amazon","Beyond",0,0
"CW BEYOND ORGANIC 03OZ","Wet Cat","ROM","Amazon","Beyond",0,0
"CW C&P ORGANIX 03OZ","Wet Cat","Retailer","Amazon","Castor & Pollux",0,0
"CW C&P ORGANIX 03OZ","Wet Cat","ROM","Amazon","Castor & Pollux",0,0
"CW C&P ORGANIX 05.5OZ","Wet Cat","Retailer","Amazon","Castor & Pollux",0,0
"CW C&P ORGANIX 05.5OZ","Wet Cat","ROM","Amazon","Castor & Pollux",0,0
"CW C&P PRISTINE 03OZ CAN","Wet Cat","Retailer","Amazon","Castor & Pollux",0,0
"CW C&P PRISTINE 03OZ CAN","Wet Cat","ROM","Amazon","Castor & Pollux",0,0
"CW FANCY FEAST APPTZRS 01.1OZ 12CT","Wet Cat","Retailer","Amazon","Fancy Feast",0,0
"CW FANCY FEAST APPTZRS 01.1OZ","Wet Cat","Retailer","Amazon","Fancy Feast",0,0
"CW FANCY FEAST APPTZRS 01.1OZ","Wet Cat","ROM","Amazon","Fancy Feast",0,0
"CW FANCY FEAST BROTHS 01.4OZ 12CT","Wet Cat","Retailer","Amazon","Fancy Feast",0,0
"CW FANCY FEAST BROTHS 01.4OZ 12CT","Wet Cat","ROM","Amazon","Fancy Feast",0,0
"CW FANCY FEAST BROTHS 01.4OZ 20CT","Wet Cat","ROM","Amazon","Fancy Feast",0,0
"CW FANCY FEAST BROTHS 01.4OZ","Wet Cat","Retailer","Amazon","Fancy Feast",0,0
"CW FANCY FEAST BROTHS 01.4OZ","Wet Cat","ROM","Amazon","Fancy Feast",0,0
"CW FANCY FEAST MEDLEYS 03OZ 12CT","Wet Cat","Retailer","Amazon","Fancy Feast",0,0
"CW FANCY FEAST MEDLEYS 03OZ 12CT","Wet Cat","ROM","Amazon","Fancy Feast",0,0
"CW FANCY FEAST MEDLEYS 03OZ 18CT","Wet Cat","ROM","Amazon","Fancy Feast",0,0
"CW FANCY FEAST MEDLEYS 03OZ 30CT","Wet Cat","Retailer","Amazon","Fancy Feast",0,0
"CW FANCY FEAST MEDLEYS 03OZ 30CT","Wet Cat","ROM","Amazon","Fancy Feast",0,0
"CW FANCY FEAST MEDLEYS 03OZ","Wet Cat","Retailer","Amazon","Fancy Feast",0,0
"CW FANCY FEAST MEDLEYS 03OZ","Wet Cat","ROM","Amazon","Fancy Feast",0,0
"CW FANCY FEAST ML 03OZ  12CT","Wet Cat","Retailer","Amazon","Fancy Feast",0,0
"CW FANCY FEAST ML 03OZ 12CT","Wet Cat","Retailer","Amazon","Fancy Feast",0,0
"CW FANCY FEAST ML 03OZ 12CT","Wet Cat","ROM","Amazon","Fancy Feast",0,0
"CW FANCY FEAST ML 03OZ 24CT","Wet Cat","Retailer","Amazon","Fancy Feast",0,0
"CW FANCY FEAST ML 03OZ 24CT","Wet Cat","ROM","Amazon","Fancy Feast",0,0
"CW FANCY FEAST ML 03OZ 30CT","Wet Cat","Retailer","Amazon","Fancy Feast",0,0
"CW FANCY FEAST ML 03OZ 30CT","Wet Cat","ROM","Amazon","Fancy Feast",0,0
"CW FANCY FEAST ML 03OZ","Wet Cat","Retailer","Amazon","Fancy Feast",0,0
"CW FANCY FEAST ML 03OZ","Wet Cat","ROM","Amazon","Fancy Feast",0,0
"CW FANCY FEAST NATURALS ML 03OZ 12CT","Wet Cat","ROM","Amazon","Fancy Feast",0,0
"CW FANCY FEAST NATURALS ML 03OZ 30CT","Wet Cat","Retailer","Amazon","Fancy Feast",0,0
"CW FANCY FEAST NATURALS ML 03OZ 30CT","Wet Cat","ROM","Amazon","Fancy Feast",0,0
"CW FANCY FEAST NATURALS ML 03OZ","Wet Cat","Retailer","Amazon","Fancy Feast",0,0
"CW FANCY FEAST NATURALS ML 03OZ","Wet Cat","ROM","Amazon","Fancy Feast",0,0
"CW FANCY FEAST PETITES 02.8OZ 12CT","Wet Cat","ROM","Amazon","Fancy Feast",0,0
"CW FANCY FEAST PETITES 02.8OZ 24CT","Wet Cat","Retailer","Amazon","Fancy Feast",0,0
"CW FANCY FEAST PETITES 02.8OZ 24CT","Wet Cat","ROM","Amazon","Fancy Feast",0,0
"CW FANCY FEAST PETITES 02.8OZ","Wet Cat","ROM","Amazon","Fancy Feast",0,0
"CW FANCY FEAST PURELY 02OZ","Wet Cat","Retailer","Amazon","Fancy Feast",0,0
"CW FANCY FEAST PURELY 02OZ","Wet Cat","ROM","Amazon","Fancy Feast",0,0
"CW FANCY FEAST SAVRY CNTR 03OZ 12CT","Wet Cat","Retailer","Amazon","Fancy Feast",0,0
"CW FANCY FEAST SAVRY CNTR 03OZ 12CT","Wet Cat","ROM","Amazon","Fancy Feast",0,0
"CW FRISKIES 05.5OZ 12CT","Wet Cat","Retailer","Amazon","Friskies",0,0
"CW FRISKIES 05.5OZ 12CT","Wet Cat","ROM","Amazon","Friskies",0,0
"CW FRISKIES 05.5OZ 24CT","Wet Cat","Retailer","Amazon","Friskies",0,0
"CW FRISKIES 05.5OZ 24CT","Wet Cat","ROM","Amazon","Friskies",0,0
"CW FRISKIES 05.5OZ 32CT","Wet Cat","Retailer","Amazon","Friskies",0,0
"CW FRISKIES 05.5OZ 32CT","Wet Cat","ROM","Amazon","Friskies",0,0
"CW FRISKIES 05.5OZ 40CT","Wet Cat","Retailer","Amazon","Friskies",0,0
"CW FRISKIES 05.5OZ 40CT","Wet Cat","ROM","Amazon","Friskies",0,0
"CW FRISKIES 05.5OZ","Wet Cat","Retailer","Amazon","Friskies",0,0
"CW FRISKIES 05.5OZ","Wet Cat","ROM","Amazon","Friskies",0,0
"CW FRISKIES FAV 05.5OZ 24CT","Wet Cat","Retailer","Amazon","Friskies",0,0
"CW FRISKIES FAV 05.5OZ 24CT","Wet Cat","ROM","Amazon","Friskies",0,0
"CW FRISKIES FAV 05.5OZ 40CT","Wet Cat","ROM","Amazon","Friskies",0,0
"CW FRISKIES FAV 05.5OZ","Wet Cat","ROM","Amazon","Friskies",0,0
"CW FRISKIES LIL GRIL/SLUR/PUR 01.6OZ 18CT","Wet Cat","Retailer","Amazon","Friskies",0,0
"CW FRISKIES LIL GRIL/SLUR/PUR 01.6OZ 18CT","Wet Cat","ROM","Amazon","Friskies",0,0
"CW FRISKIES LIL GRIL/SLUR/PUR 01.6OZ 30CT","Wet Cat","Retailer","Amazon","Friskies",0,0
"CW FRISKIES LIL GRIL/SLUR/PUR 01.6OZ 30CT","Wet Cat","ROM","Amazon","Friskies",0,0
"CW FRISKIES LIL GRIL/SLUR/PUR 01.6OZ","Wet Cat","Retailer","Amazon","Friskies",0,0
"CW FRISKIES LIL GRIL/SLUR/PUR 01.6OZ","Wet Cat","ROM","Amazon","Friskies",0,0
"CW FRISKIES LIL SOUPS 01.2OZ","Wet Cat","Retailer","Amazon","Friskies",0,0
"CW FRISKIES LIL SOUPS 01.2OZ","Wet Cat","ROM","Amazon","Friskies",0,0
"CW FRISKIES PREMIUM 03.5OZ","Wet Cat","Retailer","Amazon","Friskies",0,0
"CW MERRICK BACKCOUNTRY 03OZ","Wet Cat","Retailer","Amazon","Merrick",0,0
"CW MERRICK BACKCOUNTRY 03OZ","Wet Cat","ROM","Amazon","Merrick",0,0
"CW MERRICK LID 02.8OZ","Wet Cat","Retailer","Amazon","Merrick",0,0
"CW MERRICK LID 02.8OZ","Wet Cat","ROM","Amazon","Merrick",0,0
"CW MERRICK LID 05.0OZ","Wet Cat","Retailer","Amazon","Merrick",0,0
"CW MERRICK LID 05.0OZ","Wet Cat","ROM","Amazon","Merrick",0,0
"CW MERRICK PURRFECT BISTRO 03.0OZ","Wet Cat","Retailer","Amazon","Merrick",0,0
"CW MERRICK PURRFECT BISTRO 03.0OZ","Wet Cat","ROM","Amazon","Merrick",0,0
"CW MERRICK PURRFECT BISTRO 05.5OZ 12CT","Wet Cat","Retailer","Amazon","Merrick",0,0
"CW MERRICK PURRFECT BISTRO 05.5OZ 12CT","Wet Cat","ROM","Amazon","Merrick",0,0
"CW MERRICK PURRFECT BISTRO 05.5OZ 24CT","Wet Cat","Retailer","Amazon","Merrick",0,0
"CW MERRICK PURRFECT BISTRO 05.5OZ","Wet Cat","Retailer","Amazon","Merrick",0,0
"CW MERRICK PURRFECT BISTRO 05.5OZ","Wet Cat","ROM","Amazon","Merrick",0,0
"CW PRO PLAN ESSENTIAL 03OZ 12CT","Wet Cat","Retailer","Amazon","Pro Plan",0,0
"CW PRO PLAN ESSENTIAL 03OZ 12CT","Wet Cat","ROM","Amazon","Pro Plan",0,0
"CW PRO PLAN ESSENTIAL 03OZ 24CT","Wet Cat","Retailer","Amazon","Pro Plan",0,0
"CW PRO PLAN ESSENTIAL 03OZ 24CT","Wet Cat","ROM","Amazon","Pro Plan",0,0
"CW PRO PLAN ESSENTIAL 03OZ","Wet Cat","Retailer","Amazon","Pro Plan",0,0
"CW PRO PLAN ESSENTIAL 03OZ","Wet Cat","ROM","Amazon","Pro Plan",0,0
"CW PRO PLAN ESSENTIAL 05.5OZ","Wet Cat","Retailer","Amazon","Pro Plan",0,0
"CW PRO PLAN ESSENTIAL 05.5OZ","Wet Cat","ROM","Amazon","Pro Plan",0,0
"CW PRO PLAN SPECIALIZED 03OZ 12CT","Wet Cat","Retailer","Amazon","Pro Plan",0,0
"CW PRO PLAN SPECIALIZED 03OZ 12CT","Wet Cat","ROM","Amazon","Pro Plan",0,0
"CW PRO PLAN SPECIALIZED 03OZ 24CT","Wet Cat","Retailer","Amazon","Pro Plan",0,0
"CW PRO PLAN SPECIALIZED 03OZ 24CT","Wet Cat","ROM","Amazon","Pro Plan",0,0
"CW PRO PLAN SPECIALIZED 03OZ 36CT","Wet Cat","Retailer","Amazon","Pro Plan",0,0
"CW PRO PLAN SPECIALIZED 03OZ 36CT","Wet Cat","ROM","Amazon","Pro Plan",0,0
"CW PRO PLAN SPECIALIZED 03OZ 48CT","Wet Cat","Retailer","Amazon","Pro Plan",0,0
"CW PRO PLAN SPECIALIZED 03OZ","Wet Cat","Retailer","Amazon","Pro Plan",0,0
"CW PRO PLAN SPECIALIZED 03OZ","Wet Cat","ROM","Amazon","Pro Plan",0,0
"CW PRO PLAN SPECIALIZED 05.5OZ 12CT","Wet Cat","Retailer","Amazon","Pro Plan",0,0
"CW PRO PLAN SPECIALIZED 05.5OZ 12CT","Wet Cat","ROM","Amazon","Pro Plan",0,0
"CW PRO PLAN SPECIALIZED 05.5OZ","Wet Cat","Retailer","Amazon","Pro Plan",0,0
"CW PRO PLAN SPECIALIZED 05.5OZ","Wet Cat","ROM","Amazon","Pro Plan",0,0
"CW PURINA ONE +PLUS 03OZ","Wet Cat","Retailer","Amazon","Purina One",0,0
"CW PURINA ONE +PLUS 03OZ","Wet Cat","ROM","Amazon","Purina One",0,0
"CW PURINA ONE 03OZ","Wet Cat","Retailer","Amazon","Purina One",0,0
"CW PURINA ONE 03OZ","Wet Cat","ROM","Amazon","Purina One",0,0
"CW PURINA ONE ML 03OZ 24CT","Wet Cat","Retailer","Amazon","Purina One",0,0
"CW PURINA ONE ML 03OZ 24CT","Wet Cat","ROM","Amazon","Purina One",0,0
"CW PURINA ONE TRU INST 03OZ","Wet Cat","Retailer","Amazon","Purina One",0,0
"CW PURINA ONE TRU INST 03OZ","Wet Cat","ROM","Amazon","Purina One",0,0
"RX PPVD DM 05.5OZ","Wet Cat","ROM","Amazon","Pro Plan Veterinary Diets",0,0
"RX PPVD DM SAVORY SELECTS 05.5OZ","Wet Cat","ROM","Amazon","Pro Plan Veterinary Diets",0,0
"RX PPVD EN 05.5OZ","Wet Cat","ROM","Amazon","Pro Plan Veterinary Diets",0,0
"RX PPVD EN NAT 05.5OZ","Wet Cat","ROM","Amazon","Pro Plan Veterinary Diets",0,0
"RX PPVD NF 05.5OZ","Wet Cat","ROM","Amazon","Pro Plan Veterinary Diets",0,0
"RX PPVD OM 05.5OZ","Wet Cat","ROM","Amazon","Pro Plan Veterinary Diets",0,0
"RX PPVD OM SAVORY SELECTS 05.5OZ 24CT","Wet Cat","ROM","Amazon","Pro Plan Veterinary Diets",0,0
"RX PPVD OM SAVORY SELECTS 05.5OZ","Wet Cat","ROM","Amazon","Pro Plan Veterinary Diets",0,0
"RX PPVD UR SS SALMON 05.5OZ","Wet Cat","ROM","Amazon","Pro Plan Veterinary Diets",0,0
"RX PPVD UR SS TURKEY & GIBLETS 05.5OZ","Wet Cat","ROM","Amazon","Pro Plan Veterinary Diets",0,0
"RX PPVD UR ST/OX 05.5OZ 24CT","Wet Cat","ROM","Amazon","Pro Plan Veterinary Diets",0,0
"RX PPVD UR ST/OX 05.5OZ","Wet Cat","ROM","Amazon","Pro Plan Veterinary Diets",0,0
"DW BELLA 03.5OZ 12CT","Wet Dog","ROM","Amazon","Bella",0,0
"DW BELLA 03.5OZ 24CT","Wet Dog","Retailer","Amazon","Bella",0,0
"DW BELLA 03.5OZ 24CT","Wet Dog","ROM","Amazon","Bella",0,0
"DW BELLA 03.5OZ","Wet Dog","Retailer","Amazon","Bella",0,0
"DW BELLA 03.5OZ","Wet Dog","ROM","Amazon","Bella",0,0
"DW BENEFUL 03OZ 03CT","Wet Dog","Retailer","Amazon","Beneful",0,0
"DW BENEFUL 03OZ 03CT","Wet Dog","ROM","Amazon","Beneful",0,0
"DW BENEFUL 03OZ 12CT","Wet Dog","Retailer","Amazon","Beneful",0,0
"DW BENEFUL 03OZ 12CT","Wet Dog","ROM","Amazon","Beneful",0,0
"DW BENEFUL 10OZ 06CT","Wet Dog","Retailer","Amazon","Beneful",0,0
"DW BENEFUL 10OZ 12CT","Wet Dog","Retailer","Amazon","Beneful",0,0
"DW BENEFUL 10OZ 12CT","Wet Dog","ROM","Amazon","Beneful",0,0
"DW BENEFUL 10OZ","Wet Dog","Retailer","Amazon","Beneful",0,0
"DW BENEFUL 10OZ","Wet Dog","ROM","Amazon","Beneful",0,0
"DW BENEFUL INCR N MED (ECOM) 03OZ 30CT","Wet Dog","Retailer","Amazon","Beneful",0,0
"DW BENEFUL INCR N MED (ECOM) 03OZ 30CT","Wet Dog","ROM","Amazon","Beneful",0,0
"DW BENEFUL INCR N MED 03OZ 30CT","Wet Dog","Retailer","Amazon","Beneful",0,0
"DW BENEFUL INCR N MED 03OZ 30CT","Wet Dog","ROM","Amazon","Beneful",0,0
"DW BENEFUL SPRFOOD 09OZ 06CT","Wet Dog","ROM","Amazon","Beneful",0,0
"DW BENEFUL SPRFOOD 09OZ","Wet Dog","ROM","Amazon","Beneful",0,0
"DW BEYOND BROTH 01.6OZ","Wet Dog","Retailer","Amazon","Beyond",0,0
"DW BEYOND BROTH 01.6OZ","Wet Dog","ROM","Amazon","Beyond",0,0
"DW BEYOND GR FR 13OZ 12CT","Wet Dog","Retailer","Amazon","Beyond",0,0
"DW BEYOND GR FR 13OZ 12CT","Wet Dog","ROM","Amazon","Beyond",0,0
"DW BEYOND GR FR 13OZ 6CT","Wet Dog","Retailer","Amazon","Beyond",0,0
"DW BEYOND GR FR 13OZ 6CT","Wet Dog","ROM","Amazon","Beyond",0,0
"DW BEYOND GR FR 13OZ","Wet Dog","Retailer","Amazon","Beyond",0,0
"DW BEYOND GR FR 13OZ","Wet Dog","ROM","Amazon","Beyond",0,0
"DW BEYOND ORGANIC 13OZ 6CT","Wet Dog","ROM","Amazon","Beyond",0,0
"DW BEYOND ORGANIC 13OZ","Wet Dog","Retailer","Amazon","Beyond",0,0
"DW BEYOND ORGANIC 13OZ","Wet Dog","ROM","Amazon","Beyond",0,0
"DW BEYOND WILD 13OZ","Wet Dog","Retailer","Amazon","Beyond",0,0
"DW BEYOND WILD 13OZ","Wet Dog","ROM","Amazon","Beyond",0,0
"DW C&P ORGANIX 03.5OZ","Wet Dog","Retailer","Amazon","Castor & Pollux",0,0
"DW C&P ORGANIX 03.5OZ","Wet Dog","ROM","Amazon","Castor & Pollux",0,0
"DW C&P ORGANIX 12.7OZ","Wet Dog","Retailer","Amazon","Castor & Pollux",0,0
"DW C&P ORGANIX 12.7OZ","Wet Dog","ROM","Amazon","Castor & Pollux",0,0
"DW C&P PRISTINE 03.5OZ","Wet Dog","Retailer","Amazon","Castor & Pollux",0,0
"DW C&P PRISTINE 03.5OZ","Wet Dog","ROM","Amazon","Castor & Pollux",0,0
"DW C&P PRISTINE BONE BROTH 8.4OZ","Wet Dog","Retailer","Amazon","Castor & Pollux",0,0
"DW C&P PRISTINE BONE BROTH 8.4OZ","Wet Dog","ROM","Amazon","Castor & Pollux",0,0
"DW MERRICK 12.7OZ 12CT","Wet Dog","Retailer","Amazon","Merrick",0,0
"DW MERRICK 12.7OZ 12CT","Wet Dog","ROM","Amazon","Merrick",0,0
"DW MERRICK BACKCOUNTRY 12.7OZ 12CT","Wet Dog","Retailer","Amazon","Merrick",0,0
"DW MERRICK BACKCOUNTRY 12.7OZ 12CT","Wet Dog","ROM","Amazon","Merrick",0,0
"DW MERRICK BACKCOUNTRY 12.7OZ","Wet Dog","Retailer","Amazon","Merrick",0,0
"DW MERRICK BACKCOUNTRY 12.7OZ","Wet Dog","ROM","Amazon","Merrick",0,0
"DW MERRICK FLAVOR ENHANCER 07OZ","Wet Dog","Retailer","Amazon","Merrick",0,0
"DW MERRICK FLAVOR ENHANCER 07OZ","Wet Dog","ROM","Amazon","Merrick",0,0
"DW MERRICK FLAVOR ENHANCER 16OZ","Wet Dog","Retailer","Amazon","Merrick",0,0
"DW MERRICK FLAVOR ENHANCER 16OZ","Wet Dog","ROM","Amazon","Merrick",0,0
"DW MERRICK GR FR 12.7OZ","Wet Dog","Retailer","Amazon","Merrick",0,0
"DW MERRICK GR FR 12.7OZ","Wet Dog","ROM","Amazon","Merrick",0,0
"DW MERRICK LID 12.7OZ","Wet Dog","Retailer","Amazon","Merrick",0,0
"DW MERRICK LID 12.7OZ","Wet Dog","ROM","Amazon","Merrick",0,0
"DW MERRICK LIL PLATES 03-3.5OZ 12CT","Wet Dog","ROM","Amazon","Merrick",0,0
"DW MERRICK LIL PLATES 03-3.5OZ","Wet Dog","Retailer","Amazon","Merrick",0,0
"DW MERRICK LIL PLATES 03-3.5OZ","Wet Dog","ROM","Amazon","Merrick",0,0
"DW PRO PLAN BRIGHT MIND 10OZ","Wet Dog","Retailer","Amazon","Pro Plan",0,0
"DW PRO PLAN BRIGHT MIND 10OZ","Wet Dog","ROM","Amazon","Pro Plan",0,0
"DW PRO PLAN ESSENTIAL 05.5OZ","Wet Dog","Retailer","Amazon","Pro Plan",0,0
"DW PRO PLAN ESSENTIAL 05.5OZ","Wet Dog","ROM","Amazon","Pro Plan",0,0
"DW PRO PLAN ESSENTIAL 13OZ 12CT","Wet Dog","Retailer","Amazon","Pro Plan",0,0
"DW PRO PLAN ESSENTIAL 13OZ 12CT","Wet Dog","ROM","Amazon","Pro Plan",0,0
"DW PRO PLAN ESSENTIAL 13OZ","Wet Dog","Retailer","Amazon","Pro Plan",0,0
"DW PRO PLAN ESSENTIAL 13OZ","Wet Dog","ROM","Amazon","Pro Plan",0,0
"DW PRO PLAN ESSENTIAL GR FR 13OZ 12CT","Wet Dog","Retailer","Amazon","Pro Plan",0,0
"DW PRO PLAN ESSENTIAL GR FR 13OZ 12CT","Wet Dog","ROM","Amazon","Pro Plan",0,0
"DW PRO PLAN ESSENTIAL GR FR 13OZ","Wet Dog","Retailer","Amazon","Pro Plan",0,0
"DW PRO PLAN ESSENTIAL GR FR 13OZ","Wet Dog","ROM","Amazon","Pro Plan",0,0
"DW PRO PLAN GR FR SM-BRD 03.5OZ 12CT","Wet Dog","Retailer","Amazon","Pro Plan",0,0
"DW PRO PLAN GR FR SM-BRD 03.5OZ","Wet Dog","Retailer","Amazon","Pro Plan",0,0
"DW PRO PLAN GR FR SM-BRD 03.5OZ","Wet Dog","ROM","Amazon","Pro Plan",0,0
"DW PRO PLAN SAVORY MEALS 10OZ","Wet Dog","ROM","Amazon","Pro Plan",0,0
"DW PRO PLAN SPECIALIZED 05.5OZ","Wet Dog","Retailer","Amazon","Pro Plan",0,0
"DW PRO PLAN SPECIALIZED 05.5OZ","Wet Dog","ROM","Amazon","Pro Plan",0,0
"DW PRO PLAN SPECIALIZED 13OZ","Wet Dog","Retailer","Amazon","Pro Plan",0,0
"DW PRO PLAN SPECIALIZED 13OZ","Wet Dog","ROM","Amazon","Pro Plan",0,0
"DW PRO PLAN SPECIALIZED GF PUPPY 13OZ","Wet Dog","Retailer","Amazon","Pro Plan",0,0
"DW PRO PLAN SPECIALIZED GF PUPPY 13OZ","Wet Dog","ROM","Amazon","Pro Plan",0,0
"DW PRO PLAN SPECIALIZED SEN-S/S 13OZ","Wet Dog","Retailer","Amazon","Pro Plan",0,0
"DW PRO PLAN SPECIALIZED SEN-S/S 13OZ","Wet Dog","ROM","Amazon","Pro Plan",0,0
"DW PUPPY CHOW 05.5OZ 8 CT","Wet Dog","ROM","Amazon","Dog Chow Line",0,0
"DW PUPPY CHOW 05.5OZ","Wet Dog","ROM","Amazon","Dog Chow Line",0,0
"DW PURINA ONE 13OZ 06CT","Wet Dog","Retailer","Amazon","Purina One",0,0
"DW PURINA ONE 13OZ 06CT","Wet Dog","ROM","Amazon","Purina One",0,0
"DW PURINA ONE 13OZ","Wet Dog","Retailer","Amazon","Purina One",0,0
"DW PURINA ONE 13OZ","Wet Dog","ROM","Amazon","Purina One",0,0
"DW PURINA ONE TRU INST 13OZ 06CT","Wet Dog","Retailer","Amazon","Purina One",0,0
"DW PURINA ONE TRU INST 13OZ 06CT","Wet Dog","ROM","Amazon","Purina One",0,0
"DW PURINA ONE TRU INST 13OZ 12CT","Wet Dog","Retailer","Amazon","Purina One",0,0
"DW PURINA ONE TRU INST 13OZ 12CT","Wet Dog","ROM","Amazon","Purina One",0,0
"DW PURINA ONE TRU INST 13OZ","Wet Dog","Retailer","Amazon","Purina One",0,0
"DW PURINA ONE TRU INST 13OZ","Wet Dog","ROM","Amazon","Purina One",0,0
"DW WHOLE EARTH FARMS 03.0-3.2OZ","Wet Dog","Retailer","Amazon","Whole Earth Farms",0,0
"DW WHOLE EARTH FARMS 03.0-3.2OZ","Wet Dog","ROM","Amazon","Whole Earth Farms",0,0
"DW WHOLE EARTH FARMS 12.7OZ","Wet Dog","Retailer","Amazon","Whole Earth Farms",0,0
"DW WHOLE EARTH FARMS 12.7OZ","Wet Dog","ROM","Amazon","Whole Earth Farms",0,0
