"PPG_Item_No","PPG_Item","PPG_Cat","PPG_MFG","flag_qtr2","flag_qtr3","flag_qtr4","Market","Retailer","PPG_Retailer","EachesLC","EachesOI","ImputedLC_retailer","Final_baseprice","Estimated_baseprice","tpr_discount_byppg","ACV_Feat_Only","ACV_Disp_Only","ACV_Feat_Disp","ACV_Selling","category_trend","tpr_discount_byppg_lag1","tpr_discount_byppg_lag2","monthno","pred_vol","base_vol","Model_flag","CB_Comp_RP_1","CB_Comp_TPR_1","CB_Comp_TPR_2","CB_Comp_TPR_3","lift_vol","base_doll","lift_doll","Purina_sales","Purina_spend","Purina_Base_sales","Purina_ratf","Purina_Gross_Lift","Purina_True_Lift","Cross_non_normalised","Within_non_normalised","true_lift_doll","Within","Cross","Spend","median_baseprice_byppg","Date","OffInvoice","ListCost","qtr","borrowedqtr","missing_qtrs","WB_Comp_RP_1","WB_Comp_RP_2","WB_Comp_RP_3","WB_Comp_RP_4","WB_Comp_RP_5","WB_Comp_TPR_1","WB_Comp_TPR_2","WB_Comp_TPR_3","WB_Comp_TPR_4","WB_Comp_TPR_5","CB_Comp_RP_2","CB_Comp_TPR_4","WB_Comp_RP_6","WB_Comp_RP_7","WB_Comp_RP_8","WB_Comp_RP_9","WB_Comp_TPR_6","WB_Comp_TPR_7","CB_Comp_RP_3","CB_Comp_RP_4","CB_Comp_TPR_5","CB_Comp_TPR_6"
"ITEM12PURINAONETRUINST_ROM","DW PURINA ONE TRU INST 13OZ","Wet Dog","NPP",1,0,0,"ROM","Brookshire",NA,NA,NA,NA,2.25897978173008,2.25897978173008,0,0,0,0,0.51027,1.12420138775182,0,0,28.9230769230769,12100.1522485897,12100.1522485897,2,NA,NA,NA,NA,0,27333.99928542,0,NA,0,NA,NA,NA,NA,0,0,0,NA,NA,0,2.25897978173008,"2022-06-25",NA,NA,2,2,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ITEM12PURINAONETRUINST_ROM","DW PURINA ONE TRU INST 13OZ","Wet Dog","NPP",0,0,0,"ROM","Brookshire",NA,NA,NA,NA,2.25897978173008,2.25897978173008,0,0,0,0,0.51027,1.08182762176094,0,0,26,12648.7072659577,12648.7072659577,2,NA,NA,NA,NA,0,28573.1739788209,0,NA,0,NA,NA,NA,NA,0,0,0,NA,NA,0,2.25897978173008,"2022-03-26",NA,NA,1,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ITEM14ALPO_Retailer","DW ALPO 13.0-13.2OZ","Wet Dog","NPP",0,0,1,"Retailer","Brookshire",NA,40800,0,NA,1.487,1.487,0.0869147865871212,0,0,0,0.012685,1.19450094598015,0.0869147865871212,0.0917055067879325,35,60.1095612703159,60.1095612703159,1,NA,NA,NA,NA,0,82.6157750308861,0,22.8595714285714,0,20.7279907219013,22.8595714285714,1.91975477457862,1.91975477457862,0,32.4290483129857,0,NA,NA,6.76714257807358,1.4783378002835,"2022-12-31",NA,0.858,4,4,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ITEM14ALPO_Retailer","DW ALPO 13.0-13.2OZ","Wet Dog","NPP",0,1,0,"Retailer","Brookshire",NA,40800,0,NA,1.487,1.487,0.0228756339263352,0,0,0,0.012685,1.20983957703774,0.0285539342677822,0.023394697128447,31.9230769230769,53.2911362778684,53.2911362778684,1,NA,NA,NA,NA,0,76.4491721698082,0,462.1254,0,45.7237949264111,462.1254,401.746704088383,401.746704088383,0,14.782542654443,0,NA,NA,2.79474747538207,1.47060293254814,"2022-09-24",NA,0.858,3,3,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ITEM14ALPO_Retailer","DW ALPO 13.0-13.2OZ","Wet Dog","NPP",1,0,0,"Retailer","Brookshire",NA,39858.4615384615,0,NA,1.487,1.487,0.0212085138341634,0,0,0,0.012685,1.12420138775182,0.0206890145194317,0.0206890145194317,28.9230769230769,38.6904840463833,38.6904840463833,1,NA,NA,NA,NA,0,55.7588884293427,0,1402.48965811966,0,33.0178662633059,1402.48965811966,1296.18155073491,1296.18155073491,0,9.66408908779664,0,NA,NA,1.77386134762924,1.47241471416781,"2022-06-25",NA,0.852283464566929,2,2,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ITEM14ALPO_Retailer","DW ALPO 13.0-13.2OZ","Wet Dog","NPP",0,0,0,"Retailer","Brookshire",NA,37944,0,NA,1.487,1.487,0.00558870111227484,0,0,0,0.012685,1.08182762176094,0,0,26,30.8550761735135,30.8550761735135,1,NA,NA,NA,NA,0,45.3302224359246,0,820.208192791006,0,25.5406903102595,820.208192791006,767.721285959437,767.721285959437,0,2.10988699335343,0,NA,NA,0.551275834089958,1.47970069194966,"2022-03-26",NA,0.827598566308244,1,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ITEM14ALPO_ROM","DW ALPO 13.0-13.2OZ","Wet Dog","NPP",0,0,1,"ROM","Brookshire",NA,NA,NA,NA,1.36296650717703,1.36296650717703,0,0,0,0,0.001575,1.19450094598015,0,0,35,2170.77584670006,2170.77584670006,1,NA,NA,NA,NA,0,2958.69477364104,0,NA,0,NA,NA,NA,NA,0,0,0,NA,NA,0,1.36296650717703,"2022-12-31",NA,NA,4,4,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ITEM14ALPO_ROM","DW ALPO 13.0-13.2OZ","Wet Dog","NPP",0,1,0,"ROM","Brookshire",NA,NA,NA,NA,1.36296650717703,1.36296650717703,0,0,0,0,0.001575,1.20983957703774,0,0,31.9230769230769,2170.77584670006,2170.77584670006,1,NA,NA,NA,NA,0,2958.69477364104,0,NA,0,NA,NA,NA,NA,0,0,0,NA,NA,0,1.36296650717703,"2022-09-24",NA,NA,3,3,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ITEM14ALPO_ROM","DW ALPO 13.0-13.2OZ","Wet Dog","NPP",1,0,0,"ROM","Brookshire",NA,NA,NA,NA,1.36296650717703,1.36296650717703,0,0,0,0,0.001575,1.12420138775182,0,0,28.9230769230769,2170.77584670006,2170.77584670006,1,NA,NA,NA,NA,0,2958.69477364104,0,NA,0,NA,NA,NA,NA,0,0,0,NA,NA,0,1.36296650717703,"2022-06-25",NA,NA,2,2,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ITEM14ALPO_ROM","DW ALPO 13.0-13.2OZ","Wet Dog","NPP",0,0,0,"ROM","Brookshire",NA,NA,NA,NA,1.36296650717703,1.36296650717703,0,0,0,0,0.001575,1.08182762176094,0,0,26,2170.77584670006,2170.77584670006,1,NA,NA,NA,NA,0,2958.69477364104,0,NA,0,NA,NA,NA,NA,0,0,0,NA,NA,0,1.36296650717703,"2022-03-26",NA,NA,1,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
