"PPG_Item_No","PPG_Cat","PPG_Item","MFG","Market","Retailer","Model_flag","PPG_Brand"
"ITEM167TIDYCATSCLUMPNONLW","Litter","CL TIDY CATS CLUMP NON-LW 14LB","NPP","Retailer","DeMoulas",2,"Tidy Cats"
"ITEM167TIDYCATSCLUMPNONLW","Litter","CL TIDY CATS CLUMP NON-LW 14LB","NPP","ROM","DeMoulas",2,"Tidy Cats"
"ITEM1680DCCATKITTENCHOW","Dry Cat","DC CAT/KITTEN CHOW 12LB","NPP","ROM","DeMoulas",1,"Cat Chow Line"
"ITEM1681DCCATKITTENCHOW","Dry Cat","DC CAT/KITTEN CHOW 20LB","NPP","ROM","DeMoulas",2,"Cat Chow Line"
"ITEM1682DCCATKITTENCHOW","Dry Cat","DC CAT/KITTEN CHOW 25LB","NPP","ROM","DeMoulas",1,"Cat Chow Line"
"ITEM1683DCCATKITTENCHOW","Dry Cat","DC CAT/KITTEN CHOW 03.2LB","NPP","Retailer","DeMoulas",2,"Cat Chow Line"
"ITEM1683DCCATKITTENCHOW","Dry Cat","DC CAT/KITTEN CHOW 03.2LB","NPP","ROM","DeMoulas",2,"Cat Chow Line"
"ITEM1684DCCATKITTENCHOW","Dry Cat","DC CAT/KITTEN CHOW 06.3LB","NPP","ROM","DeMoulas",2,"Cat Chow Line"
"ITEM1685DCCATKITTENCHOW","Dry Cat","DC CAT/KITTEN CHOW 01.1LB","NPP","ROM","DeMoulas",1,"Cat Chow Line"
"ITEM1687DCCATCHOWNATURALSGF","Dry Cat","DC CAT CHOW NATURALS GF 13LB","NPP","ROM","DeMoulas",1,"Cat Chow Line"
"ITEM1688DCCATCHOWNATURALSGF","Dry Cat","DC CAT CHOW NATURALS GF 03.2LB","NPP","ROM","DeMoulas",1,"Cat Chow Line"
"ITEM1689DCCATCHOWNATURALSGF","Dry Cat","DC CAT CHOW NATURALS GF 06.3LB","NPP","ROM","DeMoulas",1,"Cat Chow Line"
"ITEM1690DCCATKITTENCHOWNATURALS","Dry Cat","DC CAT/KITTEN CHOW NATURALS 18LB","NPP","ROM","DeMoulas",2,"Cat Chow Line"
"ITEM1691DCCATKITTENCHOWNATURALS","Dry Cat","DC CAT/KITTEN CHOW NATURALS 13LB","NPP","ROM","DeMoulas",2,"Cat Chow Line"
"ITEM1692DCCATKITTENCHOWNATURALS","Dry Cat","DC CAT/KITTEN CHOW NATURALS 03.2LB","NPP","Retailer","DeMoulas",2,"Cat Chow Line"
"ITEM1692DCCATKITTENCHOWNATURALS","Dry Cat","DC CAT/KITTEN CHOW NATURALS 03.2LB","NPP","ROM","DeMoulas",2,"Cat Chow Line"
"ITEM1693DCCATKITTENCHOWNATURALS","Dry Cat","DC CAT/KITTEN CHOW NATURALS 06.3LB","NPP","ROM","DeMoulas",2,"Cat Chow Line"
