"PPG_Item_No","PPG_Item","PPG_Cat","PPG_MFG","flag_qtr2","flag_qtr3","flag_qtr4","Market","Retailer","PPG_Retailer","EachesLC","EachesOI","ImputedLC_retailer","Final_baseprice","Estimated_baseprice","tpr_discount_byppg","ACV_Feat_Only","ACV_Disp_Only","ACV_Feat_Disp","ACV_Selling","category_trend","tpr_discount_byppg_lag1","tpr_discount_byppg_lag2","monthno","pred_vol","base_vol","Model_flag","WB_Comp_RP_1","CB_Comp_RP_1","CB_Comp_RP_2","CB_Comp_TPR_1","lift_vol","base_doll","lift_doll","true_lift_doll","Cross_predicted_normalised","Within_predicted_normalised","Cross_predicted_non_normalised","Within_predicted_non_normalised","gross_lift_on_pred","true_lift_on_pred","original_base_doll","original_base_vol","Purina_sales","Purina_spend","Purina_Base_sales","Purina_ratf","Purina_Gross_Lift","Purina_True_Lift","Within","Cross","pred_vol_original","wk_sold_doll_byppg_original","Spend","median_baseprice_byppg","Date","OffInvoice","ListCost","qtr","borrowedqtr","missing_qtrs","WB_Comp_RP_2","WB_Comp_RP_3","WB_Comp_RP_4","WB_Comp_TPR_1","WB_Comp_TPR_2","WB_Comp_TPR_3","WB_Comp_TPR_4","WB_Comp_TPR_5","WB_Comp_TPR_6","CB_Comp_RP_3","CB_Comp_TPR_2","CB_Comp_TPR_3","CB_Comp_RP_4","CB_Comp_RP_5","CB_Comp_TPR_4"
"ITEM5CTFRISKIESPARTYMIXCR_Retailer","CT FRISKIES PARTY MIX/NAT YUM CR 02.1OZ","Cat Treats","NPP",0,0,1,"Retailer","DeMoulas",NA,13908.5714285714,0,NA,1.6785316636647,1.67406517861258,0,0,0,0,0.927978214285714,1.25965047385399,0,0,35,5664.92857142857,5289.95056151871,2,NA,NA,NA,NA,374.978009909858,8864.79666053816,650.014768033271,650.014768033271,NA,NA,0,0,197.80978172025,NA,9486.33626760866,5670.35152072908,7319.33825122078,0,6833.87082409714,7319.33825122078,485.039121513455,485.039121513455,NA,NA,5803.11565666922,9684.14604932891,35.8506047436413,1.6725592011026,"2022-12-31",NA,1.29697986852917,4,4,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ITEM5CTFRISKIESPARTYMIXCR_Retailer","CT FRISKIES PARTY MIX/NAT YUM CR 02.1OZ","Cat Treats","NPP",0,1,0,"Retailer","DeMoulas",NA,15556.9230769231,0,NA,1.59585950369873,1.58090252286509,0,0,0,0,0.949738846153846,1.14548376376481,0,0,31.9230769230769,5591.61538461538,5403.81271717185,2,NA,NA,NA,NA,187.802667443535,8605.09640957042,227.675898121891,227.675898121891,NA,NA,0,0,438.917863201538,NA,8919.55734662071,5594.63897066217,7190.23778482988,0,6944.34282597765,7190.23778482988,245.757557007193,245.757557007193,NA,NA,5928.71364487208,9358.47520982225,85.4757015074201,1.57869872686637,"2022-09-24",NA,1.29302373417721,3,3,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ITEM5CTFRISKIESPARTYMIXCR_Retailer","CT FRISKIES PARTY MIX/NAT YUM CR 02.1OZ","Cat Treats","NPP",1,0,0,"Retailer","DeMoulas",NA,14793.8461538462,0,NA,1.75494262120379,1.5635140005211,0.027132001815947,0,0,0,0.861147692307692,1.08164660473493,0.027132001815947,0.027132001815947,28.9230769230769,3502.30769230769,2863.38272916877,2,NA,NA,NA,NA,638.924963138925,4765.99165145654,516.546810081929,165.062610582586,231.551976628219,155.817852061046,407.992010333221,299.435116602491,1287.19271651642,899.822887827156,4997.02210238108,2853.47530881876,4350.64521355697,0,3558.59185591703,4350.64521355697,749.459797175019,749.459797175019,NA,NA,4159.89464444388,6284.2148188975,852.919361816296,1.55223961390753,"2022-06-25",NA,1.24157570715474,2,2,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ITEM5CTFRISKIESPARTYMIXCR_Retailer","CT FRISKIES PARTY MIX/NAT YUM CR 02.1OZ","Cat Treats","NPP",0,0,0,"Retailer","DeMoulas",NA,14617.5,0,NA,1.63458104863251,1.57416971051968,0,0,0,0,0.9499625,1.09126210351774,0,0,26,6398.58333333333,5323.0876195134,2,NA,NA,NA,NA,1075.49571381994,8582.44057548458,1455.70942451542,1455.70942451542,0,0,0,0,375.742998532001,375.742998532001,8734.00816815959,5357.77020221291,7810.37585547072,0,6506.09281280451,7810.37585547072,1303.77203380861,1303.77203380861,NA,NA,5792.60490742621,9109.7511666916,355.453069395273,1.57380505472702,"2022-03-26",NA,1.22081888147768,1,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ITEM5CTFRISKIESPARTYMIXCR_ROM","CT FRISKIES PARTY MIX/NAT YUM CR 02.1OZ","Cat Treats","NPP",0,0,1,"ROM","DeMoulas",NA,NA,NA,NA,1.90673591777783,1.8950569678799,0,0,0.000759285714285714,0,0.377505,1.25965047385399,0,0,35,12830.7159285714,12697.1606262162,2,NA,NA,NA,NA,133.555302355221,24010.8754153877,253.246441755129,253.246441755129,NA,NA,0,0,0,NA,24653.6236054233,13037.2322763294,NA,0,NA,NA,NA,NA,NA,NA,13037.2322763294,24653.6236054233,203.431788052762,1.89097410165791,"2022-12-31",NA,NA,4,4,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ITEM5CTFRISKIESPARTYMIXCR_ROM","CT FRISKIES PARTY MIX/NAT YUM CR 02.1OZ","Cat Treats","NPP",0,1,0,"ROM","DeMoulas",NA,NA,NA,NA,1.89958760458269,1.88570333882421,0,0,0.00290461538461538,0,0.395438461538462,1.14548376376481,0,0,31.9230769230769,12987.5966923077,12306.0246160317,2,NA,NA,NA,NA,681.572076276039,23196.2962197005,1285.68985722255,1285.68985722255,NA,NA,0,0,0,NA,23196.8855767551,12306.3359052015,NA,0,NA,NA,NA,NA,NA,NA,12306.3359052015,23196.8855767551,190.977562337156,1.88497744503285,"2022-09-24",NA,NA,3,3,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ITEM5CTFRISKIESPARTYMIXCR_ROM","CT FRISKIES PARTY MIX/NAT YUM CR 02.1OZ","Cat Treats","NPP",1,0,0,"ROM","DeMoulas",NA,NA,NA,NA,1.76459454084423,1.76006924739491,0,0.000732307692307692,0.00309692307692308,0,0.399922307692308,1.08164660473493,0,0,28.9230769230769,13161.4253076923,12385.040863416,2,NA,NA,NA,NA,776.384444276285,21740.2211334562,1365.29348192838,1365.29348192838,NA,NA,0,0,0,NA,21938.5482831335,12498.1917047605,NA,0,NA,NA,NA,NA,NA,NA,12498.1917047605,21938.5482831335,117.764728258567,1.75588427454393,"2022-06-25",NA,NA,2,2,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ITEM5CTFRISKIESPARTYMIXCR_ROM","CT FRISKIES PARTY MIX/NAT YUM CR 02.1OZ","Cat Treats","NPP",0,0,0,"ROM","DeMoulas",NA,NA,NA,NA,1.69687358985274,1.68804947561853,0,0,0.000475833333333333,0,0.3925175,1.09126210351774,0,0,26,11543.47375,11530.5514741261,2,NA,NA,NA,NA,12.9222758739167,19302.5148973211,20.8151860122146,20.8151860122146,NA,NA,0,0,0,NA,22481.5242093335,13387.4785988871,NA,0,NA,NA,NA,NA,NA,NA,13387.4785988871,22481.5242093335,216.808413008728,1.68000954898997,"2022-03-26",NA,NA,1,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ITEM69CTWHISKERLICKINSCR_ROM","CT WHISKER LICKINS CR 10OZ","Cat Treats","NPP",0,0,1,"ROM","DeMoulas",NA,NA,NA,NA,4.98554439617729,4.93905260909296,0,0,0,0,0.106866785714286,1.25965047385399,0,0,35,180.857142857143,169.519742628859,1,NA,NA,NA,NA,11.3374002282839,832.88457789635,55.8054221036502,55.8054221036502,NA,NA,0,0,0,NA,897.325293752756,182.759431047066,NA,0,NA,NA,NA,NA,NA,NA,182.759431047066,897.325293752756,12.9936634539863,4.90583791472353,"2022-12-31",NA,NA,4,4,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ITEM69CTWHISKERLICKINSCR_ROM","CT WHISKER LICKINS CR 10OZ","Cat Treats","NPP",0,1,0,"ROM","DeMoulas",NA,NA,NA,NA,4.97166026125057,4.96468837273221,0,0,0,0,0.114459615384615,1.14548376376481,0,0,31.9230769230769,195.153846153846,185.838228905054,1,NA,NA,NA,NA,9.31561724879215,920.206478958346,46.1858287339613,46.1858287339613,NA,NA,0,0,0,NA,950.112331717761,191.940307847101,NA,0,NA,NA,NA,NA,NA,NA,191.940307847101,950.112331717761,3.86461730556433,4.94952749279399,"2022-09-24",NA,NA,3,3,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
