"PPG_Item_No","PPG_Item","PPG_Cat","PPG_MFG","flag_qtr2","flag_qtr3","flag_qtr4","Market","Retailer","PPG_Retailer","EachesLC","EachesOI","ImputedLC_retailer","Final_baseprice","Estimated_baseprice","tpr_discount_byppg","ACV_Feat_Only","ACV_Disp_Only","ACV_Feat_Disp","ACV_Selling","category_trend","tpr_discount_byppg_lag1","tpr_discount_byppg_lag2","monthno","pred_vol","base_vol","Model_flag","WB_Comp_RP_1","WB_Comp_RP_2","WB_Comp_TPR_1","CB_Comp_RP_1","CB_Comp_RP_2","CB_Comp_TPR_1","lift_vol","base_doll","lift_doll","Purina_sales","Purina_spend","Purina_Base_sales","Purina_ratf","Purina_Gross_Lift","Purina_True_Lift","Within_non_normalised","Cross_non_normalised","true_lift_doll","Within","Cross","Spend","median_baseprice_byppg","Date","OffInvoice","ListCost","qtr","borrowedqtr","missing_qtrs","WB_Comp_RP_3","WB_Comp_TPR_2","WB_Comp_TPR_3","WB_Comp_TPR_4","WB_Comp_TPR_5","CB_Comp_RP_3","CB_Comp_RP_4","CB_Comp_RP_5","CB_Comp_TPR_2","CB_Comp_TPR_3","WB_Comp_RP_4","WB_Comp_RP_5","CB_Comp_TPR_4","CB_Comp_TPR_5","CB_Comp_TPR_6"
"ITEM80CTWHISKERLICKINSCR_ROM","CT WHISKER LICKINS CR 04OZ","Cat Treats","NPP",0,1,0,"ROM","Big Y",NA,NA,NA,NA,2.53601121584369,2.53601121584369,0,0,0,0,0.16056,1.12095324689895,0,0,31.9230769230769,321.214353133297,321.214353133297,1,NA,NA,NA,NA,NA,NA,0,814.603202236016,0,NA,0,NA,NA,NA,NA,0,0,0,NA,NA,0,2.53601121584369,"2022-09-24",NA,NA,3,3,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ITEM80CTWHISKERLICKINSCR_ROM","CT WHISKER LICKINS CR 04OZ","Cat Treats","NPP",1,0,0,"ROM","Big Y",NA,NA,NA,NA,2.53601121584369,2.53601121584369,0,0,0,0,0.16056,1.05818203712714,0,0,28.9230769230769,310.602505982566,310.602505982566,1,NA,NA,NA,NA,NA,NA,0,787.691438840945,0,NA,0,NA,NA,NA,NA,0,0,0,NA,NA,0,2.53601121584369,"2022-06-25",NA,NA,2,2,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ITEM80CTWHISKERLICKINSCR_ROM","CT WHISKER LICKINS CR 04OZ","Cat Treats","NPP",0,0,0,"ROM","Big Y",NA,NA,NA,NA,2.53601121584369,2.53601121584369,0,0,0,0,0.16056,1.06563567932183,0,0,26,300.599687325321,300.599687325321,1,NA,NA,NA,NA,NA,NA,0,762.32417853612,0,NA,0,NA,NA,NA,NA,0,0,0,NA,NA,0,2.53601121584369,"2022-03-26",NA,NA,1,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ITEM87CTFRISKIESPARTYMIXCR_ROM","CT FRISKIES PARTY MIX CR 20OZ 2CT","Cat Treats","NPP",0,0,1,"ROM","Big Y",NA,NA,NA,NA,16.1749816849817,16.1749816849817,0,0,0,0,0.046055,1.23888819201506,0,0,35,295.24284567692,295.24284567692,1,NA,NA,NA,NA,NA,NA,0,4775.54762144606,0,NA,0,NA,NA,NA,NA,0,0,0,NA,NA,0,16.1749816849817,"2022-12-31",NA,NA,4,4,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ITEM87CTFRISKIESPARTYMIXCR_ROM","CT FRISKIES PARTY MIX CR 20OZ 2CT","Cat Treats","NPP",0,1,0,"ROM","Big Y",NA,NA,NA,NA,16.1749816849817,16.1749816849817,0,0,0,0,0.046055,1.12095324689895,0,0,31.9230769230769,272.635514884514,272.635514884514,1,NA,NA,NA,NA,NA,NA,0,4409.87445993257,0,NA,0,NA,NA,NA,NA,0,0,0,NA,NA,0,16.1749816849817,"2022-09-24",NA,NA,3,3,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ITEM87CTFRISKIESPARTYMIXCR_ROM","CT FRISKIES PARTY MIX CR 20OZ 2CT","Cat Treats","NPP",1,0,0,"ROM","Big Y",NA,NA,NA,NA,16.1749816849817,16.1749816849817,0,0,0,0,0.046055,1.05818203712714,0,0,28.9230769230769,260.736431572403,260.736431572403,1,NA,NA,NA,NA,NA,NA,0,4217.4070052911,0,NA,0,NA,NA,NA,NA,0,0,0,NA,NA,0,16.1749816849817,"2022-06-25",NA,NA,2,2,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ITEM87CTFRISKIESPARTYMIXCR_ROM","CT FRISKIES PARTY MIX CR 20OZ 2CT","Cat Treats","NPP",0,0,0,"ROM","Big Y",NA,NA,NA,NA,16.1749816849817,16.1749816849817,0,0,0,0,0.046055,1.06563567932183,0,0,26,260.102729482765,260.102729482765,1,NA,NA,NA,NA,NA,NA,0,4207.15688559746,0,NA,0,NA,NA,NA,NA,0,0,0,NA,NA,0,16.1749816849817,"2022-03-26",NA,NA,1,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ITEM8904CTFANCYFEASTSAVORYCRAVINGS_ROM","CT FANCY FEAST SAVORY CRAVINGS 3OZ","Cat Treats","NPP",0,0,1,"ROM","Big Y",NA,NA,NA,NA,4.99,4.99,0,0,0,0,0.005505,1.23888819201506,0,0,35,0.820839343775628,0.820839343775628,1,NA,NA,NA,NA,NA,NA,0,4.09598832544038,0,NA,0,NA,NA,NA,NA,0,0,0,NA,NA,0,4.99,"2022-12-31",NA,NA,4,4,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ITEM8904CTFANCYFEASTSAVORYCRAVINGS_ROM","CT FANCY FEAST SAVORY CRAVINGS 3OZ","Cat Treats","NPP",0,1,0,"ROM","Big Y",NA,NA,NA,NA,4.99,4.99,0,0,0,0,0.005505,1.12095324689895,0,0,31.9230769230769,0.9265939509013,0.9265939509013,1,NA,NA,NA,NA,NA,NA,0,4.62370381499749,0,NA,0,NA,NA,NA,NA,0,0,0,NA,NA,0,4.99,"2022-09-24",NA,NA,3,3,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ITEM8904CTFANCYFEASTSAVORYCRAVINGS_ROM","CT FANCY FEAST SAVORY CRAVINGS 3OZ","Cat Treats","NPP",1,0,0,"ROM","Big Y",NA,NA,NA,NA,4.99,4.99,0,0,0,0,0.005505,1.05818203712714,0,0,28.9230769230769,1.28839229833289,1.28839229833289,1,NA,NA,NA,NA,NA,NA,0,6.4290775686811,0,NA,0,NA,NA,NA,NA,0,0,0,NA,NA,0,4.99,"2022-06-25",NA,NA,2,2,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
