"PPG_Item_No","PPG_Cat","PPG_Item","MFG","Market","Retailer","Model_flag","PPG_Brand"
"ITEM870DDPURINAONEMLTRGTD","Dry Dog","DD PURINA ONE ML TRGTD 12.5LB","NPP","ROM","Big Y",1,"Purina One"
"ITEM871DDPURINAONEMLTRGTD","Dry Dog","DD PURINA ONE ML TRGTD 03.8-4LB","NPP","ROM","Big Y",2,"Purina One"
"ITEM873DDPURINAONEML","Dry Dog","DD PURINA ONE ML 13.5LB","NPP","ROM","Big Y",1,"Purina One"
"ITEM875DDPURINAONETRUINSTBNB","Dry Dog","DD PURINA ONE TRU INST B&B 03.8LB","NPP","Retailer","Big Y",1,"Purina One"
"ITEM875DDPURINAONETRUINSTBNB","Dry Dog","DD PURINA ONE TRU INST B&B 03.8LB","NPP","ROM","Big Y",1,"Purina One"
"ITEM876DDPURINAONETRUINSTHIPRO","Dry Dog","DD PURINA ONE TRU INST HI-PRO 03.8LB","NPP","Retailer","Big Y",1,"Purina One"
"ITEM876DDPURINAONETRUINSTHIPRO","Dry Dog","DD PURINA ONE TRU INST HI-PRO 03.8LB","NPP","ROM","Big Y",1,"Purina One"
"ITEM877DDPURINAONETRUINST","Dry Dog","DD PURINA ONE TRU INST 03.8LB","NPP","ROM","Big Y",2,"Purina One"
"ITEM878DDPURINAONETRUINST","Dry Dog","DD PURINA ONE TRU INST 02.8LB","NPP","ROM","Big Y",1,"Purina One"
"ITEM87CTFRISKIESPARTYMIXCR","Cat Treats","CT FRISKIES PARTY MIX CR 20OZ 2CT","NPP","ROM","Big Y",1,"Friskies"
"ITEM8904CTFANCYFEASTSAVORYCRAVINGS","Cat Treats","CT FANCY FEAST SAVORY CRAVINGS 3OZ","NPP","ROM","Big Y",1,"Fancy Feast"
"ITEM8923CTKITKABOODLECR","Cat Treats","CT KIT KABOODLE CR 04OZ","NPP","ROM","Big Y",1,"Kit & Kaboodle"
"ITEM8924CTKITKABOODLECR","Cat Treats","CT KIT KABOODLE CR 09OZ","NPP","ROM","Big Y",1,"Kit & Kaboodle"
"ITEM8939CTWHISKERLICKINSAO","Cat Treats","CT WHISKER LICKINS AO","NPP","ROM","Big Y",1,"Whisker Lickins"
"ITEM8FANCYFEAST","Dry Cat","DC FANCY FEAST 01LB","NPP","Retailer","Big Y",2,"Fancy Feast"
"ITEM8FANCYFEAST","Dry Cat","DC FANCY FEAST 01LB","NPP","ROM","Big Y",2,"Fancy Feast"
"ITEM8TIDYCATSCLUMPLW","Litter","CL TIDY CATS CLUMP LW 08.5LB","NPP","Retailer","Big Y",2,"Tidy Cats"
"ITEM8TIDYCATSCLUMPLW","Litter","CL TIDY CATS CLUMP LW 08.5LB","NPP","ROM","Big Y",2,"Tidy Cats"
"ITEM909CTFANCYFEASTPUREFLAKED","Cat Treats","CT FANCY FEAST PURE FLAKED 01.06OZ","NPP","Retailer","Big Y",1,"Fancy Feast"
"ITEM909CTFANCYFEASTPUREFLAKED","Cat Treats","CT FANCY FEAST PURE FLAKED 01.06OZ","NPP","ROM","Big Y",1,"Fancy Feast"
"ITEM91CTFRISKIESPARTYMIXCR","Cat Treats","CT FRISKIES PARTY MIX/NAT YUM CR 30OZ","NPP","ROM","Big Y",1,"Friskies"
"ITEM928CTFANCYFEASTSAVORYCRAVINGS","Cat Treats","CT FANCY FEAST SAVORY CRAVINGS 01OZ","NPP","ROM","Big Y",2,"Fancy Feast"
"ITEM938DTTREKKERSMT","Dog Treats","DT TREKKERS MT 05OZ","NPP","ROM","Big Y",1,"Trekker's"
"ITEM948DTZUKESMININTRLSMT","Dog Treats","DT ZUKES MINI NTRLS MT 06OZ","NPP","ROM","Big Y",1,"Zuke's"
"ITEM9CTFRISKIESPARTYMIXCR","Cat Treats","CT FRISKIES PARTY MIX/NAT YUM CR 02.1OZ","NPP","Retailer","Big Y",2,"Friskies"
"ITEM9CTFRISKIESPARTYMIXCR","Cat Treats","CT FRISKIES PARTY MIX/NAT YUM CR 02.1OZ","NPP","ROM","Big Y",2,"Friskies"
