"Acting_PPG_Item_No","PPG_Cat","PPG_MFG","PPG_Item_No","Modelled_PPG_Description","model_RSq","model_CVErrorMean","model_CVErrorSD","model_coefficient_name","model_coefficient_value","TrainMAPE","approach_edlp","mean_edlp","std_edlp","rhat","approach_tpr","mean_tpr","std_tpr","Run","Reason","Model_flag","Retailer","Market","Brand","size_cuts","price_cuts","grp_based_on","Model_type","model_box","Modelled_PPG_Item_No","acting_box","Variable","CompKey_WB_Interaction","CompKey_WB_Interaction_TPR","CompKey_CB","CompKey_WB","CompKey_CB_TPR","CompKey_WB_TPR","CompKey","Acting_PPG_Item"
"ITEM15CWPURINAONE","Wet Cat","NPP","ITEM15CWPURINAONE_Retailer","CW PURINA ONE 03OZ",0.748467429075245,0,0,"ACV_Selling",4.31746266691059,0.244254687974533,"Relaxed edlp variance cutoff",-1.11631050373217,0.787088354218482,1.00015328455843,"Channel",4.18919737065441,4.18919737065441,"2nd Pass","Zero TPR elasticity from 1st pass",2,"Big Y","Retailer",NA,NA,NA,NA,NA,"Retailer","ITEM15CWPURINAONE","Retailer","ACV_Selling",NA,NA,NA,NA,NA,NA,"ACV_Selling","CW PURINA ONE 03OZ"
"ITEM162CWFRISKIESFAV","Wet Cat","NPP","ITEM162CWFRISKIESFAV_ROM","CW FRISKIES FAV 05.5OZ",0.542255102453769,0,0,"wk_sold_median_base_price_byppg_log",-1.12271071619263,0.148610004690811,"No Change",-1.35756598797517,0.994289100733137,1.000062203807,"No Change",3.57981790170647,0.776880062903894,"1st Pass","No Change",2,"Big Y","ROM",NA,NA,NA,NA,NA,"ROM","ITEM162CWFRISKIESFAV","ROM","Regular Price",NA,NA,NA,NA,NA,NA,"Regular Price","CW FRISKIES FAV 05.5OZ"
"ITEM162CWFRISKIESFAV","Wet Cat","NPP","ITEM162CWFRISKIESFAV_ROM","CW FRISKIES FAV 05.5OZ",0.542255102453769,0,0,"tpr_discount_byppg",3.6624271806644,0.148610004690811,"No Change",-1.35756598797517,0.994289100733137,1.00002713550884,"No Change",3.57981790170647,0.776880062903894,"1st Pass","No Change",2,"Big Y","ROM",NA,NA,NA,NA,NA,"ROM","ITEM162CWFRISKIESFAV","ROM","Promoted Discount",NA,NA,NA,NA,NA,NA,"Promoted Discount","CW FRISKIES FAV 05.5OZ"
"ITEM162CWFRISKIESFAV","Wet Cat","NPP","ITEM162CWFRISKIESFAV_ROM","CW FRISKIES FAV 05.5OZ",0.542255102453769,0,0,"ACV_Feat_Only",0.77545657460363,0.148610004690811,"No Change",-1.35756598797517,0.994289100733137,1.00002941845012,"No Change",3.57981790170647,0.776880062903894,"1st Pass","No Change",2,"Big Y","ROM",NA,NA,NA,NA,NA,"ROM","ITEM162CWFRISKIESFAV","ROM","ACV_Feat_Only",NA,NA,NA,NA,NA,NA,"ACV_Feat_Only","CW FRISKIES FAV 05.5OZ"
"ITEM162CWFRISKIESFAV","Wet Cat","NPP","ITEM162CWFRISKIESFAV_ROM","CW FRISKIES FAV 05.5OZ",0.542255102453769,0,0,"ACV_Selling",2.35435986922918,0.148610004690811,"No Change",-1.35756598797517,0.994289100733137,0.999919015117803,"No Change",3.57981790170647,0.776880062903894,"1st Pass","No Change",2,"Big Y","ROM",NA,NA,NA,NA,NA,"ROM","ITEM162CWFRISKIESFAV","ROM","ACV_Selling",NA,NA,NA,NA,NA,NA,"ACV_Selling","CW FRISKIES FAV 05.5OZ"
"ITEM162CWFRISKIESFAV","Wet Cat","NPP","ITEM162CWFRISKIESFAV_ROM","CW FRISKIES FAV 05.5OZ",0.542255102453769,0,0,"flag_qtr2",-0.232822248114394,0.148610004690811,"No Change",-1.35756598797517,0.994289100733137,0.99998121384932,"No Change",3.57981790170647,0.776880062903894,"1st Pass","No Change",2,"Big Y","ROM",NA,NA,NA,NA,NA,"ROM","ITEM162CWFRISKIESFAV","ROM","flag_qtr2",NA,NA,NA,NA,NA,NA,"flag_qtr2","CW FRISKIES FAV 05.5OZ"
"ITEM162CWFRISKIESFAV","Wet Cat","NPP","ITEM162CWFRISKIESFAV_ROM","CW FRISKIES FAV 05.5OZ",0.542255102453769,0,0,"flag_qtr3",-0.149451877383589,0.148610004690811,"No Change",-1.35756598797517,0.994289100733137,1.00019669969459,"No Change",3.57981790170647,0.776880062903894,"1st Pass","No Change",2,"Big Y","ROM",NA,NA,NA,NA,NA,"ROM","ITEM162CWFRISKIESFAV","ROM","flag_qtr3",NA,NA,NA,NA,NA,NA,"flag_qtr3","CW FRISKIES FAV 05.5OZ"
"ITEM162CWFRISKIESFAV","Wet Cat","NPP","ITEM162CWFRISKIESFAV_ROM","CW FRISKIES FAV 05.5OZ",0.542255102453769,0,0,"flag_qtr4",-0.0561824484302825,0.148610004690811,"No Change",-1.35756598797517,0.994289100733137,1.00009140274642,"No Change",3.57981790170647,0.776880062903894,"1st Pass","No Change",2,"Big Y","ROM",NA,NA,NA,NA,NA,"ROM","ITEM162CWFRISKIESFAV","ROM","flag_qtr4",NA,NA,NA,NA,NA,NA,"flag_qtr4","CW FRISKIES FAV 05.5OZ"
"ITEM162CWFRISKIESFAV","Wet Cat","NPP","ITEM162CWFRISKIESFAV_ROM","CW FRISKIES FAV 05.5OZ",0.542255102453769,0,0,"category_trend",0.48305831247713,0.148610004690811,"No Change",-1.35756598797517,0.994289100733137,0.999928978589468,"No Change",3.57981790170647,0.776880062903894,"1st Pass","No Change",2,"Big Y","ROM",NA,NA,NA,NA,NA,"ROM","ITEM162CWFRISKIESFAV","ROM","category_trend",NA,NA,NA,NA,NA,NA,"category_trend","CW FRISKIES FAV 05.5OZ"
"ITEM162CWFRISKIESFAV","Wet Cat","NPP","ITEM162CWFRISKIESFAV_ROM","CW FRISKIES FAV 05.5OZ",0.542255102453769,0,0,"tpr_discount_byppg_lag2",-0.738855582319425,0.148610004690811,"No Change",-1.35756598797517,0.994289100733137,1.00009878162537,"No Change",3.57981790170647,0.776880062903894,"1st Pass","No Change",2,"Big Y","ROM",NA,NA,NA,NA,NA,"ROM","ITEM162CWFRISKIESFAV","ROM","Pantry Loading 2",NA,NA,NA,NA,NA,NA,"Pantry Loading 2","CW FRISKIES FAV 05.5OZ"
