"PPG_Item_No","PPG_Item","PPG_Cat","PPG_MFG","flag_qtr2","flag_qtr3","flag_qtr4","Market","Retailer","PPG_Retailer","EachesLC","EachesOI","ImputedLC_retailer","Final_baseprice","Estimated_baseprice","tpr_discount_byppg","ACV_Feat_Only","ACV_Disp_Only","ACV_Feat_Disp","ACV_Selling","category_trend","tpr_discount_byppg_lag1","tpr_discount_byppg_lag2","monthno","pred_vol","base_vol","Model_flag","WB_Comp_RP_1","WB_Comp_RP_2","WB_Comp_TPR_1","CB_Comp_RP_1","CB_Comp_RP_2","CB_Comp_TPR_1","lift_vol","base_doll","lift_doll","true_lift_doll","Cross_predicted_normalised","Within_predicted_normalised","Cross_predicted_non_normalised","Within_predicted_non_normalised","gross_lift_on_pred","true_lift_on_pred","original_base_doll","original_base_vol","Purina_sales","Purina_spend","Purina_Base_sales","Purina_ratf","Purina_Gross_Lift","Purina_True_Lift","Within","Cross","pred_vol_original","wk_sold_doll_byppg_original","Spend","median_baseprice_byppg","Date","OffInvoice","ListCost","qtr","borrowedqtr","missing_qtrs","WB_Comp_RP_3","WB_Comp_TPR_2","WB_Comp_TPR_3","WB_Comp_TPR_4","WB_Comp_TPR_5","CB_Comp_RP_3","CB_Comp_RP_4","CB_Comp_RP_5","CB_Comp_TPR_2","CB_Comp_TPR_3","WB_Comp_RP_4","WB_Comp_RP_5","CB_Comp_TPR_4","CB_Comp_TPR_5","CB_Comp_TPR_6"
"ITEM79CTWHISKERLICKINSCR_ROM","CT WHISKER LICKINS CR 10OZ","Cat Treats","NPP",0,0,1,"ROM","Big Y",NA,NA,NA,NA,4.98058812407414,4.97486334048522,0,0,0,0,0.0742971428571429,1.23888819201506,0,0,35,78.2142857142857,69.7968108220134,1,NA,NA,NA,NA,NA,NA,8.41747489227228,345.775275428887,41.6740102853984,41.6740102853984,NA,NA,0,0,0,NA,361.053469590075,72.8690784540798,NA,0,NA,NA,NA,NA,NA,NA,72.8690784540798,361.053469590075,2.10481221096997,4.95146305915528,"2022-12-31",NA,NA,4,4,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ITEM79CTWHISKERLICKINSCR_ROM","CT WHISKER LICKINS CR 10OZ","Cat Treats","NPP",0,1,0,"ROM","Big Y",NA,NA,NA,NA,4.97469859537888,4.97159195603224,0,0,0,0,0.0785038461538461,1.12095324689895,0,0,31.9230769230769,77.1538461538462,71.7695487734737,1,NA,NA,NA,NA,NA,NA,5.38429738037241,353.914136218835,26.5350945503954,26.5350945503954,NA,NA,0,0,0,NA,376.543880840917,76.3306581384443,NA,0,NA,NA,NA,NA,NA,NA,76.3306581384443,376.543880840917,3.2734460087567,4.9361161285336,"2022-09-24",NA,NA,3,3,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ITEM79CTWHISKERLICKINSCR_ROM","CT WHISKER LICKINS CR 10OZ","Cat Treats","NPP",1,0,0,"ROM","Big Y",NA,NA,NA,NA,4.45109188264535,4.41749898008018,0,0,0,0,0.0743415384615385,1.05818203712714,0,0,28.9230769230769,73.2307692307692,70.1301495278571,1,NA,NA,NA,NA,NA,NA,3.10061970291209,310.002850453695,13.9009957001513,13.9009957001513,NA,NA,0,0,0,NA,324.199789216194,73.2707928062123,NA,0,NA,NA,NA,NA,NA,NA,73.2707928062123,324.199789216194,2.80868415695042,4.40963654728993,"2022-06-25",NA,NA,2,2,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ITEM79CTWHISKERLICKINSCR_ROM","CT WHISKER LICKINS CR 10OZ","Cat Treats","NPP",0,0,0,"ROM","Big Y",NA,NA,NA,NA,4.09835353902273,4.086705000455,0.00503757281382538,0,0,0,0.0175625,1.06563567932183,0.00503757281382538,0.00503757281382538,26,27.5833333333333,27.5833333333333,1,NA,NA,NA,NA,NA,NA,0,111.2175,0,0,NA,NA,0,0,0,NA,156.671584487485,38.8237665128463,NA,0,NA,NA,NA,NA,NA,NA,38.8237665128463,156.671584487485,1.94055970156731,4.06123631666775,"2022-03-26",NA,NA,1,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ITEM80CTWHISKERLICKINSCR_ROM","CT WHISKER LICKINS CR 04OZ","Cat Treats","NPP",0,0,1,"ROM","Big Y",NA,NA,NA,NA,2.54834366117358,2.54291115666286,0,0,0,0,0.147556071428571,1.23888819201506,0,0,35,262.010142857143,250.609988081866,1,NA,NA,NA,NA,NA,NA,11.4001547752771,632.418792289162,28.5506362822667,28.5506362822667,NA,NA,0,0,0,NA,675.325173002224,267.36000365861,NA,0,NA,NA,NA,NA,NA,NA,267.36000365861,675.325173002224,5.71071607477193,2.52870823495938,"2022-12-31",NA,NA,4,4,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ITEM80CTWHISKERLICKINSCR_ROM","CT WHISKER LICKINS CR 04OZ","Cat Treats","NPP",0,1,0,"ROM","Big Y",NA,NA,NA,NA,2.55108311296256,2.54879085762442,0,0,0,0,0.140169230769231,1.12095324689895,0,0,31.9230769230769,253.457692307692,236.719886650309,1,NA,NA,NA,NA,NA,NA,16.7378056573836,601.857627899064,42.4473721009356,42.4473721009356,NA,NA,0,0,0,NA,611.944756541853,240.652563508457,NA,0,NA,NA,NA,NA,NA,NA,240.652563508457,611.944756541853,2.22078558915266,2.54241873095999,"2022-09-24",NA,NA,3,3,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ITEM80CTWHISKERLICKINSCR_ROM","CT WHISKER LICKINS CR 04OZ","Cat Treats","NPP",1,0,0,"ROM","Big Y",NA,NA,NA,NA,2.40219520194381,2.39746605798136,0.0388612255470426,0,0,0,0.106383846153846,1.05818203712714,0.0472256738175168,0.0556639293497969,28.9230769230769,252.027692307692,192.144539549031,1,NA,NA,NA,NA,NA,NA,59.8831527586608,444.305575937863,134.831039446752,134.831039446752,NA,NA,0,0,0,NA,453.763847681008,196.217269984462,NA,0,NA,NA,NA,NA,NA,NA,196.217269984462,453.763847681008,27.665316946331,2.39502678440056,"2022-06-25",NA,NA,2,2,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ITEM80CTWHISKERLICKINSCR_ROM","CT WHISKER LICKINS CR 04OZ","Cat Treats","NPP",0,0,0,"ROM","Big Y",NA,NA,NA,NA,2.42034832360689,2.42034832360689,0.0182029291196505,0.00413,0,0,0.0596829166666667,1.06563567932183,0.0091414434933035,0,26,136.959333333333,122.124642783931,1,NA,NA,NA,NA,NA,NA,14.8346905494024,289.131604313693,33.6113123529737,33.6113123529737,NA,NA,0,0,0,NA,296.461699580872,125.193892495143,NA,0,NA,NA,NA,NA,NA,NA,125.193892495143,296.461699580872,9.2054962191979,2.41872609217234,"2022-03-26",NA,NA,1,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ITEM87CTFRISKIESPARTYMIXCR_ROM","CT FRISKIES PARTY MIX CR 20OZ 2CT","Cat Treats","NPP",0,0,1,"ROM","Big Y",NA,NA,NA,NA,16.1904352859908,16.0891061745168,0,0,0,0,0.0454207142857143,1.23888819201506,0,0,35,290.785714285714,277.401617507303,1,NA,NA,NA,NA,NA,NA,13.384096778411,4430.36911926259,212.980166451702,212.980166451702,NA,NA,0,0,0,NA,4617.51321865318,289.17963997958,NA,0,NA,NA,NA,NA,NA,NA,289.17963997958,4617.51321865318,64.5822499630988,15.9728084544212,"2022-12-31",NA,NA,4,4,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ITEM87CTFRISKIESPARTYMIXCR_ROM","CT FRISKIES PARTY MIX CR 20OZ 2CT","Cat Treats","NPP",0,1,0,"ROM","Big Y",NA,NA,NA,NA,15.9998452814432,15.999595762771,0,0,0,0,0.0459892307692308,1.12095324689895,0,0,31.9230769230769,256.384615384615,254.1637674199,1,NA,NA,NA,NA,NA,NA,2.22084796471492,4066.14664676733,35.4587378480496,35.4587378480496,NA,NA,0,0,0,NA,4266.61808283648,266.71236761233,NA,0,NA,NA,NA,NA,NA,NA,266.71236761233,4266.61808283648,0.769699644524921,15.9967845464382,"2022-09-24",NA,NA,3,3,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ITEM87CTFRISKIESPARTYMIXCR_ROM","CT FRISKIES PARTY MIX CR 20OZ 2CT","Cat Treats","NPP",1,0,0,"ROM","Big Y",NA,NA,NA,NA,15.8760569809976,15.8623146421723,0.0220422220884696,0.00375692307692308,0,0,0.044245,1.05818203712714,0.0220422220884696,0.0220422220884696,28.9230769230769,341.307692307692,312.564981499663,1,NA,NA,NA,NA,NA,NA,28.7427108080288,4768.30544685386,446.383014684602,446.383014684602,NA,NA,0,0,0,NA,4981.94995348778,326.202255829796,NA,0,NA,NA,NA,NA,NA,NA,326.202255829796,4981.94995348778,201.232245009395,15.7843823665943,"2022-06-25",NA,NA,2,2,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ITEM87CTFRISKIESPARTYMIXCR_ROM","CT FRISKIES PARTY MIX CR 20OZ 2CT","Cat Treats","NPP",0,0,0,"ROM","Big Y",NA,NA,NA,NA,14.2157220274409,14.1711964335976,0,0,0,0,0.04250875,1.06563567932183,0,0,26,314.25,271.970897432268,1,NA,NA,NA,NA,NA,NA,42.2791025677323,3842.89617796494,594.194655368387,594.194655368387,NA,NA,0,0,0,NA,3899.06347362746,275.999099282126,NA,0,NA,NA,NA,NA,NA,NA,275.999099282126,3899.06347362746,27.057914302054,14.1348992328414,"2022-03-26",NA,NA,1,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
