"PPG_Item_No","PPG_Item","PPG_Cat","PPG_MFG","flag_qtr2","flag_qtr3","flag_qtr4","Market","Retailer","PPG_Retailer","EachesLC","EachesOI","ImputedLC_retailer","Final_baseprice","Estimated_baseprice","tpr_discount_byppg","ACV_Feat_Only","ACV_Disp_Only","ACV_Feat_Disp","ACV_Selling","category_trend","tpr_discount_byppg_lag1","tpr_discount_byppg_lag2","monthno","Missing_data_flag","pred_vol","base_vol","Model_flag","WB_Comp_RP_1","WB_Comp_TPR_1","CB_Comp_RP_1","CB_Comp_RP_2","CB_Comp_TPR_1","CB_Comp_TPR_2","lift_vol","base_doll","lift_doll","Purina_sales","Purina_spend","Purina_Base_sales","Purina_ratf","Purina_Gross_Lift","Purina_True_Lift","Cross_non_normalised","Within_non_normalised","true_lift_doll","Within","Cross","Spend","median_baseprice_byppg","Date","OffInvoice","ListCost","qtr","borrowedqtr","missing_qtrs","WB_Comp_Interaction_RP_1","WB_Comp_RP_2","WB_Comp_RP_3","WB_Comp_RP_4","WB_Comp_TPR_2","WB_Comp_TPR_3","WB_Comp_TPR_4","WB_Comp_TPR_5","CB_Comp_RP_3","CB_Comp_RP_4","CB_Comp_RP_5","CB_Comp_TPR_3","CB_Comp_TPR_4","WB_Comp_RP_5","WB_Comp_RP_6","WB_Comp_RP_7","CB_Comp_RP_6","CB_Comp_TPR_5","CB_Comp_TPR_6","CB_Comp_TPR_7"
"ITEM22CTFANCYFEASTDUOSCR_ROM","CT FANCY FEAST DUOS CR 02.1OZ","Cat Treats","NPP",0,1,0,"ROM","Target",NA,NA,NA,NA,1.71067827460677,1.71067827460677,0,0,0,0,0.00007,1.1597648759615,0,0,28.9230769230769,0,0.422567847163207,0.422567847163207,1,NA,NA,NA,NA,NA,NA,0,0.722877635689452,0,NA,0,NA,NA,NA,NA,0,0,0,NA,NA,0,1.71067827460677,"2022-09-24",NA,NA,3,3,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ITEM2CTFRISKIESPARTYMIXCR_Retailer","CT FRISKIES PARTY MIX/NAT YUM CR 02.1OZ","Cat Treats","NPP",1,0,0,"Retailer","Target",NA,NA,NA,NA,2.57765532118888,2.57765532118888,0,0,0,0,0.01862,1.12438979407232,0.00574782123668628,0.0451655334147162,29.6153846153846,0,459.409355599135,459.409355599135,2,NA,0,NA,NA,NA,NA,0,1182.26813364342,0,NA,0,NA,NA,NA,NA,0,2.07923954128993,0,NA,NA,1.93083642064223,2.57369450030956,"2023-04-22",NA,1.23132926480404,2,2,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ITEM2CTFRISKIESPARTYMIXCR_Retailer","CT FRISKIES PARTY MIX/NAT YUM CR 02.1OZ","Cat Treats","NPP",0,0,0,"Retailer","Target",NA,NA,NA,NA,2.57765532118888,2.57765532118888,0.203481978056686,0,0,0,0.01862,1.16913192627193,0.197255171716943,0.161491628538738,35,0,567.942694084604,567.942694084604,2,NA,0,NA,NA,NA,NA,0,1141.50101396723,0,NA,0,NA,NA,NA,NA,0,96.3074342967224,0,0,0,322.459493570294,2.5758404644813,"2023-03-25",NA,1.39618185627251,1,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ITEM2CTFRISKIESPARTYMIXCR_Retailer","CT FRISKIES PARTY MIX/NAT YUM CR 02.1OZ","Cat Treats","NPP",0,0,1,"Retailer","Target",NA,10323.0714285714,0,NA,2.57765532118888,2.57765532118888,0.0067809850014539,0,0,0,0.01862,1.24635365846736,0.0067809850014539,0.0067809850014539,32,0,675.516201293723,675.516201293723,2,NA,0.00711752395950244,NA,NA,NA,NA,0,1728.20597306467,0,6967.67748379589,0,866.535906216371,6967.67748379589,5882.08204097015,5882.08204097015,0,6.77430716375448,0,NA,NA,13.0419577493911,2.57739650411566,"2022-12-31",NA,1.28011319997509,4,4,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ITEM2CTFRISKIESPARTYMIXCR_Retailer","CT FRISKIES PARTY MIX/NAT YUM CR 02.1OZ","Cat Treats","NPP",0,1,0,"Retailer","Target",NA,14015.3846153846,0,NA,2.57765532118888,2.57765532118888,0,0,0,0,0.01862,1.1597648759615,0,0,28.9230769230769,0,576.049806908965,576.049806908965,2,NA,0,NA,NA,NA,NA,0,1472.84880625799,0,7407.05314378545,0,942.787734174558,7407.05314378545,6375.06141513508,6375.06141513508,0,11.5700589960622,0,NA,NA,12.0090437907301,2.55705042257039,"2022-09-24",NA,1.73030076838639,3,3,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ITEM2CTFRISKIESPARTYMIXCR_ROM","CT FRISKIES PARTY MIX/NAT YUM CR 02.1OZ","Cat Treats","NPP",1,0,0,"ROM","Target",NA,NA,NA,NA,1.93872517887177,1.93872517887177,0,0,0,0,0.47115,1.12438979407232,0,0,29.6153846153846,0,330422.548718766,330422.548718766,2,NA,NA,NA,NA,NA,NA,0,640598.514868056,0,NA,0,NA,NA,NA,NA,0,0,0,NA,NA,0,1.93872517887177,"2023-04-22",NA,NA,2,2,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ITEM2CTFRISKIESPARTYMIXCR_ROM","CT FRISKIES PARTY MIX/NAT YUM CR 02.1OZ","Cat Treats","NPP",0,0,0,"ROM","Target",NA,NA,NA,NA,1.93872517887177,1.93872517887177,0,0,0,0,0.47115,1.16913192627193,0,0,35,0,336301.450900533,336301.450900533,2,NA,NA,NA,NA,NA,NA,0,651996.090551972,0,NA,0,NA,NA,NA,NA,0,0,0,NA,NA,0,1.93872517887177,"2023-03-25",NA,NA,1,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ITEM2CTFRISKIESPARTYMIXCR_ROM","CT FRISKIES PARTY MIX/NAT YUM CR 02.1OZ","Cat Treats","NPP",0,0,1,"ROM","Target",NA,NA,NA,NA,1.93872517887177,1.93872517887177,0,0,0,0,0.47115,1.24635365846736,0,0,32,0,346955.247703503,346955.247703503,2,NA,NA,NA,NA,NA,NA,0,672650.874664472,0,NA,0,NA,NA,NA,NA,0,0,0,NA,NA,0,1.93872517887177,"2022-12-31",NA,NA,4,4,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ITEM2CTFRISKIESPARTYMIXCR_ROM","CT FRISKIES PARTY MIX/NAT YUM CR 02.1OZ","Cat Treats","NPP",0,1,0,"ROM","Target",NA,NA,NA,NA,1.93872517887177,1.93872517887177,0,0,0,0,0.47115,1.1597648759615,0,0,28.9230769230769,0,333465.202184807,333465.202184807,2,NA,NA,NA,NA,NA,NA,0,646497.38375325,0,NA,0,NA,NA,NA,NA,0,0,0,NA,NA,0,1.93872517887177,"2022-09-24",NA,NA,3,3,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ITEM36CTWHISKERLICKINSCR_Retailer","CT WHISKER LICKINS AO","Cat Treats","NPP",1,0,0,"Retailer","Target",NA,NA,NA,NA,3.78643800411411,3.78643800411411,0,0,0,0,0.618865,1.12438979407232,0,0.00701688052685709,29.6153846153846,0,3039.6185636985,2943.23289060503,2,2.57369450030956,0,NA,NA,NA,NA,96.3856730934715,11141.3306296642,361.702513699527,NA,0,NA,NA,NA,NA,0,0,361.702513699527,NA,NA,6.29410423500417,3.78434944844941,"2023-04-22",NA,2.12181556566202,2,2,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
