"","Cannibal_PPG","Date","box","Cannibalised_PPG","Model_flag","Cannibal_PPG_Description","Category","Retailer","Cannibal_Doll","Cannibal_dollars_on_predicted"
"40","ITEM2CTFRISKIESPARTYMIXCR_Retailer","2022-04-23","Within","CT WHISKER LICKINS AO",2,"CT FRISKIES PARTY MIX/NAT YUM CR 02.1OZ","Cat Treats","Target",28.7213130940962,28.7213130940962
"41","ITEM2CTFRISKIESPARTYMIXCR_Retailer","2022-04-30","Within","CT WHISKER LICKINS AO",2,"CT FRISKIES PARTY MIX/NAT YUM CR 02.1OZ","Cat Treats","Target",0,40.0351407350042
"42","ITEM2CTFRISKIESPARTYMIXCR_Retailer","2022-05-07","Within","CT WHISKER LICKINS AO",2,"CT FRISKIES PARTY MIX/NAT YUM CR 02.1OZ","Cat Treats","Target",35.8378955164536,35.8378955164536
"43","ITEM2CTFRISKIESPARTYMIXCR_Retailer","2022-05-14","Within","CT WHISKER LICKINS AO",2,"CT FRISKIES PARTY MIX/NAT YUM CR 02.1OZ","Cat Treats","Target",37.1406367967049,37.1406367967049
"44","ITEM2CTFRISKIESPARTYMIXCR_Retailer","2022-05-21","Within","CT WHISKER LICKINS AO",2,"CT FRISKIES PARTY MIX/NAT YUM CR 02.1OZ","Cat Treats","Target",31.5814040497575,31.5814040497575
"45","ITEM2CTFRISKIESPARTYMIXCR_Retailer","2022-05-28","Within","CT WHISKER LICKINS AO",2,"CT FRISKIES PARTY MIX/NAT YUM CR 02.1OZ","Cat Treats","Target",0,34.7812902903959
"46","ITEM2CTFRISKIESPARTYMIXCR_Retailer","2022-06-11","Within","CT WHISKER LICKINS AO",2,"CT FRISKIES PARTY MIX/NAT YUM CR 02.1OZ","Cat Treats","Target",0,7.59309225837933
"47","ITEM2CTFRISKIESPARTYMIXCR_Retailer","2022-06-18","Within","CT WHISKER LICKINS AO",2,"CT FRISKIES PARTY MIX/NAT YUM CR 02.1OZ","Cat Treats","Target",0,14.9646272570644
"48","ITEM2CTFRISKIESPARTYMIXCR_Retailer","2022-07-16","Within","CT WHISKER LICKINS AO",2,"CT FRISKIES PARTY MIX/NAT YUM CR 02.1OZ","Cat Treats","Target",0,40.5130925099773
"49","ITEM2CTFRISKIESPARTYMIXCR_Retailer","2022-07-30","Within","CT WHISKER LICKINS AO",2,"CT FRISKIES PARTY MIX/NAT YUM CR 02.1OZ","Cat Treats","Target",96.9115905642351,0
"50","ITEM2CTFRISKIESPARTYMIXCR_Retailer","2022-08-06","Within","CT WHISKER LICKINS AO",2,"CT FRISKIES PARTY MIX/NAT YUM CR 02.1OZ","Cat Treats","Target",71.5562315578383,0
"51","ITEM2CTFRISKIESPARTYMIXCR_Retailer","2022-08-13","Within","CT WHISKER LICKINS AO",2,"CT FRISKIES PARTY MIX/NAT YUM CR 02.1OZ","Cat Treats","Target",62.8388226450734,0
"52","ITEM2CTFRISKIESPARTYMIXCR_Retailer","2022-08-20","Within","CT WHISKER LICKINS AO",2,"CT FRISKIES PARTY MIX/NAT YUM CR 02.1OZ","Cat Treats","Target",59.9940286190459,0
"53","ITEM2CTFRISKIESPARTYMIXCR_Retailer","2022-09-10","Within","CT WHISKER LICKINS AO",2,"CT FRISKIES PARTY MIX/NAT YUM CR 02.1OZ","Cat Treats","Target",0,5.04085527494499
"54","ITEM2CTFRISKIESPARTYMIXCR_Retailer","2022-12-03","Within","CT WHISKER LICKINS AO",2,"CT FRISKIES PARTY MIX/NAT YUM CR 02.1OZ","Cat Treats","Target",33.5602883499365,33.5602883499365
"55","ITEM2CTFRISKIESPARTYMIXCR_Retailer","2022-12-10","Within","CT WHISKER LICKINS AO",2,"CT FRISKIES PARTY MIX/NAT YUM CR 02.1OZ","Cat Treats","Target",37.2536132189055,37.2536132189055
"56","ITEM2CTFRISKIESPARTYMIXCR_Retailer","2022-12-17","Within","CT WHISKER LICKINS AO",2,"CT FRISKIES PARTY MIX/NAT YUM CR 02.1OZ","Cat Treats","Target",39.7543773161667,39.7543773161667
"57","ITEM2CTFRISKIESPARTYMIXCR_Retailer","2022-12-17","Within","Pantry Loading",2,"CT FRISKIES PARTY MIX/NAT YUM CR 02.1OZ","Cat Treats","Target",942.62039142574,942.62039142574
"58","ITEM2CTFRISKIESPARTYMIXCR_Retailer","2022-12-24","Within","CT WHISKER LICKINS AO",2,"CT FRISKIES PARTY MIX/NAT YUM CR 02.1OZ","Cat Treats","Target",39.0009502677582,39.0009502677582
"59","ITEM2CTFRISKIESPARTYMIXCR_Retailer","2023-01-07","Within","CT WHISKER LICKINS AO",2,"CT FRISKIES PARTY MIX/NAT YUM CR 02.1OZ","Cat Treats","Target",32.1837703079571,0
"60","ITEM2CTFRISKIESPARTYMIXCR_Retailer","2023-02-11","Within","CT WHISKER LICKINS AO",2,"CT FRISKIES PARTY MIX/NAT YUM CR 02.1OZ","Cat Treats","Target",9.85897969454918,0
"61","ITEM2CTFRISKIESPARTYMIXCR_Retailer","2023-02-11","Within","Pantry Loading",2,"CT FRISKIES PARTY MIX/NAT YUM CR 02.1OZ","Cat Treats","Target",100.095764299648,0
"62","ITEM36CTWHISKERLICKINSCR_Retailer","2021-11-27","Within","Pantry Loading",2,"CT WHISKER LICKINS AO","Cat Treats","Target",50.1221548566896,50.1221548566896
"63","ITEM36CTWHISKERLICKINSCR_Retailer","2022-04-16","Within","Pantry Loading",2,"CT WHISKER LICKINS AO","Cat Treats","Target",20.0388385213443,20.0388385213443
"64","ITEM207BUSYCHEWNOLACW_Retailer","2021-05-01","Cross","DT BENEFUL BAKED CR 32-36OZ",2,"DT BUSY CHEWNOLA CW 04OZ","Dog Treats","Target",0,2.14562482087149
"65","ITEM207BUSYCHEWNOLACW_Retailer","2021-05-08","Cross","DT BENEFUL BAKED CR 32-36OZ",2,"DT BUSY CHEWNOLA CW 04OZ","Dog Treats","Target",0,1.94702859259451
"66","ITEM207BUSYCHEWNOLACW_Retailer","2021-05-15","Cross","DT BENEFUL BAKED CR 32-36OZ",2,"DT BUSY CHEWNOLA CW 04OZ","Dog Treats","Target",0,3.900766408442
"67","ITEM207BUSYCHEWNOLACW_Retailer","2021-05-22","Cross","DT BENEFUL BAKED CR 32-36OZ",2,"DT BUSY CHEWNOLA CW 04OZ","Dog Treats","Target",0,3.49529740543403
"68","ITEM207BUSYCHEWNOLACW_Retailer","2021-06-05","Cross","DT BENEFUL BAKED CR 32-36OZ",2,"DT BUSY CHEWNOLA CW 04OZ","Dog Treats","Target",0,1.12291721757447
"69","ITEM207BUSYCHEWNOLACW_Retailer","2021-06-12","Cross","DT BENEFUL BAKED CR 32-36OZ",2,"DT BUSY CHEWNOLA CW 04OZ","Dog Treats","Target",0,1.32850655351376
"70","ITEM207BUSYCHEWNOLACW_Retailer","2021-06-19","Cross","DT BENEFUL BAKED CR 32-36OZ",2,"DT BUSY CHEWNOLA CW 04OZ","Dog Treats","Target",50.2055981863786,2.03368313900137
"71","ITEM207BUSYCHEWNOLACW_Retailer","2021-06-26","Cross","DT BENEFUL BAKED CR 32-36OZ",2,"DT BUSY CHEWNOLA CW 04OZ","Dog Treats","Target",35.7275573453698,1.42754368835631
"72","ITEM207BUSYCHEWNOLACW_Retailer","2021-07-03","Cross","DT BENEFUL BAKED CR 32-36OZ",2,"DT BUSY CHEWNOLA CW 04OZ","Dog Treats","Target",42.1870611592595,42.1870611592595
"73","ITEM207BUSYCHEWNOLACW_Retailer","2021-07-10","Cross","DT BENEFUL BAKED CR 32-36OZ",2,"DT BUSY CHEWNOLA CW 04OZ","Dog Treats","Target",0,1.13764221098972
"74","ITEM207BUSYCHEWNOLACW_Retailer","2021-07-17","Cross","DT BENEFUL BAKED CR 32-36OZ",2,"DT BUSY CHEWNOLA CW 04OZ","Dog Treats","Target",0,1.56673593693267
"75","ITEM207BUSYCHEWNOLACW_Retailer","2021-07-24","Cross","DT BENEFUL BAKED CR 32-36OZ",2,"DT BUSY CHEWNOLA CW 04OZ","Dog Treats","Target",47.9133868612676,2.17206702237672
"76","ITEM207BUSYCHEWNOLACW_Retailer","2021-07-31","Cross","DT BENEFUL BAKED CR 32-36OZ",2,"DT BUSY CHEWNOLA CW 04OZ","Dog Treats","Target",31.4349959431256,3.65624902025047
"77","ITEM207BUSYCHEWNOLACW_Retailer","2021-08-07","Cross","DT BENEFUL BAKED CR 32-36OZ",2,"DT BUSY CHEWNOLA CW 04OZ","Dog Treats","Target",66.6943087785205,24.0203605816932
"78","ITEM207BUSYCHEWNOLACW_Retailer","2021-08-14","Cross","DT BENEFUL BAKED CR 32-36OZ",2,"DT BUSY CHEWNOLA CW 04OZ","Dog Treats","Target",0,2.19722453758186
"79","ITEM207BUSYCHEWNOLACW_Retailer","2021-08-21","Cross","DT BENEFUL BAKED CR 32-36OZ",2,"DT BUSY CHEWNOLA CW 04OZ","Dog Treats","Target",0,53.4049605690617
"80","ITEM207BUSYCHEWNOLACW_Retailer","2021-09-04","Cross","DT BENEFUL BAKED CR 32-36OZ",2,"DT BUSY CHEWNOLA CW 04OZ","Dog Treats","Target",0,11.2074857150637
"81","ITEM207BUSYCHEWNOLACW_Retailer","2021-09-11","Cross","DT BENEFUL BAKED CR 32-36OZ",2,"DT BUSY CHEWNOLA CW 04OZ","Dog Treats","Target",0,3.9079497365874
"82","ITEM207BUSYCHEWNOLACW_Retailer","2021-09-18","Cross","DT BENEFUL BAKED CR 32-36OZ",2,"DT BUSY CHEWNOLA CW 04OZ","Dog Treats","Target",0,5.50646962830979
"83","ITEM207BUSYCHEWNOLACW_Retailer","2021-09-25","Cross","DT BENEFUL BAKED CR 32-36OZ",2,"DT BUSY CHEWNOLA CW 04OZ","Dog Treats","Target",0,7.62035796753116
"84","ITEM207BUSYCHEWNOLACW_Retailer","2021-10-09","Cross","DT BENEFUL BAKED CR 32-36OZ",2,"DT BUSY CHEWNOLA CW 04OZ","Dog Treats","Target",0,6.10403281065192
"85","ITEM207BUSYCHEWNOLACW_Retailer","2021-10-16","Cross","DT BENEFUL BAKED CR 32-36OZ",2,"DT BUSY CHEWNOLA CW 04OZ","Dog Treats","Target",0,5.94048164846936
"86","ITEM207BUSYCHEWNOLACW_Retailer","2021-10-30","Cross","DT BENEFUL BAKED CR 32-36OZ",2,"DT BUSY CHEWNOLA CW 04OZ","Dog Treats","Target",72.3980439339157,148.237065105948
"87","ITEM207BUSYCHEWNOLACW_Retailer","2021-11-06","Cross","DT BENEFUL BAKED CR 32-36OZ",2,"DT BUSY CHEWNOLA CW 04OZ","Dog Treats","Target",0,158.663462826842
"88","ITEM207BUSYCHEWNOLACW_Retailer","2021-11-13","Cross","DT BENEFUL BAKED CR 32-36OZ",2,"DT BUSY CHEWNOLA CW 04OZ","Dog Treats","Target",168.408579544192,154.236753510959
"89","ITEM207BUSYCHEWNOLACW_Retailer","2021-11-20","Cross","DT BENEFUL BAKED CR 32-36OZ",2,"DT BUSY CHEWNOLA CW 04OZ","Dog Treats","Target",27.3800586173256,160.486824867623
"90","ITEM207BUSYCHEWNOLACW_Retailer","2021-11-27","Cross","DT BENEFUL BAKED CR 32-36OZ",2,"DT BUSY CHEWNOLA CW 04OZ","Dog Treats","Target",0,122.51778099998
"91","ITEM207BUSYCHEWNOLACW_Retailer","2021-12-04","Cross","DT BENEFUL BAKED CR 32-36OZ",2,"DT BUSY CHEWNOLA CW 04OZ","Dog Treats","Target",132.898971097369,132.898971097369
"92","ITEM207BUSYCHEWNOLACW_Retailer","2021-12-11","Cross","DT BENEFUL BAKED CR 32-36OZ",2,"DT BUSY CHEWNOLA CW 04OZ","Dog Treats","Target",108.793264661357,108.793264661357
"93","ITEM207BUSYCHEWNOLACW_Retailer","2021-12-18","Cross","DT BENEFUL BAKED CR 32-36OZ",2,"DT BUSY CHEWNOLA CW 04OZ","Dog Treats","Target",67.8121534887179,67.8121534887179
"94","ITEM207BUSYCHEWNOLACW_Retailer","2021-12-25","Cross","DT BENEFUL BAKED CR 32-36OZ",2,"DT BUSY CHEWNOLA CW 04OZ","Dog Treats","Target",31.4285569856809,31.4285569856809
"95","ITEM207BUSYCHEWNOLACW_Retailer","2022-01-01","Cross","DT BENEFUL BAKED CR 32-36OZ",2,"DT BUSY CHEWNOLA CW 04OZ","Dog Treats","Target",0,1.09627492841537
"96","ITEM207BUSYCHEWNOLACW_Retailer","2022-01-08","Cross","DT BENEFUL BAKED CR 32-36OZ",2,"DT BUSY CHEWNOLA CW 04OZ","Dog Treats","Target",26.3161899518987,26.3161899518987
"97","ITEM207BUSYCHEWNOLACW_Retailer","2022-01-15","Cross","DT BENEFUL BAKED CR 32-36OZ",2,"DT BUSY CHEWNOLA CW 04OZ","Dog Treats","Target",0,37.6969995619904
