"PPG_Item_No","PPG_Cat","PPG_Item","MFG","Market","Retailer","Model_flag","PPG_Brand"
"ITEM129PURINAONE","Wet Dog","DW PURINA ONE 13OZ 06CT","NPP","Retailer","Target",2,"Purina One"
"ITEM129PURINAONE","Wet Dog","DW PURINA ONE 13OZ 06CT","NPP","ROM","Target",2,"Purina One"
"ITEM1300DDMERRICKBACKCOUNTRY","Dry Dog","DD MERRICK BACKCOUNTRY 20LB","NPP","ROM","Target",1,"Merrick"
"ITEM1300DTZUKESCRNCHYNTRLS","Dog Treats","DT ZUKES CRNCHY NTRLS 09-12OZ","NPP","ROM","Target",1,"Zuke's"
"ITEM1301DTZUKESHIPACTIONMT","Dog Treats","DT ZUKES HIP ACTION MT 16OZ","NPP","ROM","Target",1,"Zuke's"
"ITEM1302DTZUKESHIPACTIONMT","Dog Treats","DT ZUKES HIP ACTION MT 06OZ","NPP","ROM","Target",1,"Zuke's"
"ITEM1304DTZUKESMININTRLSMT","Dog Treats","DT ZUKES MINI NTRLS MT 16OZ","NPP","ROM","Target",1,"Zuke's"
"ITEM1305DDDOGCHOWHIPROTEIN","Dry Dog","DD DOG CHOW HI PROTEIN 13LB","NPP","ROM","Target",1,"Dog Chow Line"
"ITEM1305DTZUKESMININTRLSMT","Dog Treats","DT ZUKES MINI NTRLS MT 06OZ","NPP","ROM","Target",1,"Zuke's"
"ITEM1307DDPROPLANDEVPUPPY","Dry Dog","DD PRO PLAN DEV PUPPY 04-6LB","NPP","ROM","Target",1,"Pro Plan"
"ITEM1307DTZUKESPPYNTRMT","Dog Treats","DT ZUKES PPY NTR MT 05OZ","NPP","ROM","Target",1,"Zuke's"
"ITEM1308DDPROPLANDEVPUPPY","Dry Dog","DD PRO PLAN DEV PUPPY 16-18LB","NPP","ROM","Target",1,"Pro Plan"
"ITEM1309DTZUKESZBONESDR","Dog Treats","DT ZUKES Z-BONES DR 08-15OZ","NPP","ROM","Target",1,"Zuke's"
"ITEM1335DDBENEFUL","Dry Dog","DD BENEFUL 06OZ","NPP","ROM","Target",1,"Beneful"
"ITEM133CWFRISKIES","Wet Cat","CW FRISKIES 03OZ 24CT","NPP","ROM","Target",1,"Friskies"
"ITEM1367DDPURINAONETRUINSTBNB","Dry Dog","DD PURINA ONE TRU INST B&B 15LB","NPP","Retailer","Target",1,"Purina One"
"ITEM1367DDPURINAONETRUINSTBNB","Dry Dog","DD PURINA ONE TRU INST B&B 15LB","NPP","ROM","Target",1,"Purina One"
"ITEM136CWBEYOND","Wet Cat","CW BEYOND 03OZ 12CT","NPP","ROM","Target",1,"Beyond"
"ITEM1372DDPURINAONETRUINSTBNB","Dry Dog","DD PURINA ONE TRU INST B&B 27.5LB","NPP","Retailer","Target",1,"Purina One"
"ITEM138BEYOND","Dry Cat","DC BEYOND SIMPLY 06LB","NPP","Retailer","Target",1,"Beyond"
"ITEM138BEYOND","Dry Cat","DC BEYOND SIMPLY 06LB","NPP","ROM","Target",1,"Beyond"
"ITEM13CWFANCYFEASTPURELYFILETS","Wet Cat","CW FANCY FEAST PURELY FILETS 01OZ","NPP","ROM","Target",1,"Fancy Feast"
"ITEM141CWFANCYFEASTBROTHS","Wet Cat","CW FANCY FEAST BROTHS 01.4OZ 12CT","NPP","Retailer","Target",2,"Fancy Feast"
"ITEM141CWFANCYFEASTBROTHS","Wet Cat","CW FANCY FEAST BROTHS 01.4OZ 12CT","NPP","ROM","Target",2,"Fancy Feast"
"ITEM144CWFANCYFEASTMEDLEYS","Wet Cat","CW FANCY FEAST MEDLEYS 03OZ 18CT","NPP","ROM","Target",1,"Fancy Feast"
"ITEM1461DDDOGCHOWHIPROTEIN","Dry Dog","DD DOG CHOW HI PROTEIN 48LB","NPP","ROM","Target",1,"Dog Chow Line"
"ITEM1462DDBENEFUL","Dry Dog","DD BENEFUL 28LB","NPP","Retailer","Target",2,"Beneful"
"ITEM1462DDBENEFUL","Dry Dog","DD BENEFUL 28LB","NPP","ROM","Target",1,"Beneful"
"ITEM1464DDALPO","Dry Dog","DD ALPO 28-31LB","NPP","ROM","Target",1,"Alpo"
"ITEM1465DDALPO","Dry Dog","DD ALPO 47-50LB","NPP","ROM","Target",1,"Alpo"
"ITEM1466DDALPO","Dry Dog","DD ALPO 15LB","NPP","ROM","Target",1,"Alpo"
"ITEM1467DDALPO","Dry Dog","DD ALPO 17.6LB","NPP","ROM","Target",1,"Alpo"
"ITEM1469DDBENEFULPREMIUM","Dry Dog","DD BENEFUL PREMIUM 03LB","NPP","ROM","Target",1,"Beneful"
"ITEM1470DDBENEFULPREMIUM","Dry Dog","DD BENEFUL PREMIUM 03.3-4.5LB","NPP","Retailer","Target",2,"Beneful"
"ITEM1470DDBENEFULPREMIUM","Dry Dog","DD BENEFUL PREMIUM 03.3-4.5LB","NPP","ROM","Target",1,"Beneful"
"ITEM1471DDBENEFUL","Dry Dog","DD BENEFUL 12LB","NPP","ROM","Target",1,"Beneful"
"ITEM1472DDBENEFUL","Dry Dog","DD BENEFUL 14LB","NPP","Retailer","Target",2,"Beneful"
"ITEM1472DDBENEFUL","Dry Dog","DD BENEFUL 14LB","NPP","ROM","Target",2,"Beneful"
"ITEM1473DDBENEFUL","Dry Dog","DD BENEFUL 03.5LB","NPP","Retailer","Target",2,"Beneful"
"ITEM1473DDBENEFUL","Dry Dog","DD BENEFUL 03.5LB","NPP","ROM","Target",2,"Beneful"
"ITEM1474DDBENEFUL","Dry Dog","DD BENEFUL 06.3LB","NPP","ROM","Target",1,"Beneful"
"ITEM1476DDBEYONDPUPPY","Dry Dog","DD BEYOND PUPPY 03LB","NPP","ROM","Target",1,"Beyond"
"ITEM1478DDBEYONDORGANIC","Dry Dog","DD BEYOND ORGANIC 13LB","NPP","ROM","Target",1,"Beyond"
"ITEM1479DDBEYONDORGANIC","Dry Dog","DD BEYOND ORGANIC 03LB","NPP","ROM","Target",1,"Beyond"
"ITEM1480DDBEYONDSMP","Dry Dog","DD BEYOND SMP9 24LB","NPP","Retailer","Target",0,"Beyond"
"ITEM1480DDBEYONDSMP","Dry Dog","DD BEYOND SMP9 24LB","NPP","ROM","Target",1,"Beyond"
"ITEM1495DDCNPORGANIX","Dry Dog","DD C&P ORGANIX 10LB","NPP","ROM","Target",1,"Castor & Pollux"
"ITEM1496DDCNPORGANIX","Dry Dog","DD C&P ORGANIX 04LB","NPP","ROM","Target",1,"Castor & Pollux"
"ITEM1497DDCNPORGANIX","Dry Dog","DD C&P ORGANIX 18LB","NPP","ROM","Target",1,"Castor & Pollux"
"ITEM1498DDCNPPRISTINE","Dry Dog","DD C&P PRISTINE 10LB","NPP","ROM","Target",1,"Castor & Pollux"
"ITEM1499DDCNPPRISTINE","Dry Dog","DD C&P PRISTINE 04LB","NPP","ROM","Target",1,"Castor & Pollux"
"ITEM14KITKABOODLE","Dry Cat","DC KIT KABOODLE 30LB","NPP","Retailer","Target",2,"Kit & Kaboodle"
"ITEM14KITKABOODLE","Dry Cat","DC KIT KABOODLE 30LB","NPP","ROM","Target",2,"Kit & Kaboodle"
"ITEM1500DDCNPPRISTINE","Dry Dog","DD C&P PRISTINE 18LB","NPP","ROM","Target",1,"Castor & Pollux"
"ITEM1511DDDOGCHOWGREENBG","Dry Dog","DD DOG CHOW GREEN BG 46-48LB","NPP","ROM","Target",1,"Dog Chow Line"
"ITEM1512DDDOGCHOWLX","Dry Dog","DD DOG CHOW LX 03.5LB","NPP","ROM","Target",1,"Dog Chow Line"
"ITEM1574DDMERRICKHLTYGRNS","Dry Dog","DD MERRICK HLTY GRNS 04LB","NPP","ROM","Target",1,"Merrick"
"ITEM1577DDMOISTANDMEATYHIPROTEIN","Dry Dog","DD MOIST AND MEATY HI PROTEIN 72OZ","NPP","Retailer","Target",2,"Moist & Meaty"
"ITEM1577DDMOISTANDMEATYHIPROTEIN","Dry Dog","DD MOIST AND MEATY HI PROTEIN 72OZ","NPP","ROM","Target",2,"Moist & Meaty"
"ITEM159BENEFUL","Wet Dog","DW BENEFUL 10OZ 12CT","NPP","Retailer","Target",2,"Beneful"
"ITEM159BENEFUL","Wet Dog","DW BENEFUL 10OZ 12CT","NPP","ROM","Target",2,"Beneful"
"ITEM15TIDYCATSPURENATUREALT","Litter","CL TIDY CATS PURE NATURE ALT 12LB","NPP","ROM","Target",1,"Tidy Cats"
"ITEM1616DDPROPLANDEVPUPPY","Dry Dog","DD PRO PLAN DEV PUPPY 24-34LB","NPP","ROM","Target",1,"Pro Plan"
"ITEM1617DDPROPLANESSENTIAL","Dry Dog","DD PRO PLAN ESSENTIAL 17-18LB","NPP","ROM","Target",1,"Pro Plan"
"ITEM1618DDPROPLANSPECIALIZED","Dry Dog","DD PRO PLAN SPECIALIZED 16-18LB","NPP","ROM","Target",1,"Pro Plan"
"ITEM1619DDPROPLANSPECIALIZED","Dry Dog","DD PRO PLAN SPECIALIZED 24-34LB","NPP","ROM","Target",1,"Pro Plan"
"ITEM1620DDPROPLANSPECIALIZED","Dry Dog","DD PRO PLAN SPECIALIZED 35-47LB","NPP","ROM","Target",1,"Pro Plan"
"ITEM1621DDPROPLANSPECIALIZED","Dry Dog","DD PRO PLAN SPECIALIZED 04-6LB","NPP","ROM","Target",1,"Pro Plan"
"ITEM1622DDPROPLANSPORT","Dry Dog","DD PRO PLAN SPORT 18LB","NPP","ROM","Target",1,"Pro Plan"
"ITEM1623DDPROPLANSPORT","Dry Dog","DD PRO PLAN SPORT 50LB","NPP","ROM","Target",1,"Pro Plan"
"ITEM1624DDPROPLANSPORTCHIKSAL","Dry Dog","DD PRO PLAN SPORT CHIK/SAL 06LB","NPP","ROM","Target",1,"Pro Plan"
"ITEM1626DDPROPLANSPORTBREEDER","Dry Dog","DD PRO PLAN SPORT BREEDER 37.5LB","NPP","ROM","Target",1,"Pro Plan"
"ITEM1627DDPUPPYCHOW","Dry Dog","DD PUPPY CHOW 04LB","NPP","ROM","Target",1,"Dog Chow Line"
"ITEM1628DDPUPPYCHOW","Dry Dog","DD PUPPY CHOW 40LB","NPP","ROM","Target",1,"Dog Chow Line"
"ITEM1630DDPURINAONEMLTRGTD","Dry Dog","DD PURINA ONE ML TRGTD 12.5LB","NPP","ROM","Target",1,"Purina One"
"ITEM1631DDPURINAONEMLTRGTD","Dry Dog","DD PURINA ONE ML TRGTD 03.8-4LB","NPP","ROM","Target",1,"Purina One"
"ITEM1632DDPURINAONEML","Dry Dog","DD PURINA ONE ML 18LB","NPP","Retailer","Target",0,"Purina One"
"ITEM1634DDPURINAONEML","Dry Dog","DD PURINA ONE ML 13.5LB","NPP","ROM","Target",1,"Purina One"
"ITEM1635DDPURINAONEML","Dry Dog","DD PURINA ONE ML 34LB","NPP","Retailer","Target",1,"Purina One"
"ITEM1635DDPURINAONEML","Dry Dog","DD PURINA ONE ML 34LB","NPP","ROM","Target",1,"Purina One"
"ITEM1636DDPURINAONETRUINSTBNB","Dry Dog","DD PURINA ONE TRU INST B&B 03.8LB","NPP","ROM","Target",1,"Purina One"
"ITEM1637DDPURINAONETRUINSTBNB","Dry Dog","DD PURINA ONE TRU INST B&B 36LB","NPP","Retailer","Target",1,"Purina One"
"ITEM1638DDPURINAONETRUINSTHIPRO","Dry Dog","DD PURINA ONE TRU INST HI-PRO 03.8LB","NPP","ROM","Target",1,"Purina One"
