"Modelled_PPG_Item_No","PPG_Cat","Retailer","PPG_Item","Regular_Price","Promoted_Discount","Pantry_Loading_1","Pantry_Loading_2","ACV_Selling","ACV_Feat_Only","ACV_Disp_Only","ACV_Feat_Disp","category_trend","flag_qtr2","flag_qtr3","flag_qtr4","monthno","WB_Comp_RP_1","WB_Comp_TPR_1","CB_Comp_RP_1","CB_Comp_RP_2","CB_Comp_TPR_1","CB_Comp_TPR_2","Intercept","Market","WB_Comp_RP_2","WB_Comp_RP_3","WB_Comp_RP_4","WB_Comp_TPR_2","WB_Comp_TPR_3","WB_Comp_TPR_4","WB_Comp_TPR_5","CB_Comp_RP_3","CB_Comp_RP_4","CB_Comp_RP_5","CB_Comp_TPR_3","WB_Comp_Interaction_RP_1","CB_Comp_TPR_4","WB_Comp_RP_5","WB_Comp_RP_6","WB_Comp_RP_7","CB_Comp_RP_6","CB_Comp_TPR_5","CB_Comp_TPR_6","CB_Comp_TPR_7","Model_flag"
"ITEM1077DDBENEFULPREMIUM_ROM","Dry Dog","Target","DD BENEFUL PREMIUM 09.4-12.5LB",0,1.38076493111824,0,-2.10323932963097,7.46348720907562,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.29417202571824,"ROM",0,0,0,0,0,0,NA,0,0,0,0,NA,0,0,0,0,0,0,0,0,1
"ITEM1080DDPUPPYCHOW_ROM","Dry Dog","Target","DD PUPPY CHOW 08.8LB",-2.5,0,-4.51966703216456,-4.67181774494592,0,10,0,0,-4.82847833854689,0,0,0,-0.0701030683978315,0,-7.4279005977396,0,0,-5.35397418689458,0,18.8031703797257,"ROM",0,0,0,0,0,0,NA,0,0,0,0,NA,0,0,0,0,0,0,0,0,1
"ITEM1083DDMOISTANDMEATY_Retailer","Dry Dog","Target","DD MOIST AND MEATY 216OZ",-0.547883424097655,1.92105224397928,0,0,2.09995979544519,0,0.627371534476825,0,0.450568209273474,-0.0343945987856137,0,0,0,0,0,0,0,0,0,7.4820338806465,"Retailer",0,0,0,0,0,0,NA,0,0,0,0,NA,0,0,0,0,0,0,0,0,2
"ITEM1083DDMOISTANDMEATY_ROM","Dry Dog","Target","DD MOIST AND MEATY 216OZ",-0.792632625633615,0,0,0,0,3.52524928324677,8.32429293481805,0,1.52413694511637,0,0,-0.011743457348702,0.00233637771671144,0,0,0,0,-0.0420216331519253,0,10.9359821597108,"ROM",0,0,0,0,0,0,NA,0,0,0,0,NA,0,0,0,0,0,0,0,0,2
"ITEM1084DDPUPPYCHOWLGBRD_Retailer","Dry Dog","Target","DD PUPPY CHOW 32-36LB",-2.05097344563961,1.24817135883781,-2.69211473443187,0,0,0,0,0,0,0,0,0,0.0587203956818804,0,0,0,0,0,0,11.4244721075399,"Retailer",0,0,0,0,0,0,NA,0,0,0,0,NA,0,0,0,0,0,0,0,0,1
"ITEM1084DDPUPPYCHOWLGBRD_ROM","Dry Dog","Target","DD PUPPY CHOW 32-36LB",-0.320503584597055,0,0,0,9.34233890814714,0,9.58151151621407,10.0650755312107,1.91537172039451,0,0,0,0,0,0,0,0,0,0,6.74851825574311,"ROM",0,0,0,0,0,0,NA,0,0,0,0,NA,0,0,0,0,0,0,0,0,2
"ITEM1093DDPURINAONEMLTRGTD_Retailer","Dry Dog","Target","DD PURINA ONE ML TRGTD 40LB",-1.19144774548943,1.245841560241,-6.30327554212683,-3.56118139482474,0,0,10,0,2.46727766509962,0,0,0,0.226244844702096,0,0,0,0,0,0,1.68390959823358,"Retailer",0,0,0,0,0,0,NA,0,0,0,0,NA,0,0,0,0,0,0,0,0,1
"ITEM1093DDPURINAONEMLTRGTD_ROM","Dry Dog","Target","DD PURINA ONE ML TRGTD 40LB",-0.82701822464917,0.967925655849949,-0.19828763565859,0,0,0.246678364504745,2.84967127368695,0,0.901679412145662,0.00630215211640011,0.00830748236238101,-0.0363611820072271,0.00830317411125675,0,0,0,0,0,0,11.5458320472563,"ROM",0,0,0,0,0,0,NA,0,0,0,0,NA,0,0,0,0,0,0,0,0,2
"ITEM1097DDBEYONDGRFR_ROM","Dry Dog","Target","DD BEYOND GR FR 13LB",-2.5,0,-1.67446586249973,-0.880919806308144,0,10,0,0,-0.684296207748302,0,0,0,-0.0102547266219589,0,0,0,0,-1.14249312169019,0,14.291634963277,"ROM",0,0,0,0,0,0,NA,0,0,0,0,NA,0,0,0,0,0,0,0,0,1
"ITEM1099CLTIDYCATSCLUMPNONLWBOX_ROM","Litter","Target","CL TIDY CATS CLUMP NON-LW BOX 23LB - BOX",-0.228718829691997,2.43807780855735,0,0,0,4.84070697348775,0,0.332591873494585,0,0,0,0,0,NA,0,NA,NA,0,0,11.3942468392909,"ROM",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
