"Item.Number","Market","PPG_Description","PPG_Item_no","PPG_Cat","Product_Name","Retailer","BRAND GROUP(C)","ListCost","OffInvoice","2021Q2","2021Q3","2021Q4","2022Q1","2022Q2","2022Q3","2022Q4","2023Q1","2023Q2"
1113212772,"ROM","DW ALPO 13.2OZ 12CT","ITEM104ALPO","Wet Dog","PURINA ALPO DOG FOOD-WET TYPE BEEF LOVERS PACK TRAY IN WRAP 158.4 OUNCE","Target","ALPO",NA,0,0.000178206833229641,0.0000657530600883415,0.000019375672573493,0,0.0000149144372159912,0,0,0,0
1113213597,"ROM","DW ALPO 13.0-13.2OZ","ITEM1ALPO","Wet Dog","PURINA ALPO CHOP HOUSE WET DOG FOOD ADULT T BONE STEAK WET CAN 13 OUNCE","Target","ALPO",NA,0,0.000285881651486634,0.0000987745106113784,0.0000320224432186407,0.00000610058385643473,0.0000236946705754514,0.000242488083811451,0.0000177236805360109,0.0000398104203894801,0
1113213597,"Retailer","DW ALPO 13.0-13.2OZ","ITEM1ALPO","Wet Dog","PURINA ALPO CHOP HOUSE WET DOG FOOD ADULT T BONE STEAK WET CAN 13 OUNCE","Target","ALPO",0.760630904973842,0,0.578947368421053,0.375,0,0,0,NA,NA,NA,NA
1113213604,"ROM","DW ALPO 13.0-13.2OZ","ITEM1ALPO","Wet Dog","PURINA ALPO CHOP HOUSE WET DOG FOOD ADULT ROTISSERIE CHICKEN WET 13 OUNCE","Target","ALPO",NA,0,0.0000581182298740458,0.0000187643964236033,0.00000855715087147834,0.00000453996938153282,0.000000989041731732063,0,0.0000265855208040163,0,0.00243019654257037
1113213606,"ROM","DW ALPO 13.0-13.2OZ","ITEM1ALPO","Wet Dog","PURINA ALPO CHOP HOUSE WET DOG FOOD ADULT BEEF TENDERLOIN WET CAN 13 OUNCE","Target","ALPO",NA,0,0.0000970577641002894,0.0000314504005684285,0.0000123603290365798,0.00000439809533835992,0.00001839597840187,0.000236716207114045,0.000141789444288087,0.0000398104203894801,0
1113214219,"ROM","DW ALPO 13.0-13.2OZ","ITEM1ALPO","Wet Dog","PURINA ALPO PRIME CLASSICS WET DOG FOOD ADULT BEEF WET CAN 13.2 OUNCE","Target","ALPO",NA,0,0.00273567279155564,0.00164856354002962,0.0000888729842936052,0.00000884527909565767,0,0,0,0.00106496855583898,0
1113214223,"ROM","DW ALPO 13.0-13.2OZ","ITEM1ALPO","Wet Dog","PURINA ALPO PRIME CLASSICS WET DOG FOOD ADULT CHICKEN AND RICE WET CAN 13.2 OUNCE","Target","ALPO",NA,0,0.0000268394148296571,0.0000381058775473867,0.0000160912468165444,0,0,0.0000772065466634115,0,0.00106496855583898,0
1113214286,"ROM","DW ALPO 13.2OZ 12CT","ITEM104ALPO","Wet Dog","PURINA ALPO CHOP HOUSE DOG FOOD-WET TYPE TRAY IN WRAP 156 OUNCE","Target","ALPO",NA,0,0.00010226642134201,0.00000410956625552134,0.000135629708014451,0.0000159892690770744,0,0,0,0,0
1113214287,"ROM","DW ALPO 13.2OZ 12CT","ITEM104ALPO","Wet Dog","PURINA ALPO PRIME CLASSICS DOG FOOD-WET TYPE TRAY IN WRAP 158.4 OUNCE","Target","ALPO",NA,0,0,0,0.00000484391814337326,0,0,0,0,0,0
1113214543,"ROM","DD ALPO 14LB","ITEM1223DDALPO","Dry Dog","PURINA ALPO DRY DOG FOOD ADULT SAVORY BEEF DRY BAG 14 POUND","Target","ALPO",NA,0,0.394941234196572,0.540239399865796,0.548309251378647,0.561686109174021,0.562946760730527,0.583082960897899,0.596492765123739,0.563076718631905,0.570531449206841
1113214544,"ROM","DD ALPO 16LB","ITEM831DDALPO","Dry Dog","PURINA ALPO DRY DOG FOOD ADULT SAVORY BEEF DRY BAG 16 POUND","Target","ALPO",NA,0,0.591431446929749,0.604793544924053,0.608276115844255,0.580950229163928,0.544909927313797,0.719189877085881,0.824900127057727,0.867893657870272,0.821820936809
1113214544,"Retailer","DD ALPO 16LB","ITEM831DDALPO","Dry Dog","PURINA ALPO DRY DOG FOOD ADULT SAVORY BEEF DRY BAG 16 POUND","Target","ALPO",8.20617312681815,0,0.595191501258038,0.578024852844997,0.54129926219183,0.512906403940887,0.401891252955083,0.131818181818182,0.333333333333333,1,NA
1113214545,"ROM","DD ALPO 37-41LB","ITEM958DDALPO","Dry Dog","PURINA ALPO DRY DOG FOOD ADULT SAVORY BEEF DRY BAG 37 POUND","Target","ALPO",NA,0,0.0520687003457831,0.0555446286646338,0.0622018669493314,0.0749095671296979,0.0912771143664693,0.0221694660213917,0.0392281409286955,0.00410131898418531,0.5
1113214545,"Retailer","DD ALPO 37-41LB","ITEM958DDALPO","Dry Dog","PURINA ALPO DRY DOG FOOD ADULT SAVORY BEEF DRY BAG 37 POUND","Target","ALPO",17.5559335908086,1.4,0.659333333333333,0.659579984443868,0.635627530364373,0.520603384841795,0.356338028169014,0.382022471910112,0.333333333333333,NA,NA
1113214547,"ROM","DD ALPO 47-50LB","ITEM1465DDALPO","Dry Dog","PURINA ALPO DRY DOG FOOD ADULT SAVORY BEEF DRY BAG 47 POUND","Target","ALPO",NA,0,0.255601857456326,0.198091082261673,0.252862139455621,0.239334566310366,0.460505234411879,0.609862225336492,0.326614812309773,0.833333333333333,0.143709132715384
1113214813,"ROM","DD ALPO 28-31LB","ITEM1464DDALPO","Dry Dog","PURINA ALPO DRY DOG FOOD ADULT SAVORY BEEF DRY BAG 28 POUND","Target","ALPO",NA,0,0.00126986529072896,0.00168987534256225,0.00197405621409009,0.0017402313784868,0.00190280615658369,0.00249483811989373,0.00230254734995597,0.00294702633928743,0
1113216223,"ROM","DT ALPO VARIETY SNAPS CR 32OZ","ITEM5ALPOVARIETYSNAPSCR","Dog Treats","PURINA ALPO VARIETY SNAPS DOG TREAT BEEF BACON CHEESE AND PEANUT B BOX 32 OUNCE","Target","ALPO",NA,0,0.439265050873538,0.455497244095453,0.455784166464127,0.425559738924237,0.452325735594738,0.490460785531696,0.491004280870266,0.490949189275347,0.373420554396888
1113216223,"Retailer","DT ALPO VARIETY SNAPS CR 32OZ","ITEM5ALPOVARIETYSNAPSCR","Dog Treats","PURINA ALPO VARIETY SNAPS DOG TREAT BEEF BACON CHEESE AND PEANUT B BOX 32 OUNCE","Target","ALPO",2.00672480194557,0,0.549180204232469,0.625994933251882,0.768813157599731,0.735079171741778,0.745499509847607,0.621255349500713,0.714285714285714,0.3,0
1113216225,"ROM","DT ALPO VARIETY SNAPS CR 60OZ","ITEM892DTALPOVARIETYSNAPSCR","Dog Treats","PURINA ALPO VARIETY SNAPS DOG TREAT BEEF CHICKEN LIVER LAMB BAG 60 OUNCE","Target","ALPO",NA,0,1,1,1,1,1,1,1,1,1
